Uuid,Void/Retire,Same as mappings,Fully specified name:en,Short name:en,Description:en,Fully specified name:fr,Short name:fr,Description:fr,Data class,Data type,Complex data handler,Answers,Members,Allow decimals,Units,Normal low,Normal high,Absolute low,Absolute high,_version:1,_order:1200
9bb0795c-4ff0-0305-1990-000000000001,,,Other generic,Other,,,,,Misc,N/A,,,,,,,,,,,
1599AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,,Probable cause of death,,Patient's probable cause of death from interview with family member or other non-medical personnel as part of death registry questionnaire.,,,,Question,Coded,,Intrapartum maternal death;Antepartum Maternal Death;Postpartum Maternal Death;Postoperative Death;Natural Death Reportable to Medicolegal Authority;Natural Death;Other generic;,,,,,,,,,
9bb0795c-4ff0-0305-1990-000000000002,,,Chief Complaint Coded,Chief Complaint,,,,,Misc,Coded,,"Abdominal pain;Abdominal or Pelvic Swelling, Mass or Lump;Loss of Appetite;Anxiety State;Chest pain;Cleft Palate;Constipation;Convulsions;Cough;Dental caries;Dysphagia;Localized Edema;Nasal haemorrhage;FTT (failure to thrive) in child;Malaise and Fatigue;Feeding Problem in Elderly;Feeding problems in newborn;Fever;Fracture of upper arm, open;Fracture of upper arm, closed;Bloating Symptom;Gingival and Periodontal Disease;Headache;Hearing Loss;Heartburn;Other Specified Hemiplegia and Hemiparesis Affecting Unspecified Side;Hemoptysis;Hiccoughs;Vagal Hoarseness;Fertility Problem;Injury;Irregular menstrual cycle;Joint swelling;Localized Superficial Swelling, Mass, or Lump;Breast lump;Swelling;Malaise and Fatigue;Memory Loss;Nausea and vomiting;Nausea Alone;Obstructed Labor, Antepartum;Chronic Pain due to Trauma;Knee pain;Backache symptom nos;Palpitations;Polyuria;Complex Partial Seizure Evolving to Generalised Seizure;Simple partial seizure evolving to secondary generalized seizure;simple febrile seizure;Shortness of breath;Stomatitis and Mucositis;Excessive Sweating;Throat pain;Ulcer of lower limb;Vomiting;Walking disability;Wheezing;Other generic;",,,,,,,,,
9bb0795c-4ff0-0305-1990-000000000003,,,Chief Complaint Duration,Units,The units which correspond to the numeric value entered for a duration,,,,Misc,Coded,,Hours;Days;Weeks;Months;Years,,,,,,,,,
9bb0795c-4ff0-0305-1990-000000000004,,,Chief Complaint Data,Chief Complaint,,,,,Concept Details,N/A,,,Chief Complaint Coded;Chief complaint (text);Sign/symptom duration;Chief Complaint Duration;,,,,,,,,
9bb0795c-4ff0-0305-1990-000000000005,,,Image,,,,,,Image,Complex,ImageUrlHandler,,,,,,,,,,
9bb0795c-4ff0-0305-1990-000000000006,,,Consultation Images,,,,,,Misc,N/A,,,Image,,,,,,,,
9bb0795c-4ff0-0305-1990-000000000007,,,Patient Video,,,,,,Video,Complex,VideoUrlHandler,,,,,,,,,,
9bb0795c-4ff0-0305-1990-000000000008,,,Range of Motion,,,,,,Misc,Text,,,,,,,,,,,
9bb0795c-4ff0-0305-1990-000000000009,,,Radiographic Examination,,,,,,Misc,Text,,,,,,,,,,,
9bb0795c-4ff0-0305-1990-000000000010,,,"Diabetes, Diabetes Type",Diabetes type,,,,,Diagnosis,Coded,,"Diabetes mellitus, type 1;Diabetes mellitus, type 2",,,,,,,,,
9bb0795c-4ff0-0305-1990-000000000011,,,"Diabetes, Last known A1C Result",Last known A1C Result,,,,,Misc,Text,,,,,,,,,,,
9bb0795c-4ff0-0305-1990-000000000012,,,"Diabetes, Last HbA1c Date",Last HbA1c Date,,,,,Misc,Date,,,,,,,,,,,
9bb0795c-4ff0-0305-1990-000000000013,,,Duration of smoking (years),Duration of smoking (in years),"For how long some one is smoking/smoked cigarettes or other forms of tobacco, measured in years.",,,,Finding,Numeric,,,,TRUE,,,,0,120,,
9bb0795c-4ff0-0305-1990-000000000014,,,Liters of alcohol consumed (per day),Liters of alcohol consumed per day,Amount of alcohol consumed per day measured in liter.,,,,Finding,Numeric,,,,TRUE,,,,0,,,
1728AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,,Sign/symptom name,sign/symptom,The name of the sign or symptom.,,,,Misc,Coded,,Polyuria;Blurred Vision;Psychogenic Polydipsia;Nocturia - Finding;Abnormal Weight Loss;,,,,,,,,,
162747AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,,Co-morbid conditions,Comorbidities,,,,,Finding,Coded,,Hypertension;Hyperlipidemia;Coronary heart disease;Obesity;Heart failure;Chronic Kidney Disease;,,,,,,,,,
9bb0795c-4ff0-0305-1990-000000000015,,,ACD - Active Case Detection,,,,,,Misc,N/A,,,,,,,,,,,
9bb0795c-4ff0-0305-1990-000000000016,,,PCD - Passive Case Detection,,,,,,Misc,N/A,,,,,,,,,,,
9bb0795c-4ff0-0305-1990-000000000017,,,"Malaria, Source",Source,,,,,Misc,Coded,,ACD - Active Case Detection;PCD - Passive Case Detection;,,,,,,,,,
9bb0795c-4ff0-0305-1990-000000000018,,,Foot examination,Foot examination,,,,,Misc,Text,,,,,,,,,,,
