Gender,Month,3rd,15th,85th,97th
F,0,11.2,12.1,14.7,15.9
F,1,12.1,13.2,16.1,17.3
F,2,13.2,14.3,17.4,18.8
F,3,13.7,14.9,18,19.4
F,4,14,15.2,18.3,19.8
F,5,14.2,15.3,18.5,20
F,6,14.3,15.4,18.6,20.1
F,7,14.3,15.4,18.6,20.1
F,8,14.3,15.4,18.5,20
F,9,14.2,15.3,18.4,19.9
F,10,14.1,15.2,18.2,19.7
F,11,14,15.1,18.1,19.6
F,12,13.9,15,17.9,19.4
F,13,13.8,14.8,17.8,19.2
F,14,13.7,14.7,17.7,19.1
F,15,13.7,14.6,17.5,19
F,16,13.6,14.6,17.4,18.8
F,17,13.5,14.5,17.3,18.7
F,18,13.4,14.4,17.2,18.6
F,19,13.4,14.3,17.2,18.5
F,20,13.3,14.3,17.1,18.5
F,21,13.3,14.2,17,18.4
F,22,13.3,14.2,17,18.3
F,23,13.2,14.2,16.9,18.3
F,24,13.2,14.1,16.9,18.2
F,25,13.4,14.4,17.1,18.5
F,26,13.4,14.4,17.1,18.5
F,27,13.4,14.3,17.1,18.4
F,28,13.4,14.3,17,18.4
F,29,13.4,14.3,17,18.4
F,30,13.3,14.3,17,18.3
F,31,13.3,14.2,17,18.3
F,32,13.3,14.2,16.9,18.3
F,33,13.3,14.2,16.9,18.3
F,34,13.2,14.2,16.9,18.2
F,35,13.2,14.1,16.9,18.2
F,36,13.2,14.1,16.9,18.2
F,37,13.2,14.1,16.8,18.2
F,38,13.2,14.1,16.8,18.2
F,39,13.1,14.1,16.8,18.2
F,40,13.1,14,16.8,18.2
F,41,13.1,14,16.8,18.2
F,42,13.1,14,16.8,18.2
F,43,13,14,16.8,18.2
F,44,13,14,16.8,18.2
F,45,13,14,16.8,18.3
F,46,13,13.9,16.8,18.3
F,47,13,13.9,16.8,18.3
F,48,12.9,13.9,16.8,18.3
F,49,12.9,13.9,16.8,18.3
F,50,12.9,13.9,16.8,18.3
F,51,12.9,13.9,16.8,18.4
F,52,12.9,13.9,16.9,18.4
F,53,12.9,13.9,16.9,18.4
F,54,12.9,13.9,16.9,18.4
F,55,12.9,13.9,16.9,18.4
F,56,12.8,13.8,16.9,18.5
F,57,12.8,13.8,16.9,18.5
F,58,12.8,13.8,16.9,18.5
F,59,12.8,13.8,16.9,18.5
F,60,12.8,13.8,17,18.6
F,61,12.9,13.8,16.9,18.6
F,62,12.9,13.8,16.9,18.6
F,63,12.9,13.8,17,18.7
F,64,12.9,13.8,17,18.7
F,65,12.9,13.8,17,18.7
F,66,12.8,13.8,17,18.7
F,67,12.8,13.8,17,18.8
F,68,12.8,13.8,17,18.8
F,69,12.8,13.8,17,18.8
F,70,12.8,13.8,17,18.9
F,71,12.8,13.8,17.1,18.9
F,72,12.8,13.8,17.1,18.9
F,73,12.8,13.8,17.1,19
F,74,12.8,13.8,17.1,19
F,75,12.8,13.8,17.1,19
F,76,12.8,13.8,17.2,19.1
F,77,12.8,13.8,17.2,19.1
F,78,12.8,13.8,17.2,19.2
F,79,12.8,13.8,17.2,19.2
F,80,12.8,13.8,17.3,19.3
F,81,12.8,13.9,17.3,19.3
F,82,12.9,13.9,17.3,19.3
F,83,12.9,13.9,17.3,19.4
F,84,12.9,13.9,17.4,19.4
F,85,12.9,13.9,17.4,19.5
F,86,12.9,13.9,17.4,19.6
F,87,12.9,13.9,17.5,19.6
F,88,12.9,13.9,17.5,19.7
F,89,12.9,13.9,17.5,19.7
F,90,12.9,14,17.6,19.8
F,91,12.9,14,17.6,19.8
F,92,13,14,17.6,19.9
F,93,13,14,17.7,20
F,94,13,14,17.7,20
F,95,13,14,17.8,20.1
F,96,13,14.1,17.8,20.2
F,97,13,14.1,17.9,20.2
F,98,13.1,14.1,17.9,20.3
F,99,13.1,14.1,18,20.4
F,100,13.1,14.2,18,20.4
F,101,13.1,14.2,18.1,20.5
F,102,13.1,14.2,18.1,20.6
F,103,13.2,14.2,18.2,20.7
F,104,13.2,14.3,18.2,20.7
F,105,13.2,14.3,18.3,20.8
F,106,13.2,14.3,18.3,20.9
F,107,13.3,14.4,18.4,21
F,108,13.3,14.4,18.4,21.1
F,109,13.3,14.4,18.5,21.1
F,110,13.3,14.4,18.5,21.2
F,111,13.4,14.5,18.6,21.3
F,112,13.4,14.5,18.7,21.4
F,113,13.4,14.5,18.7,21.5
F,114,13.4,14.6,18.8,21.6
F,115,13.5,14.6,18.8,21.6
F,116,13.5,14.6,18.9,21.7
F,117,13.5,14.7,18.9,21.8
F,118,13.6,14.7,19,21.9
F,119,13.6,14.7,19.1,22
F,120,13.6,14.8,19.1,22.1
F,121,13.6,14.8,19.2,22.2
F,122,13.7,14.9,19.3,22.2
F,123,13.7,14.9,19.3,22.3
F,124,13.7,14.9,19.4,22.4
F,125,13.8,15,19.5,22.5
F,126,13.8,15,19.5,22.6
F,127,13.9,15.1,19.6,22.7
F,128,13.9,15.1,19.7,22.8
F,129,13.9,15.1,19.8,22.9
F,130,14,15.2,19.8,23
F,131,14,15.2,19.9,23.1
F,132,14,15.3,20,23.2
