uuid,name,description,class,datatype,shortname,synonym.1,synonym.2,reference-term-source,reference-term-code,reference-term-relationship,answer.1,answer.2,answer.3,answer.4,answer.5,answer.6,,
,"Breast Cancer, Pathology Report Date",,Misc,Date,Pathology Report Date,,,,,,,,,,,,,
,"Breast Cancer, Pathologic Diagnosis",,Misc,Coded,Pathologic Diagnosis,,,,,,Invasive Ductal Carcinoma,Invasive Lobular Carcinoma,Other Invasive Carcinoma (Specify),,,,,
,"Breast Cancer, Other Pathologic Diagnosis",,Misc,Text,Other,,,,,,,,,,,,,
,"Breast Cancer, Estrogen Receptor",,Misc,Coded,Estrogen Receptor,,,,,,ER+,ER-,Not determined,,,,,
,"Breast Cancer, Progesterone Receptor",,Misc,Coded,Progesterone Receptor,,,,,,PR+,PR-,Not determined,,,,,
,"Breast Cancer, HER2 IHC",,Misc,Coded,HER2 IHC,,,,,,HER2 IHC+,HER2 IHC-,Not determined,,,,,
,"Breast Cancer, HER2 FISH",,Misc,Coded,HER2 FISH,,,,,,HER2 FISH+,HER2 FISH-,Not determined,,,,,
,"Breast Cancer, Chest X-ray",,Misc,Text,Chest X-ray,,,,,,,,,,,,,
,"Breast Cancer, Chest X-ray Study Date",,Misc,Date,Study Date,,,,,,,,,,,,,
,"Breast Cancer, Abdominal/Pelvic Ultrasound",,Misc,Text,Abdominal/Pelvic Ultrasound,,,,,,,,,,,,,
,"Breast Cancer, Abdominal/Pelvic Ultrasound Study Date",,Misc,Date,Study Date,,,,,,,,,,,,,
,"Breast Cancer, CT Scan of Chest/Abdomen/Pelvis",,Misc,Text,CT Scan of Chest/Abdomen/Pelvis,,,,,,,,,,,,,
,"Breast Cancer, CT Scan of Chest/Abdomen/Pelvis Study Date",,Misc,Date,Study Date,,,,,,,,,,,,,
,"Breast Cancer, Other Imaging Studies",,Misc,Text,Other,,,,,,,,,,,,,
,"Breast Cancer, Other Imaging Study Date",,Misc,Date,Study Date,,,,,,,,,,,,,
,"Breast Cancer, Imaging Assessment & Findings",,Misc,Text,Imaging Assessment & Findings,,,,,,,,,,,,,
,"Breast Cancer, Right Breast Mass",,Misc,Numeric,Mass,,,,,,,,,,,,,
,"Breast Cancer, Right Breast Size",,Misc,Text,Size,,,,,,,,,,,,,
,"Breast Cancer, Right Breast Mobility",,Misc,Coded,Mobility,,,,,,Fixed,Mobile,,,,,,
,"Breast Cancer, Left Breast Mass",,Misc,Numeric,Mass,,,,,,,,,,,,,
,"Breast Cancer, Left Breast Size",,Misc,Text,Size,,,,,,,,,,,,,
,"Breast Cancer, Left Breast Mobility",,Misc,Coded,Mobility,,,,,,Fixed,Mobile,,,,,,
,"Breast Cancer, Skin Changes",,Misc,Text,Skin changes,,,,,,,,,,,,,
,"Breast Cancer, Tumor Stage",,Misc,Coded,Tumor Stage,,,,,,T0 Tumor Stage,T1 Tumor Stage,T2 Tumor Stage,T3 Tumor Stage,T4 Tumor Stage,TX Tumor Stage,Tis Tumor Stage,Td4 Tumor Stage
,"Breast Cancer, Lymph Node Stage",,Misc,Coded,Lymph Node Stage,,,,,,N0 Lymph Node Stage,N1 Lymph Node Stage,N2 Lymph Node Stage,N3 Lymph Node Stage,NX Lymph Node Stage,,,
,"Breast Cancer, Metastatic Stage",,Misc,Coded,Metastatic Stage,,,,,,M0 Metastatic Stage,M1 Metastatic Stage,MX Metastatic Stage,,,,,
,"Breast Cancer, Overall Stage",,Misc,Coded,Overall Stage,,,,,,Stage 0,Stage I,Stage IIA,Stage IIB,Stage IIIA,Stage IIIB,Stage IIIC,Stage IV
,"Breast Cancer, Treatment Group",,Misc,Coded,Treatment Group,,,,,,Early,Locally Advanced,Metastatic,,,,,
,"Breast Cancer, Treatment Intent",,Misc,Coded,Treatment Intent,,,,,,Curative,Palliative Systemic ,Palliation Only,,,,,
,"Breast Cancer, Treatment Planned",,Misc,Coded,Treatment Planned,,,,,,Chemotherapy,Surgery,Radiation Therapy,,,,,
,"Breast Cancer, Regimen Type",,Misc,Coded,Regimen Type,,,,,,Tamoxifen,Doxorubicin + Cyclophosphamide,Paclitaxel,Fluorouracil,Doxorubicin,Cyclophosphamide,Other,
,"Breast Cancer, Other Regimen Type ",,Misc,Text,Other,,,,,,,,,,,,,
,"Breast Cancer, Regimen Timing",,Misc,Coded,Regimen Timing,,,,,,Neoadjuvant,Adjuvant,Palliative,,,,,
,"Breast Cancer, Number of Cycles",,Misc,Numeric,Number of Cycles,,,,,,,,,,,,,
,"Breast Cancer, Planned First Cycle",,Misc,Date,Planned First Cycle,,,,,,,,,,,,,
,"Breast Cancer, Planned Regimen End",,Misc,Date,Planned Regimen End,,,,,,,,,,,,,
,"Breast Cancer, Planned changes to standard regimen",,Misc,Text,Planned changes to standard regimen,,,,,,,,,,,,,
,"Breast Cancer, Surgery Planned Date",,Misc,Date,Planned Date,,,,,,,,,,,,,
,"Breast Cancer, Modified Radical Mastectomy Surgery",,Misc,Boolean,MRM with Axillary Lymph Node Dissection,,,,,,,,,,,,,
,"Breast Cancer, Other Surgery Type",,Misc,Text,Other Surgery Type,,,,,,,,,,,,,
,"Breast Cancer, Surgical Pathology Report Date",,Misc,Date,Surgical Pathology Report Date,,,,,,,,,,,,,
,"Breast Cancer, Pathologic N Stage",(If Surgical pathology is adequate),Misc,Coded,Pathologic N Stage,,,,,,pN0,pN1,pN2,pN3,,,,
,"Breast Cancer, Radiation Therapy Planned Date",,Misc,Date,Planned Date,,,,,,,,,,,,,
