uuid,name,description,class,datatype,shortname,synonym.1,synonym.2,reference-term-source,reference-term-code,reference-term-relationship,answer.1,answer.2,answer.3,answer.4,answer.5,answer.6
,Invasive Ductal carcinoma,,Misc,N/A,Invasive Ductal carcinoma,,,,,,,,,,,
,Invasive Labular carcinoma,,Misc,N/A,Invasive Labular carcinoma,,,,,,,,,,,
,"Estrogen receptor, ER+",,Misc,N/A,ER+,,,,,,,,,,,
,"Estrogen receptor, ER-",,Misc,N/A,ER-,,,,,,,,,,,
,"Breast_cancer, Not determined",,Misc,N/A,Not determined,,,,,,,,,,,
,"Progesterone receptor, PR+",,Misc,N/A,PR+,,,,,,,,,,,
,"Progesterone receptor, PR-",,Misc,N/A,PR-,,,,,,,,,,,
,"HER2 IHC, HER2 IHC+",,Misc,N/A,HER2 IHC+,,,,,,,,,,,
,"HER2 IHC, HER2 IHC-",,Misc,N/A,HER2 IHC-,,,,,,,,,,,
,"HER2 FISH, HER2 FISH+",,Misc,N/A,"HER2 FISH, HER2 FISH+",,,,,,,,,,,
,"HER2 FISH, HER2 FISH-",,Misc,N/A,"HER2 FISH, HER2 FISH-",,,,,,,,,,,
,Moblie,,Misc,N/A,Mobile,,,,,,,,,,,
,Fixed/matted,,Misc,N/A,Fixed/matted,,,,,,,,,,,
,"Overall stage, 0",,Misc,N/A,0,,,,,,,,,,,
,"Overall stage, I",,Misc,N/A,I,,,,,,,,,,,
,"Overall stage, II",,Misc,N/A,II,,,,,,,,,,,
,"Overall stage, III",,Misc,N/A,III,,,,,,,,,,,
,"Overall stage, IV",,Misc,N/A,IV,,,,,,,,,,,
,Early,,Misc,N/A,Early,,,,,,,,,,,
,Locally advanced,,Misc,N/A,Locally advanced,,,,,,,,,,,
,Metastatic,,Misc,N/A,Metastatic,,,,,,,,,,,
,Curative,,Misc,N/A,Curative,,,,,,,,,,,
,Palliative systemic ,,Misc,N/A,Palliative systemic,,,,,,,,,,,
,Palliation Only,,Misc,N/A,Palliation Only,,,,,,,,,,,
,"Regimen type, Tamoxifen",,Misc,N/A,Tamoxifen,,,,,,,,,,,
,"Regimen type, AC",,Misc,N/A,AC,,,,,,,,,,,
,"Regimen type, Paclitaxel",,Misc,N/A,Paclitaxel,,,,,,,,,,,
,"Regimen type, 5-FU",,Misc,N/A,5-FU,,,,,,,,,,,
,"Regimen type, Doxorubicin",,Misc,N/A,Doxorubicin,,,,,,,,,,,
,"Regimen type, Cyclophosphamide",,Misc,N/A,Cyclophosphamide,,,,,,,,,,,
,Neoadjuvant,,Misc,N/A,Neoadjuvant,,,,,,,,,,,
,Adjuvant,,Misc,N/A,Adjuvant,,,,,,,,,,,
,Palliative,,Misc,N/A,Palliative,,,,,,,,,,,
