uuid,name,shortname,description,class,reference-term-source,reference-term-code,reference-term-relationship,child.1,child.2,child.3,child.4,child.5,child.6,child.7,child.8,child.9,child.10,child.11,child.12,child.13,child.14,child.15,child.16,child.17,child.18,child.19,child.20,child.21,child.22,child.23,child.24,child.25,child.26
,"Cervical Cancer, Chemotherapy",Chemotherapy,,Misc,,,,"Cervical Cancer, Regimen Type","Cervical Cancer, Other Regimen Type","Cervical Cancer, Regimen Timing","Cervical Cancer, Number of Cycles","Cervical Cancer, Planned First Cycle","Cervical Cancer, Planned Regimen End","Cervical Cancer, Planned changes to standard regimen",,,,,,,,,,,,,,,,,,,
,"Cervical Cancer, Surgery",Surgery,,Misc,,,,"Cervical Cancer, Surgery Planned Date","Cervical Cancer, Surgery Type",,,,,,,,,,,,,,,,,,,,,,,,
,"Cervical Cancer, Radiation Therapy",Radiation Therapy,,Misc,,,,"Cervical Cancer, Radiation Therapy Planned Date",,,,,,,,,,,,,,,,,,,,,,,,,
,"Cervical Cancer, Pathology",Pathology,,Misc,,,,"Cervical Cancer, Pathology Report Date","Cervical Cancer, Pathologic Diagnosis","Cervical Cancer, Other Pathologic Diagnosis",,,,,,,,,,,,,,,,,,,,,,,
,"Cervical Cancer, Imaging Studies",Imaging Studies,,Misc,,,,"Cervical Cancer, Chest X-ray","Cervical Cancer, Chest X-ray Study Date","Cervical Cancer, Abdominal/Pelvic Ultrasound","Cervical Cancer, Abdominal/Pelvic Ultrasound Study Date","Cervical Cancer, CT Scan of Chest/Abdomen/Pelvis","Cervical Cancer, CT Scan of Chest/Abdomen/Pelvis Study Date","Cervical Cancer, Other Imaging Studies","Cervical Cancer, Other Imaging Study Date","Cervical Cancer, Imaging Assessment & Findings",,,,,,,,,,,,,,,,,
,"Cervical Cancer, Mass",Mass,,Misc,,,,"Cervical Cancer, Mass Location","Cervical Cancer, Mass Size","Cervical Cancer, Mass Notes",,,,,,,,,,,,,,,,,,,,,,,
,"Cervical Cancer, Confirmed Disease Stage",Confirmed Disease Stage,,Misc,,,,"Cervical Cancer, Overall Stage","Cervical Cancer, Reason if unable to stage","Cervical Cancer, Other reason if unable to stage",,,,,,,,,,,,,,,,,,,,,,,
,"Cervical Cancer, Treatment Plan",Treatment Plan,,Misc,,,,"Cervical Cancer, Treatment Intent","Cervical Cancer, Treatment Planned",,,,,,,,,,,,,,,,,,,,,,,,
,Cervical Cancer Intake Template,Cervical Cancer - Intake,,Misc,,,,"Cervical Cancer, Pathology","Cervical Cancer, Imaging Studies","Cervical Cancer, Mass","Cervical Cancer, Confirmed Disease Stage","Cervical Cancer, Current Medications","Cervical Cancer, Known Allergies","Cervical Cancer, HIV Positive","Cervical Cancer, Treatment Plan","Cervical Cancer, Surgery","Cervical Cancer, Radiation Therapy","Cervical Cancer, Chemotherapy",,,,,,,,,,,,,,,
,Cervical Cancer Templates,Cervical Cancer,,Misc,,,,Cervical Cancer Intake Template,,,,,,,,,,,,,,,,,,,,,,,,,
