uuid,name,description,class,datatype,shortname,synonym.1,synonym.2,reference-term-source,reference-term-code,reference-term-relationship,answer.1,answer.2,answer.3,answer.4,answer.5,answer.6
,Squamous Cell Carcinoma,,Misc,N/A,Squamous Cell Carcinoma,,,,,,,,,,,
,Adenocarcinoma,,Misc,N/A,Adenocarcinoma,,,,,,,,,,,
,Stage IA,,Misc,N/A,IA,,,,,,,,,,,
,Stage IB,,Misc,N/A,IIA,,,,,,,,,,,
,Stage IIA,,Misc,N/A,IIIA,,,,,,,,,,,
,Stage IIB,,Misc,N/A,IVA,,,,,,,,,,,
,Stage IIIA,,Misc,N/A,IB,,,,,,,,,,,
,Stage IIIB,,Misc,N/A,IIB,,,,,,,,,,,
,Stage IVA,,Misc,N/A,IIIB,,,,,,,,,,,
,Stage IVB,,Misc,N/A,IVB,,,,,,,,,,,
,S/P Surgery,,Misc,N/A,S/P Surgery,,,,,,,,,,,
,S/P Chemotherapy,,Misc,N/A,S/P Chemotherapy,,,,,,,,,,,
,S/P Radiotherapy,,Misc,N/A,S/P Radiotherapy,,,,,,,,,,,
,Other,,Misc,N/A,Other,,,,,,,,,,,
,Curative,,Misc,N/A,Curative,,,,,,,,,,,
,Palliative systemic therapy,,Misc,N/A,Palliative systemic therapy,,,,,,,,,,,
,Palliation Only,,Misc,N/A,Palliation Only,,,,,,,,,,,
,Adjuvant,,Misc,N/A,Adjuvant,,,,,,,,,,,
,Neoadjuvant,,Misc,N/A,Neoadjuvant,,,,,,,,,,,
,Concurrent,,Misc,N/A,Concurrent,,,,,,,,,,,
,Carboplatim/pacilitaxel,,Misc,N/A,Carboplatim/pacilitaxel,,,,,,,,,,,
,Cisplatin,,Misc,N/A,Cisplatin,,,,,,,,,,,
