uuid,name,description,class,datatype,shortname,synonym.1,synonym.2,reference-term-source,reference-term-code,reference-term-relationship,answer.1,answer.2,answer.3,answer.4,answer.5,answer.6,,
,"Colon Cancer, Pathology Report Date",                                                                  ,Misc,Date,Pathology Report Date,,,,,,,,,,,,,
,"Colon Cancer, Invasive Adenocarcinoma",                                                                     ,Misc,Boolean,Invasive Adenocarcinoma,,,,,,,,,,,,,
,"Colon Cancer, Other Pathologic Diagnosis",,Misc,Text,Other,,,,,,,,,,,,,
,"Colon Cancer, Colonoscopy Date",,Misc,Date,Date,,,,,,,,,,,,,
,"Colon Cancer, Colonoscopy Findings",,Misc,Text,Findings,,,,,,,,,,,,,
,"Colon Cancer, Chest X-ray",,Misc,Text,Chest X-ray,,,,,,,,,,,,,
,"Colon Cancer, Chest X-ray Study Date",,Misc,Date,Study Date,,,,,,,,,,,,,
,"Colon Cancer, Abdominal Ultrasound",,Misc,Text,Abdominal Ultrasound,,,,,,,,,,,,,
,"Colon Cancer, Abdominal Ultrasound Study Date",,Misc,Date,Study Date,,,,,,,,,,,,,
,"Colon Cancer, CT Scan of Abdomen/Pelvis",,Misc,Text,CT Scan of Abdomen/Pelvis,,,,,,,,,,,,,
,"Colon Cancer, CT Scan of Abdomen/Pelvis Study Date",,Misc,Date,Study Date,,,,,,,,,,,,,
,"Colon Cancer, CT Scan of Chest",,Misc,Text,CT Scan of Chest,,,,,,,,,,,,,
,"Colon Cancer, CT Scan of Chest Study Date",,Misc,Date,Study Date,,,,,,,,,,,,,
,"Colon Cancer, Barium Enema",,Misc,Text,Barium Enema,,,,,,,,,,,,,
,"Colon Cancer, Barium Enema Study Date",,Misc,Date,Study Date,,,,,,,,,,,,,
,"Colon Cancer, Other Imaging Studies",,Misc,Text,Other,,,,,,,,,,,,,
,"Colon Cancer, Other Imaging Study Date",,Misc,Date,Study Date,,,,,,,,,,,,,
,"Colon Cancer, Imaging Assessment & Findings",,Misc,Text,Imaging Assessment & Findings,,,,,,,,,,,,,
,"Colon Cancer, Mass Location",,Misc,Coded,Location,,,,,,Right Side,Left Side,Sigmoid,Other,,,,
,"Colon Cancer, Mass Size",,Misc,Text,Size,,,,,,,,,,,,,
,"Colon Cancer, Other Mass Details",,Misc,Text,Other Details,,,,,,,,,,,,,
,"Colon Cancer, Pre-Operative Clinical Staging",,Misc,Coded,Pre-Operative Clinical Staging,,,,,,Resectable Disease (Stage I-III),Metastatic Disease (Stage IV),Patient S/P Surgical Resection,,,,,
,"Colon Cancer, Treatment Intent",,Misc,Coded,Treatment Intent,,,,,,Curative,Palliative Systemic,Palliation Only,,,,,
,"Colon Cancer, Treatment Planned",,Misc,Coded,Treatment Planned,,,,,,Post-Operative / Palliative Chemotherapy,Surgery,Radiation Therapy,,,,,
,"Colon Cancer, Surgery Date",,Misc,Date,Date,,,,,,,,,,,,,
,"Colon Cancer, Colectomy",,Misc,Boolean,Colectomy,,,,,,,,,,,,,
,"Colon Cancer, Other Surgery",,Misc,Text,Other Surgery,,,,,,,,,,,,,
,"Colon Cancer, Surgical Pathology Report Date",,Misc,Date,Surgical Pathology Report Date,,,,,,,,,,,,,
,"Colon Cancer, Tumor Stage",,Misc,Coded,Tumor Stage,,,,,,T0 Tumor Stage,T1 Tumor Stage,T2 Tumor Stage,T3 Tumor Stage,T4 Tumor Stage,TX Tumor Stage,Tis Tumor Stage,Td4 Tumor Stage
,"Colon Cancer, Lymph Node Stage",,Misc,Coded,Lymph Node Stage,,,,,,N0 Lymph Node Stage,N1 Lymph Node Stage,N2 Lymph Node Stage,N3 Lymph Node Stage,NX Lymph Node Stage,,,
,"Colon Cancer, Metastatic Stage",,Misc,Coded,Metastatic Stage,,,,,,M0 Metastatic Stage,M1 Metastatic Stage,MX Metastatic Stage,,,,,
,"Colon Cancer, Overall Stage",,Misc,Coded,Overall Stage,,,,,,Stage 0,Stage I,Stage IIA,Stage IIB,Stage IIIA,Stage IIIB,Stage IIIC,Stage IV
,"Colon Cancer, 5-FU/Leucovorin",,Misc,Boolean,5-FU/Leucovorin,,,,,,,,,,,,,
,"Colon Cancer, Number of Cycles",,Misc,Numeric,Number of Cycles,,,,,,,,,,,,,
,"Colon Cancer, Planned First Cycle Date",,Misc,Date,Planned First Cycle,,,,,,,,,,,,,
,"Colon Cancer, Planned Regimen End Date",,Misc,Date,Planned Regimen End,,,,,,,,,,,,,
,"Colon Cancer, Planned changes to standard regimen",,Misc,Text,Planned changes to standard regimen,,,,,,,,,,,,,
,"Colon Cancer, Radiation Therapy Planned Date",,Misc,Date,Planned Date,,,,,,,,,,,,,
