uuid,name,description,class,datatype,shortname,synonym.1,synonym.2,reference-term-source,reference-term-code,reference-term-relationship,answer.1,answer.2,answer.3,answer.4,answer.5,answer.6,,
,"Gastric Cancer, Pathology Report Date",,Misc,Date,Pathology Report Date,,,,,,,,,,,,,
,"Gastric Cancer, Invasive Adenocarcinoma",,Misc,Boolean,Invasive Adenocarcinoma,,,,,,,,,,,,,
,"Gastric Cancer, Other Pathologic Diagnosis",,Misc,Text,Other,,,,,,,,,,,,,
,"Gastric Cancer, Endoscopy Date",,Misc,Date,Date,,,,,,,,,,,,,
,"Gastric Cancer, Endoscopy Findings",,Misc,Text,Findings,,,,,,,,,,,,,
,"Gastric Cancer, Chest X-ray",,Misc,Text,Chest X-ray,,,,,,,,,,,,,
,"Gastric Cancer, Chest X-ray Study Date",,Misc,Date,Study Date,,,,,,,,,,,,,
,"Gastric Cancer, Abdominal Ultrasound",,Misc,Text,Abdominal Ultrasound,,,,,,,,,,,,,
,"Gastric Cancer, Abdominal Ultrasound Study Date",,Misc,Date,Study Date,,,,,,,,,,,,,
,"Gastric Cancer, CT Scan of Abdomen/Pelvis",,Misc,Text,CT Scan of Abdomen/Pelvis,,,,,,,,,,,,,
,"Gastric Cancer, CT Scan of Abdomen/Pelvis Study Date",,Misc,Date,Study Date,,,,,,,,,,,,,
,"Gastric Cancer, CT Scan of Chest",,Misc,Text,CT Scan of Chest,,,,,,,,,,,,,
,"Gastric Cancer, CT Scan of Chest Study Date",,Misc,Date,Study Date,,,,,,,,,,,,,
,"Gastric Cancer, Other Imaging Studies",,Misc,Text,Other,,,,,,,,,,,,,
,"Gastric Cancer, Other Imaging Study Date",,Misc,Date,Study Date,,,,,,,,,,,,,
,"Gastric Cancer, Imaging Assessment & Findings",,Misc,Text,Imaging Assessment & Findings,,,,,,,,,,,,,
,"Gastric Cancer, Mass Location",,Misc,Coded,Location,,,,,,Distal Esophagus,Gastro-esophageal Junction,Fundus of Stomach,Body of Stomach,Pylorus,Other,,
,"Gastric Cancer, Mass Size",,Misc,Text,Size,,,,,,,,,,,,,
,"Gastric Cancer, Lymphadenopathy",,Misc,Coded,Lymphadenopathy,,,,,,Superclavicular,Periumbilical,Left Axillary,Other,,,,
,"Gastric Cancer, Other Mass Details",,Misc,Text,Other Mass Details,,,,,,,,,,,,,
,"Gastric Cancer, Pre-Operative Clinical Staging",,Misc,Coded,Pre-Operative Clinical Staging,,,,,,Resectable/Curable Disease,Locally Advanced Unresectable Disease,Metastatic Disease,Patient S/P Surgical Resection,,,,
,"Gastric Cancer, Treatment Intent",,Misc,Coded,Treatment Intent,,,,,,Curative,Palliative Systemic,Palliation Only,,,,,
,"Gastric Cancer, Treatment Planned",,Misc,Coded,Treatment Planned,,,,,,Pre-Operative Chemotherapy,Surgery,Post-Operative Chemotherapy,Radiation Therapy,,,,
,"Gastric Cancer, Surgery Date",,Misc,Date,Date,,,,,,,,,,,,,
,"Gastric Cancer, Surgery Type",,Misc,Coded,Type,,,,,,Gastrectomy,Esophagectomy,Other,,,,,
,"Gastric Cancer, Other Surgery",,Misc,Text,Other Surgery,,,,,,,,,,,,,
,"Gastric Cancer, Surgical Pathology Report Date",,Misc,Date,Surgical Pathology Report Date,,,,,,,,,,,,,
,"Gastric Cancer, Tumor Stage",,Misc,Coded,Tumor Stage,,,,,,T0 Tumor Stage,T1 Tumor Stage,T2 Tumor Stage,T3 Tumor Stage,T4 Tumor Stage,TX Tumor Stage,Tis Tumor Stage,Td4 Tumor Stage
,"Gastric Cancer, Lymph Node Stage",,Misc,Coded,Lymph Node Stage,,,,,,N0 Lymph Node Stage,N1 Lymph Node Stage,N2 Lymph Node Stage,N3 Lymph Node Stage,NX Lymph Node Stage,,,
,"Gastric Cancer, Metastatic Stage",,Misc,Coded,Metastatic Stage,,,,,,M0 Metastatic Stage,M1 Metastatic Stage,MX Metastatic Stage,,,,,
,"Gastric Cancer, Overall Stage",,Misc,Coded,Overall Stage,,,,,,Stage 0,Stage I,Stage IIA,Stage IIB,Stage IIIA,Stage IIIB,Stage IIIC,Stage IV
,"Gastric Cancer, Helicobacter pylori Status",,Misc,Coded,H. pylori Status,,,,,,Positive,Negative,Not determined,,,,,
,"Gastric Cancer, Pre-Operative Chemotherapy, Folfox",,Misc,Boolean,Folfox,,,,,,,,,,,,,
,"Gastric Cancer, Pre-Operative Chemotherapy, Number of Cycles",,Misc,Numeric,Number of Cycles,,,,,,,,,,,,,
,"Gastric Cancer, Pre-Operative Chemotherapy, Planned First Cycle Date",,Misc,Date,Planned First Cycle,,,,,,,,,,,,,
,"Gastric Cancer, Pre-Operative Chemotherapy, Planned Regimen End Date",,Misc,Date,Planned Regimen End,,,,,,,,,,,,,
,"Gastric Cancer, Pre-Operative Chemotherapy, Planned changes to standard regimen",,Misc,Text,Planned changes to standard regimen,,,,,,,,,,,,,
,"Gastric Cancer, Post-Operative Chemotherapy, Folfox",,Misc,Boolean,Folfox,,,,,,,,,,,,,
,"Gastric Cancer, Post-Operative Chemotherapy, Cycles",,Misc,Numeric,Number of Cycles,,,,,,,,,,,,,
,"Gastric Cancer, Post-Operative Chemotherapy, Planned First Cycle Date",,Misc,Date,Planned First Cycle,,,,,,,,,,,,,
,"Gastric Cancer, Post-Operative Chemotherapy, Planned Regimen End Date",,Misc,Date,Planned Regimen End,,,,,,,,,,,,,
,"Gastric Cancer, Post-Operative Chemotherapy, Planned changes to standard regimen",,Misc,Text,Planned changes to standard regimen,,,,,,,,,,,,,
,"Gastric Cancer, Radiation Therapy Planned Date",,Misc,Date,Planned Date,,,,,,,,,,,,,
