uuid,name,description,class,datatype,shortname,synonym.1,synonym.2,reference-term-source,reference-term-code,reference-term-relationship,answer.1,answer.2,answer.3,answer.4,answer.5,answer.6
,Gastric Cancer,                                                                  ,Diagnosis,N/A,Gastric cancer,,,,,,,,,,,
, Distal Esophageal or Gastro-estophageal,                                                                  ,Diagnosis,N/A,Distal Esophageal or Gastro-estophageal,,,,,,,,,,,
,Junction Cancer,,Diagnosis,N/A,Junction Cancer,,,,,,,,,,,
,Invasive Adenocarcinoma,,Diagnosis,N/A,Invasive Adenocarcinoma,,,,,,,,,,,
,Distal Esophagus,,Misc,N/A,Distal Esophagus,,,,,,,,,,,
,Gastro-esophageal Junction,,Misc,N/A,Gastro-esophageal Junction,,,,,,,,,,,
,Fundus of Stomach,,Misc,N/A,Fundus of Stomach,,,,,,,,,,,
,Body of Stomach,,Misc,N/A,Body of Stomach,,,,,,,,,,,
,Pylorus,,Misc,N/A,Pylorus,,,,,,,,,,,
,Superclavicular,,Misc,N/A,Superclavicular,,,,,,,,,,,
,Periumbilical,,Misc,N/A,Periumbilical,,,,,,,,,,,
,Left auxilliary,,Misc,N/A,Left auxilliary,,,,,,,,,,,
,Resectable / Curable Disease,,Misc,N/A,Resectable / Curable Disease,,,,,,,,,,,
,Locally Advanced Unresectable Disease,,Misc,N/A,Locally Advanced Unresectable Disease,,,,,,,,,,,
,Metastatic Disease,,Misc,N/A,Metastatic Disease,,,,,,,,,,,
,Patient s/p surgical resection,,Misc,N/A,Patient s/p surgical resection,,,,,,,,,,,
,Curative,,Misc,Procedure,Curative,,,,,,,,,,,
,Palliative systemic therapy,,Misc,Procedure,Palliative systemic therapy,,,,,,,,,,,
,Palliation Only,,Misc,Procedure,Palliation Only,,,,,,,,,,,
,Gatrectomy,,Misc,N/A,Gatrectomy,,,,,,,,,,,
,Esophagectomy,,Misc,N/A,Esophagectomy,,,,,,,,,,,
,"Gastric, Overall Stage - 0",,Misc,N/A,0,,,,,,,,,,,
,"Gastric, Overall Stage – 1",,Misc,N/A,I,,,,,,,,,,,
,"Gastric, Overall Stage – 2",,Misc,N/A,II,,,,,,,,,,,
,"Gastric, Overall Stage – 3",,Misc,N/A,III,,,,,,,,,,,
,"Gastric, Overall Stage – 4",,Misc,N/A,IV,,,,,,,,,,,
