uuid,name,description,class,datatype,shortname,synonym.1,synonym.2,reference-term-source,reference-term-code,reference-term-relationship,answer.1,answer.2,answer.3,answer.4,answer.5,answer.6
,2 week,,Misc,N/A,2 week,,,,,,,,,,,
,3 months,,Misc,N/A,3 months,,,,,,,,,,,
,Ace Inhibitor,,Misc,N/A,Ace Inhibitor,,,,,,,,,,,
,Active Surveillance,,Misc,N/A,Active Surveillance,,,,,,,,,,,
,Acute decompensation,,Misc,N/A,Acute decompensation,,,,,,,,,,,
,Acute Headache,,Misc,N/A,Acute Headache,,,,,,,,,,,
,Acute Rheumatic fever,,Misc,N/A,Acute Rheumatic fever,,,,,,,,,,,
,Acute Viral Polyarthritis,,Misc,N/A,Acute Viral Polyarthritis,,,,,,,,,,,
,Adenocarcinoma,,Misc,N/A,Adenocarcinoma,,,,,,,,,,,
,Adjuvant,,Misc,N/A,Adjuvant,,,,,,,,,,,
,Adverse Effect of Medicine,,Misc,N/A,Adverse Effect of Medicine,,,,,,,,,,,
,Adverse Effects,,Misc,N/A,Adverse effects,,,,,,,,,,,
,Age <50 Q12MO,,Misc,N/A,Age <50 Q12MO,,,,,,,,,,,
,Age > 60/65 m/f,,Misc,N/A,Age > 60/65 m/f,,,,,,,,,,,
,"Albuminuria, A1",,Misc,N/A,"Albuminuria, A1",,,,,,,,,,,
,"Albuminuria, A2",,Misc,N/A,"Albuminuria, A2",,,,,,,,,,,
,"Albuminuria, A3",,Misc,N/A,"Albuminuria, A3",,,,,,,,,,,
,Alcohol,,Misc,N/A,Alcohol,,,,,,,,,,,
,Alcohol Abuse,,Misc,N/A,Alcohol Abuse,,,,,,,,,,,
,All other,,Misc,N/A,All other,,,,,,,,,,,
,All the Time,,Misc,N/A,All the Time,,,,,,,,,,,
,Alzheimer Disease,,Misc,N/A,Alzheimer disease,,,,,,,,,,,
,Amoldipine,,Misc,N/A,Amoldipine,,,,,,,,,,,
,Anaphylaxis,,Misc,N/A,Anaphylaxis,,,,,,,,,,,
,Angina,,Misc,N/A,Angina,,,,,,,,,,,
,Angiography,,Misc,N/A,Angiography,,,,,,,,,,,
,Anorexia,,Misc,N/A,Anorexia,,,,,,,,,,,
,Antibiotics,,Misc,N/A,Antibiotics,,,,,,,,,,,
,Aortic Regurg,,Misc,N/A,Aortic Regurg,,,,,,,,,,,
,Aortic Stenosis,,Misc,N/A,Aortic Stenosis,,,,,,,,,,,
,Articular,,Misc,N/A,Articular,,,,,,,,,,,
,Arythmia,,Misc,N/A,Arythmia,,,,,,,,,,,
,Aspirin,,Misc,N/A,Aspirin,,,,,,,,,,,
