uuid,name,description,class,datatype,shortname,synonym.1,synonym.2,reference-term-source,reference-term-code,reference-term-relationship,answer.1,answer.2,answer.3,answer.4,answer.5,answer.6
,"Kaposis Sarcoma, Pathology Report Date",,Misc,Date,Pathology Report Date,,,,,,,,,,,
,"Kaposis Sarcoma, HIV Positive","Must have records, can not be self-reported",Misc,Boolean,HIV Positive,,,,,,,,,,,
,"Kaposis Sarcoma, HIV Diagnosis Date",,Misc,Date,Diagnosis Date,,,,,,,,,,,
,"Kaposis Sarcoma, On ART",,Misc,Boolean,On ART,,,,,,,,,,,
,"Kaposis Sarcoma, ART Start Date",,Misc,Date,Start Date,,,,,,,,,,,
,"Kaposis Sarcoma, ART Regimen",,Misc,Text,Regimen,,,,,,,,,,,
,"Kaposis Sarcoma, Will Start ART",,Misc,Boolean,Will Start ART,,,,,,,,,,,
,"Kaposis Sarcoma, ART Planned Start Date",,Misc,Date,Planned Start Date,,,,,,,,,,,
,"Kaposis Sarcoma, ART Start Regimen ",,Misc,Text,Regimen,,,,,,,,,,,
,"Kaposis Sarcoma, Not on ART",,Misc,Boolean,Not on ART,,,,,,,,,,,
,"Kaposis Sarcoma, Reason for Not on ART",,Misc,Text,Reason,,,,,,,,,,,
,"Kaposis Sarcoma, Number of Skin Lesions",,Misc,Numeric,Number of Skin Lesions,,,,,,,,,,,
,"Kaposis Sarcoma, Size of Largest Skin Lesion",,Misc,Text,Size of Largest Skin Lesion,,,,,,,,,,,
,"Kaposis Sarcoma, Oral Lesion",,Misc,Coded,Oral Lesion,,,,,,Flat,Raised,,,,
,"Kaposis Sarcoma, Palpable Lymph Nodes",,Misc,Coded,Palpable Lymph Nodes,,,,,,Inguinal,Other,,,,
,"Kaposis Sarcoma, Edema",,Misc,Coded,Edema,,,,,,Indurated/Hard,,,,,
,"Kaposis Sarcoma, Probable Visceral Involvement",,Misc,Coded,Probable Visceral Involvement,,,,,,Lung,Liver,GI,Other,,
,"Kaposis Sarcoma, Other Probable Visceral Involvement",,Misc,Text,Other (specify),,,,,,,,,,,
,"Kaposis Sarcoma, Systemic Illness",,Misc,Coded,Systemic Illness,,,,,,Night Sweats,Unexplained Fever,Diarrhea for 2 weeks ,Reported Weight Loss greater than 10 percent,,
,"Kaposis Sarcoma, HIV Related Illness",,Misc,Coded,Other HIV Related Illness,,,,,,Thrust/Yeast,HIV Related Neuropathy,HIV Related Lymphoma,Other,,
,"Kaposis Sarcoma, Specify Other HIV Related Illness",,Misc,Text,Other (specify),,,,,,,,,,,
,"Kaposis Sarcoma, Chest X-Ray",,Misc,Text,Chest X-Ray,,,,,,,,,,,
,"Kaposis Sarcoma, Chest X-Ray Study date",,Misc,Date,Study date,,,,,,,,,,,
,"Kaposis Sarcoma, Abdominal/Pelvic Ultrasound",,Misc,Text,Abdominal/Pelvic Ultrasound,,,,,,,,,,,
,"Kaposis Sarcoma, Abdominal/Pelvic Ultrasound Study Date",,Misc,Date,Study date,,,,,,,,,,,
,"Kaposis Sarcoma, CT Scan of Chest/Abdomen/Pelvis",,Misc,Text,CT Scan of Chest/Abdomen/Pelvis,,,,,,,,,,,
,"Kaposis Sarcoma, CT Scan of Chest/Abdomen/Pelvis Study Date",,Misc,Date,Study date,,,,,,,,,,,
,"Kaposis Sarcoma, Other Imaging Studies",,Misc,Text,Other,,,,,,,,,,,
,"Kaposis Sarcoma, Imaging Assessment & Findings",,Misc,Text,Imaging Assessment & Findings,,,,,,,,,,,
,"Kaposis Sarcoma, ECOG Functional Status",,Misc,Numeric,ECOG Functional Status,,,,,,,,,,,
,"Kaposis Sarcoma, Tumor Stage",,Misc,Coded,Tumor Stage,,,,,,Stage T0,Stage T1,,,,
,"Kaposis Sarcoma, Immune System Stage",,Misc,Coded,Immune System Stage,,,,,,Stage I0,Stage I1,,,,
,"Kaposis Sarcoma, Systemic Illness Stage",,Misc,Coded,Systemic Illness Stage,,,,,,Stage S0,Stage S1,,,,
,"Kaposis Sarcoma, ACTG Clustered Stage",,Misc,Coded,ACTG Clustered Stage,,,,,,Stage I,Stage II,Stage III,,,
,"Kaposis Sarcoma, Treatment Intent",,Misc,Coded,Treatment Intent,,,,,,Palliative Systemic,Palliation Only,,,,
,"Kaposis Sarcoma, Treatment Planned",,Misc,Coded,Treatment Planned,,,,,,Chemotherapy,Radiation Therapy,,,,
,"Kaposis Sarcoma, Regimen Type ",,Misc,Coded,Regimen Type,,,,,,Paclitaxel,Other,,,,
,"Kaposis Sarcoma, Other Regimen Type",,Misc,Text,Other (specify),,,,,,,,,,,
,"Kaposis Sarcoma, Number of Cycles",,Misc,Text,Number of Cycles,,,,,,,,,,,
,"Kaposis Sarcoma, Planned First Cycle Date",,Misc,Date,Planned First Cycle,,,,,,,,,,,
,"Kaposis Sarcoma, Planned Regimen End Date",,Misc,Date,Planned Regimen End,,,,,,,,,,,
,"Kaposis Sarcoma, Planned changes to standard regimen",,Misc,Text,Planned changes to standard regimen,,,,,,,,,,,
,"Kaposis Sarcoma, Radiation Therapy Planned Date",,Misc,Date,Planned Date,,,,,,,,,,,
