uuid,name,description,class,datatype,shortname,reference-term-source,reference-term-code,reference-term-relationship,answer.1,answer.2,answer.3,answer.4,answer.5,answer.6,answer.7,answer.8,answer.9,answer.10,answer.11,answer.12,answer.13,answer.14,answer.15,answer.16
,"Leprosy, Diagnosis Date",,Misc,Date,Diagnosis Date,,,,,,,,,,,,,,,,,,,
,"Leprosy, Diagnosed By",,Misc,Coded,Diagnosed By,,,,Self Reported,Active Surveillance,,,,,,,,,,,,,,
,"Leprosy, Lepromatous Pole",,Misc,Coded,Lepromatous Pole,,,,Slit Skin Positive,Nodular,Histoid,,,,,,,,,,,,,
,"Leprosy, Disability",,Misc,Text,Disability,,,,,,,,,,,,,,,,,,,
,"Leprosy, Treatment",,Misc,Text,Treatment,,,,,,,,,,,,,,,,,,,
,"Leprosy, Currently on Treatment",,Misc,Boolean,Currently on Treatment,,,,,,,,,,,,,,,,,,,
,"Leprosy, Disease Type",TT = Tuberculoid<br>BT = Borderline tuberculoid<br>BB = Midspectrum borderline<br>BL = Borderline lepromatous<br>LL = Lepromatous<br>PAN = Pure neurotic,Misc,Coded,Disease Type,,,,Tuberculoid,Borderline Tuberculoid,Midspectrum Borderline,Borderline Lepromatous,Lepromatous,Pure Neurotic,,,,,,,,,,
,"Leprosy, ENL",,Misc,Boolean,ENL,,,,,,,,,,,,,,,,,,,
,"Leprosy, Multidrug Therapy",,Misc,Boolean,Multidrug Therapy,,,,,,,,,,,,,,,,,,,
,"Leprosy, Multidrug Therapy Kind",,Misc,Coded,Multidrug Therapy Kind,,,,Multibacillary Leprosy,Paucibacillary Leprosy,,,,,,,,,,,,,,
,"Leprosy, Multidrug Therapy Duration",in months,Misc,Numeric,Multidrug Therapy Duration,,,,,,,,,,,,,,,,,,,
,"Leprosy, WHO Classification",,Misc,Coded,WHO Classification,,,,Multibacillary Leprosy,Paucibacillary Leprosy,,,,,,,,,,,,,,
,"Leprosy, Disability Score",,Misc,Numeric,Disability Score,,,,,,,,,,,,,,,,,,,
,"Leprosy, Presence of Neurodeficit at Presentation",,Misc,Boolean,Presence of Neurodeficit at Presentation,,,,,,,,,,,,,,,,,,,
,"Leprosy, On Complete Anesthesia",,Misc,Boolean,On Complete Anesthesia,,,,,,,,,,,,,,,,,,,
,"Leprosy, Deformity",,Misc,Text,Deformity,,,,,,,,,,,,,,,,,,,
,"Leprosy, Presence of Ulcer at Presentation",,Misc,Boolean,Presence of Ulcer at Presentation,,,,,,,,,,,,,,,,,,,
,"Leprosy, Smear Positive",,Misc,Boolean,Smear Positive,,,,,,,,,,,,,,,,,,,
,"Leprosy, Smear Positive in Diagnosis",,Misc,Text,Smear Positive in Diagnosis,,,,,,,,,,,,,,,,,,,
,"Leprosy, Duration of Treatment at this Hospital",in months,Misc,Numeric,Duration of Treatment at this Hospital,,,,,,,,,,,,,,,,,,,
,"Leprosy, Motor Outcome",I=Improved<br>D=Deteriorated<br>S=Status quo<br>N=Never had problems<br>L=Lost to follow up<br>P=Results pending,Misc,Coded,Motor Outcome,,,,Improved,Deteriorated,Status Quo,Never Had Problems,Lost of Follow Up,Results Pending,,,,,,,,,,
,"Leprosy, Functional Outcome",,Misc,Coded,Functional Outcome,,,,Improved,Deteriorated,Status Quo,Never Had Problems,Lost of Follow Up,Results Pending,,,,,,,,,,
,"Leprosy, Sensory Outcome",,Misc,Coded,Sensory Outcome,,,,Improved,Deteriorated,Status Quo,Never Had Problems,Lost of Follow Up,Results Pending,,,,,,,,,,
,"Leprosy, Sensory Symptoms Outcome",,Misc,Coded,Sensory Symptoms Outcome,,,,Improved,Deteriorated,Status Quo,Never Had Problems,Lost of Follow Up,Results Pending,,,,,,,,,,
,"Leprosy, ENL Outcome",,Misc,Coded,ENL Outcome,,,,Improved,Deteriorated,Status Quo,Never Had Problems,Lost of Follow Up,Results Pending,,,,,,,,,,
,"Leprosy, Skin Lesions Outcome",,Misc,Coded,Skin Lesions Outcome,,,,Improved,Deteriorated,Status Quo,Never Had Problems,Lost of Follow Up,Results Pending,,,,,,,,,,
,"Leprosy, Completed at least 6months of Treatment",,Misc,Boolean,Completed at least 6months of Treatment,,,,,,,,,,,,,,,,,,,
,"Leprosy, Comments",,Misc,Text,Comments,,,,,,,,,,,,,,,,,,,
,"Leprosy, Record Last reviewed",,Misc,Date,Record Last Reviewed,,,,,,,,,,,,,,,,,,,
