uuid,name,shortname,description,class,reference-term-source,reference-term-code,reference-term-relationship,child.1,child.2,child.3,child.4,child.5,child.6,child.7,child.8,child.9,child.10,child.11,child.12,child.13,child.14,child.15,child.16,child.17,child.18,child.19,child.20,child.21,child.22,child.23,child.24,child.25,child.26
,"Nephroblastoma, Imaging Studies",Imaging studies,,Misc,,,,"Nephroblastoma, Chest X-ray","Nephroblastoma, Chest X-ray study date","Nephroblastoma, Abdominal Ultrasound","Nephroblastoma, Abdominal Ultrasound study date","Nephroblastoma, CT scan of Abdomen / Pelvis","Nephroblastoma, CT scan of Abdomen / Pelvis study date","Nephroblastoma, CT scan of Chest","Nephroblastoma, CT scan of Chest study date","Nephroblastoma, Imaging Assessment & Findings",,,,,,,,,,,,,,,,,
,"Nephroblastoma, Left Kidney",Left Kidney,,Misc,,,,"Nephroblastoma, Left Kidney Mass","Nephroblastoma, Left Kidney Size",,,,,,,,,,,,,,,,,,,,,,,,
,"Nephroblastoma, Right Kidney",Right Kidney,,Misc,,,,"Nephroblastoma, Right Kidney Mass","Nephroblastoma, Right Kidney Size",,,,,,,,,,,,,,,,,,,,,,,,
,"Nephroblastoma, Confirmed Diagnosis Details",Confirmed Diagnosis Details,,Misc,,,,"Nephroblastoma, Diagnosis Status","Nephroblastoma, Left Kidney","Nephroblastoma, Right Kidney","Nephroblastoma, Biopsy for Inconclusive Imaging","Nephroblastoma, Confirmed Diagnosis Details Notes",,,,,,,,,,,,,,,,,,,,,
,"Nephroblastoma, Pre-Operative Chemotherapy",Pre-Operative Chemotherapy,,Misc,,,,"Nephroblastoma, Pre-Operative Chemotherapy Regimen","Nephroblastoma, Pre-Operative Chemotherapy Cycles","Nephroblastoma, Pre-Operative Chemotherapy Planned First Cycle Date","Nephroblastoma, Pre-Operative Chemotherapy Planned Regimen End Date","Nephroblastoma, Pre-Operative Chemotherapy Planned Changes to Standard Regimen",,,,,,,,,,,,,,,,,,,,,
,"Nephroblastoma, Surgery Type",Surgery Type,,Misc,,,,"Nephroblastoma, Surgery Type on Left Side","Nephroblastoma, Surgery Type on Right Side",,,,,,,,,,,,,,,,,,,,,,,,
,"Nephroblastoma, Surgery",Surgery,,Misc,,,,"Nephroblastoma, Surgery Planned Date","Nephroblastoma, Surgery Type",,,,,,,,,,,,,,,,,,,,,,,,
,"Nephroblastoma, Pre-Operative Treatment plan",Pre-Operative Treatment Plan,,Misc,,,,"Nephroblastoma, Pre-Operative Treatment Intent","Nephroblastoma, Pre-Operative Treatment Planned","Nephroblastoma, Pre-Operative Chemotherapy","Nephroblastoma, Surgery",,,,,,,,,,,,,,,,,,,,,,
,"Nephroblastoma, Surgical Procedure",Surgical Procedure,,Misc,,,,"Nephroblastoma, Surgical Procedure on Left Side","Nephroblastoma, Surgical Procedure on Right Side",,,,,,,,,,,,,,,,,,,,,,,,
,"Nephroblastoma, Notes from Operative Report",Notes from Operative Report / Surgeon Consultation,,Misc,,,,"Nephroblastoma, Date of Surgery","Nephroblastoma, Surgical Procedure","Nephroblastoma, Other Notes from Operative Report",,,,,,,,,,,,,,,,,,,,,,,
,"Nephroblastoma, Bilateral Staging",,Specify if the Overall Stage is V,Misc,,,,"Nephroblastoma, Bilateral Staging on Right","Nephroblastoma, Bilateral Staging on Left",,,,,,,,,,,,,,,,,,,,,,,,
,"Nephroblastoma, Confirmed Disease Stage",Confirmed Disease Stage,,Misc,,,,"Nephroblastoma, Overall Stage","Nephroblastoma, Bilateral Staging",,,,,,,,,,,,,,,,,,,,,,,,
,"Nephroblastoma, Final Diagnosis & Staging",Final Diagnosis & Staging,,Misc,,,,"Nephroblastoma, Notes from Operative Report","Nephroblastoma, Surgical Pathology Report Date","Nephroblastoma, Confirmed Disease Stage",,,,,,,,,,,,,,,,,,,,,,,
,"Nephroblastoma, Post-Operative Chemotherapy",Post-Operative Chemotherapy,,Misc,,,,"Nephroblastoma, Post-Operative Chemotherapy Regimen","Nephroblastoma, Post-Operative Chemotherapy Cycles","Nephroblastoma, Post-Operative Chemotherapy Planned First Cycle Start Date","Nephroblastoma, Post-Operative Chemotherapy Planned Regimen End Date","Nephroblastoma, Post-operative Chemotherapy Planned changes to standard regimen",,,,,,,,,,,,,,,,,,,,,
,"Nephroblastoma, Radiation Therapy",Radiation Therapy,,Misc,,,,"Nephroblastoma, Radiation Therapy Planned Date",,,,,,,,,,,,,,,,,,,,,,,,,
,"Nephroblastoma, Post-Operative Treatment Plan",Post-Operative Treatment Plan,,Misc,,,,"Nephroblastoma, Post-Operative Treatment Intent","Nephroblastoma, Post-Operative Treatment Planned","Nephroblastoma, Post-Operative Chemotherapy","Nephroblastoma, Radiation Therapy",,,,,,,,,,,,,,,,,,,,,,
,Nephroblastoma Template,Nephroblastoma,,Misc,,,,"Nephroblastoma, Imaging Studies","Nephroblastoma, Imaging assessment set","Nephroblastoma, Pre-Operative Treatment plan","Nephroblastoma, Surgery type","Nephroblastoma, Surgical procedure","Nephroblastoma, Surgery","Nephroblastoma, Bilateral staging","Nephroblastoma, Confirmed Disease stage","Nephroblastoma, Post-Operative Treatment plan","Nephroblastoma, Radiation therapy","Nephroblastoma, Oncologist","Nephroblastoma, Surgeon","Nephroblastoma, Treatment plan confirmed by",,,,,,,,,,,,,
