uuid,name,description,class,datatype,shortname,synonym.1,synonym.2,reference-term-source,reference-term-code,reference-term-relationship,answer.1,answer.2,answer.3,answer.4,answer.5,answer.6
,"Nephroblastoma, Chest X-ray",,Misc,Text,Chest X-ray,,,,,,,,,,,
,"Nephroblastoma, Chest X-ray Study Date",,Misc,Date,Study Date,,,,,,,,,,,
,"Nephroblastoma, Abdominal Ultrasound",,Misc,Text,Abdominal Ultrasound,,,,,,,,,,,
,"Nephroblastoma, Abdominal Ultrasound Study Date",,Misc,Date,Study Date,,,,,,,,,,,
,"Nephroblastoma, CT Scan of Abdomen/Pelvis",,Misc,Text,CT scan of Abdomen/Pelvis,,,,,,,,,,,
,"Nephroblastoma, CT Scan of Abdomen/Pelvis Study Date",,Misc,Date,Study Date,,,,,,,,,,,
,"Nephroblastoma, CT Scan of Chest",,Misc,Text,CT scan of Chest,,,,,,,,,,,
,"Nephroblastoma, CT Scan of Chest study date",,Misc,Date,Study Date,,,,,,,,,,,
,"Nephroblastoma, Imaging Assessment & Findings",,Misc,Text,Imaging Assessment & Findings,,,,,,,,,,,
,"Nephroblastoma, Diagnosis Status",,Misc,Coded,Diagnosis Status,,,,,,Non-Metastatic,Metastatic,Bilateral,Unknown,,
,"Nephroblastoma, Left Kidney Mass",,Misc,Text,Mass,,,,,,,,,,,
,"Nephroblastoma, Left Kidney Size",,Misc,Text,Size,,,,,,,,,,,
,"Nephroblastoma, Right Kidney Mass",,Misc,Text,Right Kidney Mass,,,,,,,,,,,
,"Nephroblastoma, Right Kidney Size",,Misc,Text,Right Kidney Size,,,,,,,,,,,
,"Nephroblastoma, Biopsy for Inconclusive Imaging",,Misc,Coded,Biopsy done because of inconclusive imaging diagnosis (specify them),,,,,,FNA,Open Biopsy,,,,
,"Nephroblastoma, Confirmed Diagnosis Details Notes",,Misc,Text,Notes,,,,,,,,,,,
,"Nephroblastoma, Current Medications",,Misc,Text,All current medications,,,,,,,,,,,
,"Nephroblastoma, Known Allergies",,Misc,Text,All known allergies,,,,,,,,,,,
,"Nephroblastoma, HIV Positive",,Misc,Boolean,HIV Positive,,,,,,,,,,,
,"Nephroblastoma, Pre-Operative Treatment Intent",,Misc,Coded,Treatment Intent,,,,,,Curative,Palliative Systemic,Palliation only,,,
,"Nephroblastoma, Pre-Operative Treatment Planned",,Misc,Coded,Treatment Planned,,,,,,Pre-Operative Chemotherapy,Surgery,,,,
,"Nephroblastoma, Pre-Operative Chemotherapy Regimen",,Misc,Coded,Regimen,,,,,,Vincristine/Actinomycin D,Vincristine/Actinomycin D/Doxorubicin,,,,
,"Nephroblastoma, Pre-Operative Chemotherapy Cycles",,Misc,Text,Cycles,,,,,,,,,,,
,"Nephroblastoma, Pre-Operative Chemotherapy Planned First Cycle Date",,Misc,Date,Planned First Cycle,,,,,,,,,,,
,"Nephroblastoma, Pre-Operative Chemotherapy Planned Regimen End Date",,Misc,Date,Planned Regimen End,,,,,,,,,,,
,"Nephroblastoma, Pre-Operative Chemotherapy Planned Changes to Standard Regimen",,Misc,Text,Planned Changes to Standard Regimen,,,,,,,,,,,
,"Nephroblastoma, Surgery Planned Date",,Misc,Date,Planned date,,,,,,,,,,,
,"Nephroblastoma, Surgery Type on Left Side",,Misc,Coded,Left Side,,,,,,Partial Nephrectomy,Total Nephrectomy,Other,,,
,"Nephroblastoma, Surgery Type on Right Side",,Misc,Coded,Right Side,,,,,,Partial Nephrectomy,Total Nephrectomy,Other,,,
,"Nephroblastoma, Date of Surgery",,Misc,Date,Date of surgery,,,,,,,,,,,
,"Nephroblastoma, Surgical Procedure on Left Side",,Misc,Coded,Left Side,,,,,,Partial Nephrectomy,Total Nephrectomy,Other,,,
,"Nephroblastoma, Surgical Procedure on Right Side",,Misc,Coded,Right Side,,,,,,Partial Nephrectomy,Total Nephrectomy,Other,,,
,"Nephroblastoma, Other Notes from Operative Report",,Misc,Text,Other Notes,,,,,,,,,,,
,"Nephroblastoma, Surgical Pathology Report Date",,Misc,Date,Surgical Pathology Report Date,,,,,,,,,,,
,"Nephroblastoma, Overall Stage",,Misc,Coded,Overall stage,,,,,,Stage 0,Stage I,Stage II,Stage III,Stage IV,Stage V
,"Nephroblastoma, Bilateral Staging on Right",,Misc,Coded,Right,,,,,,Stage I,Stage II,Stage III,,,
,"Nephroblastoma, Bilateral Staging on Left",,Misc,Coded,Left,,,,,,Stage I,Stage II,Stage III,,,
,"Nephroblastoma, Post-Operative Treatment Intent",,Misc,Coded,Post-Operative Treatment Intent,,,,,,Curative,Palliative Systemic,Palliation Only,,,
,"Nephroblastoma, Post-Operative Treatment Planned",,Misc,Coded,Post-Operative Treatment Plan,,,,,,Post-Operative Chemotherapy,Radiation Therapy,,,,
,"Nephroblastoma, Post-Operative Chemotherapy Regimen",,Misc,Coded,Regimen,,,,,,Vincristine/Actinomycin D,Vincristine/Actinomycin D/Doxorubicin,,,,
,"Nephroblastoma, Post-Operative Chemotherapy Cycles",,Misc,Text,Cycles,,,,,,,,,,,
,"Nephroblastoma, Post-Operative Chemotherapy Planned First Cycle Start Date",,Misc,Date,Planned First Cycle,,,,,,,,,,,
,"Nephroblastoma, Post-Operative Chemotherapy Planned Regimen End Date",,Misc,Date,Planned Regimen End,,,,,,,,,,,
,"Nephroblastoma, Post-operative Chemotherapy Planned changes to standard regimen",,Misc,Text,Planned Changes to Standard Regimen,,,,,,,,,,,
,"Nephroblastoma, Radiation Therapy Planned Date",,Misc,Date,Radiation Therapy Planned Date,,,,,,,,,,,
