uuid,name,description,class,datatype,shortname,synonym.1,synonym.2,reference-term-source,reference-term-code,reference-term-relationship,answer.1,answer.2,answer.3,answer.4,answer.5,answer.6
,Non-Metastatic,,Misc,N/A,Non-Metastatic,,,,,,,,,,,
,Metastatic,,Misc,N/A,Metastatic,,,,,,,,,,,
,Bilateral,,Misc,N/A,Bilateral,,,,,,,,,,,
,Unknown,,Misc,N/A,Unknown,,,,,,,,,,,
,FNA,,Procedure,N/A,FNA,,,,,,,,,,,
,Open biopsy,,Procedure,N/A,Open biopsy,,,,,,,,,,,
,Curative,,Procedure,N/A,Curative,,,,,,,,,,,
,Palliative systemic,,Procedure,N/A,Palliative systemic,,,,,,,,,,,
,Palliation only,,Procedure,N/A,Palliation only,,,,,,,,,,,
,Vincristine / Actinomycin D,,Drug,N/A,Vincristine / Actinomycin D,,,,,,,,,,,
,Vincristine / Actinomycin D / Doxorubicin,,Drug,N/A,Vincristine / Actinomycin D / Doxorubicin,,,,,,,,,,,
,Partial nephrectomy,,Procedure,N/A,Partial nephrectomy,,,,,,,,,,,
,Total nephrectomy,,Procedure,N/A,Total nephrectomy,,,,,,,,,,,
,"Nephroblastoma, Overall stage, 0",,Misc,N/A,0,,,,,,,,,,,
,"Nephroblastoma, Overall stage, 1",,Misc,N/A,I,,,,,,,,,,,
,"Nephroblastoma, Overall stage, 2",,Misc,N/A,II,,,,,,,,,,,
,"Nephroblastoma, Overall stage, 3",,Misc,N/A,III,,,,,,,,,,,
,"Nephroblastoma, Overall stage, 4",,Misc,N/A,IV,,,,,,,,,,,
,"Nephroblastoma, Overall stage, 5",,Misc,N/A,V,,,,,,,,,,,
,"Nephroblastoma, Bilateral staging, I",,Misc,N/A,I,,,,,,,,,,,
,"Nephroblastoma, Bilateral staging, II",,Misc,N/A,II,,,,,,,,,,,
,"Nephroblastoma, Bilateral staging, III",,Misc,N/A,III,,,,,,,,,,,
