uuid,name,description,class,datatype,shortname,synonym.1,synonym.2,reference-term-source,reference-term-code,reference-term-relationship,answer.1,answer.2,answer.3,answer.4,answer.5,answer.6,answer.7,answer.8,answer.9,answer.10,answer.11,answer.12,answer.13,answer.14,answer.15,answer.16,answer.17,answer.18,answer.19,answer.20,answer.21,answer.22,answer.23,answer.24,answer.25,answer.26,answer.27,answer.28,answer.29,answer.30,answer.31,answer.32,answer.33,answer.34,answer.35,answer.36,answer.37,answer.38,answer.39,answer.40,answer.41,answer.42,answer.43,answer.44,answer.45,answer.46,answer.47,answer.48,answer.49,answer.50,answer.51,answer.52,answer.53,answer.54,answer.55,answer.56,answer.57,answer.58,answer.59,answer.60,answer.61,answer.62,answer.63,answer.64,answer.65,answer.66,answer.67,answer.68,answer.69,answer.70,answer.71,answer.72,answer.73,answer.74,answer.75,answer.76,answer.77,answer.78,answer.79,answer.80,answer.81,answer.82,answer.83,answer.84,answer.85,answer.86,answer.87,answer.88,answer.89,answer.90,answer.91,answer.92
,Date of Surgery,,Misc,Date,Date of Surgery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Surgical Procedure,,Misc,Coded,Surgical Procedure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Surgical Procedure Non Coded,,Misc,Text,Surgical Procedure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Surgical Procedure Answers,,Misc,Coded,Surgical Procedure Answers,,,,,,Abdominoperineal Resection,Anterior Sagittal Anorectoplasty,Appendectomy,Arthrotomy,Biopsy,Cauterization,Cholecystostomy,Circumcision,Colostomy,COMMANDO Procedure,Contracture Release,Cystogastrostomy,Cystolithotomy,Cystoscopy,Debridement,Disarticulation,Distal Gastrectomy,Drainage,Dressing,Drilling,Duckett's Urethroplasty,Duhamel Pull-Through,Eloesser Flap,Excision,Fasciotomy,Feeding Jejunostomy,Fibroadenoma,Fistulectomy,Fulguration,Gastrojejunostomy,Hemicolectomy,Hemithyroidectomy,Hernioplasty,Herniorrhaphy,Herniotomy,Hydrocele Repair,Hysterectomy,Hysterotomy,Ileostomy,Implantable Cardioverter Defibrillator,Interval Appendectomy,Intranasal Polypectomy,Johanson's Urethroplasty,Kasai Portoenterostomy,Ladd's procedure,Laminectomy,Laparoscopic Adhesiolysis,Laparoscopic Gastric Banding,Laparotomy,Lobuloplasty,Lord's Procedure,Lower Segment Caesarean Section,Lumbar Sympathectomy,Lymph Node Biopsy,Marsupialisation,Mastectomy,Meatotomy,Medical Termination of Pregnancy,Meshplasty,Millard Repair,Modified Radical Mastectomy,Nephrectomy,Nephrolithotomy,Nephrostomy,Nephrotomy,Oophorectomy,Orchidectomy,Orchiopexy,Ovarian Cystectomy,Palatoplasty,Panhysterectomy,Peritoneal Toilet,Polypectomy,Posterior Sagittal Anorectoplasty,Prostatectomy,Pyelolithotomy,Pyloromyotomy,Salpingoophorectomy,Sigmoid Loop Colostomy,Sigmoidectomy,Silo pouch stoma,Sistrunk Procedure,Snodgrass Urethroplasty,Superficial Parotidectomy,Suprapubic Catheter Insertion,Total Abdominal Hysterectomy,Tubectomy,Ureterolithotomy,Urethroplasty,Vesicostomy,Wertheim's Hysterectomy,Wide Local Excision
,Operating Surgeon,,Misc,Text,Surgeon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Operating Assistant Surgeon,,Misc,Text,Assistant Surgeon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Operation Anesthetist,,Misc,Text,Anesthetist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Anesthesia Administered,,Misc,Coded,Anesthesia,,,,,,General Anesthesia,Spinal Anesthesia,Epidural Anesthesia,Local Anesthesia,Ketamine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Incision,,Misc,Text,Incision,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Operation Findings,,Misc,Text,Findings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Operative Drains,,Misc,Text,Drains,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Operative Complications,,Misc,Text,Operative Complications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Blood loss during operation,,Misc,Numeric,Blood Loss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Operation Duration,,Misc,Numeric,Duration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cytopathology Number,,Misc,Numeric,Cytopath No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Histopathology Number,,Misc,Numeric,Histopath (No. and labeling),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Intra operation specimens and results,,Misc,Text,Intra OP specimens (& Results),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Other Operation Notes,,Misc,Text,Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
