uuid,name,description,class,datatype,shortname,synonym.1,synonym.2,reference-term-source,reference-term-code,reference-term-relationship,answer.1,answer.2,answer.3,answer.4,answer.5
,General Anesthesia,,Misc,N/A,GA,,,,,,,,,,
,Spinal Anesthesia,,Misc,N/A,SA,,,,,,,,,,
,Epidural Anesthesia,,Misc,N/A,EA,,,,,,,,,,
,Local Anesthesia,,Misc,N/A,LA,,,,,,,,,,
,Ketamine,,Misc,N/A,Ketamine,,,,,,,,,,
,Abdominoperineal Resection,,Procedure,N/A,APR,,,,,,,,,,
,Anterior Sagittal Anorectoplasty,,Procedure,N/A,ASARP,,,,,,,,,,
,Appendectomy,,Procedure,N/A,,,,,,,,,,,
,Arthrotomy,,Procedure,N/A,,,,,,,,,,,
,Biopsy,,Procedure,N/A,,,,,,,,,,,
,Cauterization,,Procedure,N/A,,,,,,,,,,,
,Cholecystostomy,,Procedure,N/A,,,,,,,,,,,
,Circumcision,,Procedure,N/A,,,,,,,,,,,
,Colostomy,,Procedure,N/A,,,,,,,,,,,
,COMMANDO Procedure,COMbined MANDibulectomy and Neck Dissection Operation,Procedure,N/A,COMMANDO Procedure,,,,,,,,,,
,Contracture Release,,Procedure,N/A,,,,,,,,,,,
,Cystogastrostomy,,Procedure,N/A,,,,,,,,,,,
,Cystolithotomy,,Procedure,N/A,,,,,,,,,,,
,Cystoscopy,,Procedure,N/A,,,,,,,,,,,
,Debridement,,Procedure,N/A,,,,,,,,,,,
,Disarticulation,,Procedure,N/A,,,,,,,,,,,
,Distal Gastrectomy,,Procedure,N/A,,,,,,,,,,,
,Drainage,,Procedure,N/A,,,,,,,,,,,
,Dressing,,Procedure,N/A,,,,,,,,,,,
,Drilling,,Procedure,N/A,,,,,,,,,,,
,Duckett's Urethroplasty,,Procedure,N/A,,,,,,,,,,,
,Duhamel Pull-Through,,Procedure,N/A,,,,,,,,,,,
,Eloesser Flap,,Procedure,N/A,,,,,,,,,,,
,Excision,,Procedure,N/A,,,,,,,,,,,
,Fasciotomy,,Procedure,N/A,,,,,,,,,,,
,Feeding Jejunostomy,,Procedure,N/A,,,,,,,,,,,
,Fibroadenoma,,Procedure,N/A,,,,,,,,,,,
,Fistulectomy,,Procedure,N/A,,,,,,,,,,,
,Fulguration,,Procedure,N/A,,,,,,,,,,,
,Gastrojejunostomy,,Procedure,N/A,,,,,,,,,,,
,Hemicolectomy,,Procedure,N/A,,,,,,,,,,,
,Hemithyroidectomy,,Procedure,N/A,,,,,,,,,,,
,Hernioplasty,,Procedure,N/A,,,,,,,,,,,
,Herniorrhaphy,,Procedure,N/A,,,,,,,,,,,
,Herniotomy,,Procedure,N/A,,,,,,,,,,,
,Hydrocele Repair,,Procedure,N/A,,,,,,,,,,,
,Hysterectomy,,Procedure,N/A,,,,,,,,,,,
,Hysterotomy,,Procedure,N/A,,,,,,,,,,,
,Ileostomy,,Procedure,N/A,,,,,,,,,,,
,Implantable Cardioverter Defibrillator,,Procedure,N/A,ICD,,,,,,,,,,
,Interval Appendectomy,,Procedure,N/A,,,,,,,,,,,
,Intranasal Polypectomy,,Procedure,N/A,,,,,,,,,,,
,Johanson's Urethroplasty,,Procedure,N/A,,,,,,,,,,,
,Kasai Portoenterostomy,,Procedure,N/A,,,,,,,,,,,
,Ladd's procedure,,Procedure,N/A,,,,,,,,,,,
,Laminectomy,,Procedure,N/A,,,,,,,,,,,
,Laparoscopic Adhesiolysis,,Procedure,N/A,,,,,,,,,,,
