uuid,name,description,class,datatype,shortname,answer.1,answer.2,answer.3,answer.4,answer.5,answer.6,answer.7,answer.8,answer.9,answer.10,answer.11,answer.12,answer.13,answer.14,answer.15,answer.16
,Treatment After Default,,Misc,N/A,Default Case,,,,,,,,,,,,,,,,
,Treatment After Failure,,Misc,N/A,Failure of ATT,,,,,,,,,,,,,,,,
,Treatment After Relapse,,Misc,N/A,Relapse after successful ATT ,,,,,,,,,,,,,,,,
,Pulmonary,,Misc,N/A,,,,,,,,,,,,,,,,,
,Extrapulmonary,,Misc,N/A,,,,,,,,,,,,,,,,,
,Disseminated,,Misc,N/A,,,,,,,,,,,,,,,,,
,Positive,,Misc,N/A,,,,,,,,,,,,,,,,,
,Negative,,Misc,N/A,,,,,,,,,,,,,,,,,
,Pleural,,Misc,N/A,,,,,,,,,,,,,,,,,
,Lymph Node,,Misc,N/A,,,,,,,,,,,,,,,,,
,Intestinal,,Misc,N/A,,,,,,,,,,,,,,,,,
,Peritoneal,,Misc,N/A,,,,,,,,,,,,,,,,,
,Skeletal,,Misc,N/A,,,,,,,,,,,,,,,,,
,Articular,,Misc,N/A,,,,,,,,,,,,,,,,,
,Meningeal,,Misc,N/A,,,,,,,,,,,,,,,,,
,Renal,,Misc,N/A,,,,,,,,,,,,,,,,,
,Genital,,Misc,N/A,,,,,,,,,,,,,,,,,
,Cutaneous,,Misc,N/A,,,,,,,,,,,,,,,,,
,Pericardial,,Misc,N/A,,,,,,,,,,,,,,,,,
,Other,,Misc,N/A,,,,,,,,,,,,,,,,,
,Cured by Treatment,,Misc,N/A,Cured,,,,,,,,,,,,,,,,
,Treatment Complete,,Misc,N/A,Treatment Completed,,,,,,,,,,,,,,,,
,Treatment Default,,Misc,N/A,Defaulted,,,,,,,,,,,,,,,,
,Treatment Failure,,Misc,N/A,Failure of Treatment,,,,,,,,,,,,,,,,
,Transferred Out,,Misc,N/A,,,,,,,,,,,,,,,,,
,Lost for Follow Up,,Misc,N/A,,,,,,,,,,,,,,,,,
,Death During Treatment,,Misc,N/A,Died,,,,,,,,,,,,,,,,
,Normal,,Misc,N/A,,,,,,,,,,,,,,,,,
,Healthy,,Misc,N/A,,,,,,,,,,,,,,,,,
,Relapse,,Misc,N/A,,,,,,,,,,,,,,,,,
,Death,,Misc,N/A,,,,,,,,,,,,,,,,,
,Do not Know,,Misc,N/A,,,,,,,,,,,,,,,,,
,Isoniazid,,Misc,N/A,H,,,,,,,,,,,,,,,,
,Rifampicin,,Misc,N/A,R,,,,,,,,,,,,,,,,
,Streptomycin,,Misc,N/A,S,,,,,,,,,,,,,,,,
,Pyrazinamide,,Misc,N/A,Z,,,,,,,,,,,,,,,,
,Ethambutol,,Misc,N/A,E,,,,,,,,,,,,,,,,
,Regular,,Misc,N/A,,,,,,,,,,,,,,,,,
,Irregular,,Misc,N/A,,,,,,,,,,,,,,,,,
