uuid,name,description,class,datatype,shortname,reference-term-source,reference-term-code,reference-term-relationship,answer.1,answer.2,answer.3,answer.4,answer.5,answer.6,answer.7,answer.8,answer.9,answer.10,answer.11,answer.12,answer.13,answer.14,answer.15,answer.16
,"Tuberculosis, Treatment Completion Date",,Misc,Date,Treatment Completed On,,,,,,,,,,,,,,,,,,,
,"Tuberculosis, Treatment Outcomes",,Misc,Coded,Outcome,,,,Cured by Treatment,Treatment Complete,Treatment Default,Treatment Failure,Transferred Out,Lost for Follow Up,Death During Treatment,,,,,,,,,
,"Tuberculosis, Reason of Default",,Misc,Text,Reason of Default,,,,,,,,,,,,,,,,,,,
,"Tuberculosis, Reason of Death",,Misc,Text,Reason of Death,,,,,,,,,,,,,,,,,,,
,"Tuberculosis, Treatment Duration",,Misc,Numeric,Treatment Duration,,,,,,,,,,,,,,,,,,,
,"Tuberculosis, Longterm Outcome",,Misc,Coded,Longterm Outcome,,,,Normal,Healthy,Relapse,Death,Do Not Know,,,,,,,,,,,
,"Tuberculosis, Clinical",,Misc,Text,Clinical,,,,,,,,,,,,,,,,,,,
,"Tuberculosis, Smears",,Misc,Text,Smears,,,,,,,,,,,,,,,,,,,
,"Tuberculosis, Cultures",,Misc,Text,Cultures,,,,,,,,,,,,,,,,,,,
,"Tuberculosis, X-rays",,Misc,Text,X-rays,,,,,,,,,,,,,,,,,,,
,"Tuberculosis, Complications",,Misc,Text,Complications,,,,,,,,,,,,,,,,,,,
,"Tuberculosis, Remarks",,Misc,Text,Overall Remarks,,,,,,,,,,,,,,,,,,,
