uuid,name,description,class,datatype,shortname,reference-term-source,reference-term-code,reference-term-relationship,answer.1,answer.2,answer.3,answer.4,answer.5,answer.6
,"Tuberculosis, C & DST Report Date",,Misc,Date,Date,,,,,,,,,
,"Tuberculosis, DST Method",,Misc,Text,DST Method,,,,,,,,,
,"Tuberculosis, Culture",,Misc,Coded,Culture,,,,Positive,Negative,,,,
,"Tuberculosis, Sensitive",,Misc,Coded,Sensitive to,,,,Isoniazid,Rifampicin,Streptomycin,Ethambutol,,
,"Tuberculosis, Drugs Compliance",,Misc,Coded,Drugs Compliance,,,,Regular,Irregular,,,,
,"Tuberculosis, Side effects of drugs",,Misc,Text,Side effects of drugs,,,,,,,,,
,"Tuberculosis, Actions Taken",,Misc,Text,Actions taken on side effects,,,,,,,,,
,"Tuberculosis, Clinical Status",,Misc,Text,Clinical Status,,,,,,,,,
,"Tuberculosis, Any changes in ATT",,Misc,Text,Any changes in ATT,,,,,,,,,
,"Tuberculosis, Remarks",,Misc,Text,Remarks,,,,,,,,,
