uuid,name,description,class,datatype,shortname,reference-term-source,reference-term-code,reference-term-relationship,answer.1,answer.2,answer.3,answer.4,answer.5,answer.6,answer.7,answer.8,answer.9,answer.10,answer.11,answer.12,answer.13,answer.14,answer.15,answer.16
,"Tuberculosis, Diagnosis Date",,Misc,Date,Diagnosis Date,,,,,,,,,,,,,,,,,,,
,"Tuberculosis, Symptoms Duration","in months, before diagnosis",Misc,Numeric,Symptoms Duration,,,,,,,,,,,,,,,,,,,
,"Tuberculosis, Type",,Misc,Coded,Type of TB,,,,Pulmonary,Extrapulmonary,Disseminated,,,,,,,,,,,,,
,"Tuberculosis, Sputum Culture Result",,Misc,Coded,Sputum Culture Result,,,,Positive,Negative,,,,,,,,,,,,,,
,"Tuberculosis, Extrapulmonary Site",,Misc,Coded,EP Site,,,,Pleural,Lymph Node,Intestinal,Peritoneal,Skeletal,Articular,Meningeal,Renal,Genital,Cutaneous,Pericardial,Other,Not Applicable,,,
,"Tuberculosis, Associated Condition",,Misc,Coded,Any Associated Condition,,,,HIV,Diabetes,Other,,,,,,,,,,,,,
,"Tuberculosis, Disease Status",,Misc,Coded,Disease Status,,,,Treatment After Relapse,Treatment After Default,Treatment After Failure,,,,,,,,,,,,,
,"Tuberculosis, Previous TB Category",,Misc,Coded,Type,,,,Pulmonary,Extrapulmonary,Disseminated,,,,,,,,,,,,,
,"Tuberculosis, Previous Treatment Period",,Misc,Numeric,Period,,,,,,,,,,,,,,,,,,,
,"Tuberculosis, Previous Treatment",,Misc,Coded,Treatment,,,,Isoniazid,Rifampicin,Streptomycin,Pyrazinamide,Ethambutol,,,,,,,,,,,
,"Tuberculosis, Treatment Start Date",,Misc,Boolean,ATT Start Date,,,,,,,,,,,,,,,,,,,
,"Tuberculosis, Work Efficiency",Work efficiency outcome in terms of physical health,Misc,Text,Work Efficiency,,,,,,,,,,,,,,,,,,,
,"Tuberculosis, Family member affected by tuberculosis",,Misc,Boolean,Family member affected by TB,,,,,,,,,,,,,,,,,,,
,"Tuberculosis, Family member died of tuberculosis",,Misc,Boolean,Tuberculosis death in family,,,,,,,,,,,,,,,,,,,
