Washington,Seattle,123456
Washington,Columbia,123457
New York,Manhattan,123458
London,Piccadilly,123459
California,Disneyland,123460
Victoria,Victoria,123461
New South Wales,Sydney,123462
Ontario,Ottawa,123463
Quebec,Montreal,123464
France,Paris,123465
Kuala Lumpur,Kuala Lumpur,123466
Amsterdam,Amsterdam,123467
Philippines,Taguig,123468
Western Province,Cape Town,123469
Stockholm County,Stockholm,123470
United States,Phoenix,123471
DELHI,SOUTH EAST DELHI,110003
PUNJAB,JALANDHAR,144028
HIMACHAL PRADESH,KANGRA,176057
UTTAR PRADESH,BUDAUN,243727
RAJASTHAN,DHOLPUR,328023
MAHARASHTRA,MUMBAI,400052
TELANGANA,ADILABAD,504310
KARNATAKA,BELLARY,583219
TAMIL NADU,CHENNAI,600092
KERALA,PALAKKAD,678598
WEST BENGAL,BANKURA,722144
ODISHA,MAYURBHANJ,757048
ASSAM,DIBRUGARH,786622
BIHAR,SIWAN,841233
