Uuid,Void/Retire,Short name:en,Fully specified name:en,Fully specified name:fr,Data class,Data Type,Members,_version:1,_order:500
9881091b-1802-4c62-8b80-a8fcb170b59f,,,Paracetamol,Paracétamol,Drug,N/A,,,
73a42073-eff0-436c-aed3-3001b0a2b603,,,Amlodipine & Atenolol,Amlodipine et aténolol,Drug,N/A,,,
5af24242-1f58-40ef-a9a6-417cdf53c81c,,,Amoxicillin & Clavulanate,Amoxicilline et clavulanate,Drug,N/A,,,
f0dbd31e-d189-44ca-b3cb-4dfe7f88c08f,,,Amoxicillin & Cloxacillin,Amoxicilline et cloxacilline,Drug,N/A,,,
08c44970-d497-4270-8dad-e50a3df7e6a8,,,Ampicillin & Cloxacillin,Ampicilline et cloxacilline,Drug,N/A,,,
9cedc898-c7e5-4edb-8085-0a40f33645d0,,,Antioxidant,Antioxydant,Drug,N/A,,,
09291895-fb7d-4989-9e31-723ab44856d2,,,Aspirin en,Aspirine fr,Drug,N/A,,,
502820f5-5a8b-4ee9-beba-fcf23c1ec2f7,,,Benzoic & Salicylic Acid,Acide benzoïque et salicylique,Drug,N/A,,,
aa367bfd-3846-4792-888d-32b13b13933b,,,Carbamazine,Carbamazine,Drug,N/A,,,
34f39ebd-e88e-4b74-b384-60eb9b3370e8,,,Dipirone,Dipirone,Drug,N/A,,,
b46265ad-397e-4db3-a439-594ff495f39f,,,Chlorpheniramine,Chlorphéniramine,Drug,N/A,,,
3ecf1ff7-22e4-4846-90dc-10ed9255ce8e,,,Clonazepan,Clonazepan,Drug,N/A,,,
1a785710-08a7-4798-b122-4c88d2a98b53,,,Clotrimazole & Lignocaine,Clotrimazole et lignocaïne,Drug,N/A,,,
ebfa6b78-15c2-4343-a240-31f9fce66723,,,Clotrimazole Otic,Clotrimazole otic,Drug,N/A,,,
cbbde229-f044-43ae-9a34-504fb77ce42f,,,Clove Oil,Huile de clou de girofle,Drug,N/A,,,
55e6671b-f5c3-4699-8b76-a7f59701d35b,,,Co-trimoxazole,Co-trimoxazole,Drug,N/A,,,
990f8299-6f88-49bc-af49-9fa3944d0fc1,,,Cremaffin,Cremaffin,Drug,N/A,,,
49be9771-c89d-4b0d-a03c-ecd6283f0caa,,,Dextrose,Dextrose,Drug,N/A,,,
8f29cfad-b34f-463b-b4f8-9ea56e4ea9d3,,,Dextrose & Normal Saline (DNS),Dextrose & Chlorure de sodium (DNS),Drug,N/A,,,
7f097fc4-be12-4916-99e5-4ebdc8abe832,,,Etophylline & Theophylline,Etophylline et theophylline,Drug,N/A,,,
a82fd4d8-1898-4aa3-86dd-5a0c09381a3f,,,Frusemide,Frusémide,Drug,N/A,,,
81e598ec-f743-409e-8e35-1a682339042d,,,Frusemide & Amiloride,Frusémide et amiloride,Drug,N/A,,,
cb8b19e0-efae-44a2-923f-c65a08595cbf,,,Furosemide & Spironolactone,Furosémide et spironolactone,Drug,N/A,,,
f59f2ffe-18b9-4534-b15b-9e8f4ef41bbd,,,Gamma Benzene Hexachloride & Cetrimide,Hexachlorures de benzene gamma et cétrimide,Drug,N/A,,,
1b6b830c-068d-460d-8411-c42ffe7b0331,,,Gentamycin,Gentamycine,Drug,N/A,,,
6b90f8e8-2406-45f0-bec4-19d65477147f,,,Glycerine & Sodium Chloride Enema,Lavement glycerine et chlorure de sodium,Drug,N/A,,,
604fc052-da3e-4032-aeb8-3f88a8041448,,,Glyceryl Trinitrate,Trinitrate de glycéryle,Drug,N/A,,,
fd8e84b9-be65-4a8f-b5e1-1b0f80a09035,,,Hydrogen Peroxide,Peroxyde d'hydrogene,Drug,N/A,,,
46a9fa37-d6f2-4f72-8a16-c1a76008f508,,,Ibuprofen & Paracetamol,Ibuprofene et paracétamol,Drug,N/A,,,
e61d0a67-a5a6-44e7-8907-6a82d765ca1f,,,Levothyroxine,Lévothyroxine,Drug,N/A,,,
7eb9a61f-a390-4bc4-bc07-c5b1520d3cb4,,,Lignocaine,Lignocaïne,Drug,N/A,,,
c38432d2-3b74-4431-8b60-12a6b053394b,,,Lignocaine & Adrenaline,Lignocaïne et adrénaline,Drug,N/A,,,
79ae8e90-0903-41fd-a727-deca362b1d2e,,,Methylergometrine,Méthylergométrine,Drug,N/A,,,
c929e588-db44-4d91-8040-d82cd21744d1,,,Metronidazole & Diloxanide,Métronidazole et diloxanide,Drug,N/A,,,
75fd74ef-1b85-4fac-9a44-b56eb5c2b2a3,,,"Metronidazole, Chlorhexidine, Lignocaine & Menthol","Métronidazole, chlorhéxidine, lignocaïne et menthol",Drug,N/A,,,
62000346-9e4b-4462-bd36-561804ad10ad,,,Mifepristone & Misoprostol,Mifepristone et misoprostol,Drug,N/A,,,
a1b11bd9-f344-432a-877e-c12784c1acc1,,,Neomycin & Polymyxin B & Bacitracin Zinc,"Néomycine, polymyxine B et bacitracine-zinc",Drug,N/A,,,
cc4a27b0-78cb-4d3d-9c85-51f4a06d1f4a,,,Normal Saline (NS),Solution physiologique salée (NS),Drug,N/A,,,
4f4a63d6-b45c-48fa-9382-d35b6ea20c87,,,Oral Hormonal Contraceptive Pills,Contraceptifs hormonaux oraux,Drug,N/A,,,
98764756-01cd-4a55-a339-b33ab13c4b46,,,Oral Rehydration Solution (ORS),Solution de réhydratation orale (ORS),Drug,N/A,,,
2ba5c05a-357c-4469-b83b-2b8d30ca126c,,,P Dextrose And Electrolyte Solution,Solution de dextrose P et electrolytes,Drug,N/A,,,
