Uuid,Void/Retire,Same as mappings,Fully specified name:en,Fully specified name:fr,Short name:en,Short name:fr,Description:en,Description:fr,Data class,Data type,Complex data handler,Answers,Members,Allow decimals,Units,Normal low,Normal high,Absolute low,Absolute high,_version:1,_order:1000
1349AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,,Chest,,,,,,Anatomy,N/A,,,165152AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;161295AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;161297AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;165143AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;161294AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;165104AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;165102AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;165103AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;161273AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;161296AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;161272AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;161288AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;165153AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;162287AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;161345AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;161344AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;161351AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;165139AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,,,,,,,
166327AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,,Neck,,,,,,Anatomy,N/A,,,165149AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;165150AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;162293AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;161285AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,,,,,,,
1809AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,,Head,,,,,,Anatomy,N/A,,,161339AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;165121AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;161347AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;165147AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;161339AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;165148AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;846AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;162288AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;164323AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;161285AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,,,,,,,
1843AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,,Face,,,,,,Anatomy,N/A,,,161341AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;161305AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,,,,,,,
166306AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,,Shoulder,,,,,,Anatomy,N/A,,,161298AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;161343AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;161342AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;161299AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;161300AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;165101AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;165100AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;161265AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,,,,,,,
166173AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,,Upper extremity,,,,,,Anatomy,N/A,,,161302AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;161330AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;161318AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;161303AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;161328AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;161317AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;161324AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;161337AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;161325AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;161338AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;161326AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;161340AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;161304AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;161331AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,,,,,,,
166338AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,,Lower limb,,,,,,Anatomy,N/A,,,161350AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;161349AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;161352AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;165114AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;165113AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;165129AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;165128AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;165115AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;165116AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;165140AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;165130AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;161321AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;161306AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;161322AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;161307AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;161329AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;161269AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;161327AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;161270AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;165156AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;165157AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;161267AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;161266AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;161308AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;161268AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;161271AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;161323AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,,,,,,,
164385AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,,Hand,,,,,,Anatomy,N/A,,,161328AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;161330AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;161331AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,,,,,,,
166245AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,,Hip,,,,,,Anatomy,N/A,,,161332AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;161333AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;161334AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;165135AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;165134AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;165132AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,,,,,,,
166168AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,,Knee,,,,,,Anatomy,N/A,,,161350AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;161349AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;161352AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;165140AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;165130AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;165116AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;165115AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;165128AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;165129AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;165113AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;165114AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,,,,,,,
