Concept,Member,Member Type,Sort Weight,_version:1,_order:1000
1599AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,CIEL:136600,,1,,
1599AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,CIEL:148629,,2,,
1599AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,CIEL:129321,,3,,
1599AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,CIEL:129356,,4,,
1599AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,CIEL:133480,,5,,
1599AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,CIEL:133481,,6,,
1599AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Other generic,,7,,
1728AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,CIEL:129510,,1,,
1728AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,CIEL:147104,,2,,
1728AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,CIEL:128211,,3,,
1728AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,CIEL:133006,,4,,
1728AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,CIEL:150796,,5,,
162747AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,CIEL:117399,,1,,
162747AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,CIEL:117441,,2,,
162747AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,CIEL:119816,,3,,
162747AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,CIEL:115115,,4,,
162747AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,CIEL:139069,,5,,
162747AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,CIEL:145438,,6,,
