Concept,Member,Member Type,Sort Weight,_version:1,_order:1000
0166bbd5-8609-4c78-b830-53512a4cbbd3,CIEL:161432,CONCEPT-SET,1,,
0166bbd5-8609-4c78-b830-53512a4cbbd3,CIEL:161493,CONCEPT-SET,2,,
0166bbd5-8609-4c78-b830-53512a4cbbd3,CIEL:161478,CONCEPT-SET,3,,
0166bbd5-8609-4c78-b830-53512a4cbbd3,CIEL:161434,CONCEPT-SET,4,,
0166bbd5-8609-4c78-b830-53512a4cbbd3,CIEL:161473,CONCEPT-SET,5,,
0166bbd5-8609-4c78-b830-53512a4cbbd3,CIEL:161501,CONCEPT-SET,6,,
0166bbd5-8609-4c78-b830-53512a4cbbd3,CIEL:161518,CONCEPT-SET,7,,
0166bbd5-8609-4c78-b830-53512a4cbbd3,CIEL:657,CONCEPT-SET,8,,
0166bbd5-8609-4c78-b830-53512a4cbbd3,CIEL:161508,CONCEPT-SET,9,,
0166bbd5-8609-4c78-b830-53512a4cbbd3,CIEL:163702,CONCEPT-SET,10,,
0166bbd5-8609-4c78-b830-53512a4cbbd3,CIEL:161436,CONCEPT-SET,11,,
0166bbd5-8609-4c78-b830-53512a4cbbd3,CIEL:163436,CONCEPT-SET,12,,
0166bbd5-8609-4c78-b830-53512a4cbbd3,CIEL:163700,CONCEPT-SET,13,,
0166bbd5-8609-4c78-b830-53512a4cbbd3,CIEL:163701,CONCEPT-SET,14,,
0166bbd5-8609-4c78-b830-53512a4cbbd3,CIEL:161499,CONCEPT-SET,15,,
0166bbd5-8609-4c78-b830-53512a4cbbd3,CIEL:161487,CONCEPT-SET,16,,
0166bbd5-8609-4c78-b830-53512a4cbbd3,CIEL:1026,CONCEPT-SET,17,,
0166bbd5-8609-4c78-b830-53512a4cbbd3,CIEL:166375,CONCEPT-SET,18,,
0166bbd5-8609-4c78-b830-53512a4cbbd3,CIEL:161491,CONCEPT-SET,19,,
0166bbd5-8609-4c78-b830-53512a4cbbd3,CIEL:163602,CONCEPT-SET,20,,
0166bbd5-8609-4c78-b830-53512a4cbbd3,CIEL:164945,CONCEPT-SET,21,,
0166bbd5-8609-4c78-b830-53512a4cbbd3,CIEL:161514,CONCEPT-SET,22,,
0166bbd5-8609-4c78-b830-53512a4cbbd3,CIEL:163708,CONCEPT-SET,23,,
0166bbd5-8609-4c78-b830-53512a4cbbd3,CIEL:161429,CONCEPT-SET,24,,
0166bbd5-8609-4c78-b830-53512a4cbbd3,CIEL:161422,CONCEPT-SET,25,,
0166bbd5-8609-4c78-b830-53512a4cbbd3,CIEL:161515,CONCEPT-SET,26,,
0166bbd5-8609-4c78-b830-53512a4cbbd3,CIEL:161426,CONCEPT-SET,27,,
0166bbd5-8609-4c78-b830-53512a4cbbd3,CIEL:161428,CONCEPT-SET,28,,
0166bbd5-8609-4c78-b830-53512a4cbbd3,CIEL:167178,CONCEPT-SET,29,,
0166bbd5-8609-4c78-b830-53512a4cbbd3,CIEL:161517,CONCEPT-SET,30,,
0166bbd5-8609-4c78-b830-53512a4cbbd3,CIEL:161520,CONCEPT-SET,31,,
0166bbd5-8609-4c78-b830-53512a4cbbd3,CIEL:161152,CONCEPT-SET,32,,
0166bbd5-8609-4c78-b830-53512a4cbbd3,CIEL:161424,CONCEPT-SET,33,,
0166bbd5-8609-4c78-b830-53512a4cbbd3,CIEL:161479,CONCEPT-SET,34,,
0166bbd5-8609-4c78-b830-53512a4cbbd3,CIEL:161425,CONCEPT-SET,35,,
0166bbd5-8609-4c78-b830-53512a4cbbd3,CIEL:161461,CONCEPT-SET,36,,
0166bbd5-8609-4c78-b830-53512a4cbbd3,CIEL:161437,CONCEPT-SET,37,,
0166bbd5-8609-4c78-b830-53512a4cbbd3,CIEL:161496,CONCEPT-SET,38,,
0166bbd5-8609-4c78-b830-53512a4cbbd3,CIEL:1019,CONCEPT-SET,39,,
