Concept,Member,Member Type,Sort Weight,_version:1,_order:1000
0001fdca-769d-47e4-8397-1c73c8bad34b,CIEL:168183,CONCEPT-SET,1,,
0001fdca-769d-47e4-8397-1c73c8bad34b,CIEL:163443,CONCEPT-SET,2,,
0001fdca-769d-47e4-8397-1c73c8bad34b,CIEL:163437,CONCEPT-SET,3,,
0001fdca-769d-47e4-8397-1c73c8bad34b,CIEL:163438,CONCEPT-SET,4,,
0001fdca-769d-47e4-8397-1c73c8bad34b,CIEL:163002,CONCEPT-SET,5,,
0001fdca-769d-47e4-8397-1c73c8bad34b,CIEL:160918,CONCEPT-SET,6,,
0001fdca-769d-47e4-8397-1c73c8bad34b,CIEL:168168,CONCEPT-SET,7,,
0001fdca-769d-47e4-8397-1c73c8bad34b,CIEL:165555,CONCEPT-SET,8,,
0001fdca-769d-47e4-8397-1c73c8bad34b,CIEL:160670,CONCEPT-SET,9,,
0001fdca-769d-47e4-8397-1c73c8bad34b,CIEL:160711,CONCEPT-SET,10,,
0001fdca-769d-47e4-8397-1c73c8bad34b,CIEL:159824,CONCEPT-SET,11,,
0001fdca-769d-47e4-8397-1c73c8bad34b,CIEL:159823,CONCEPT-SET,12,,
0001fdca-769d-47e4-8397-1c73c8bad34b,166003AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,CONCEPT-SET,13,,
0001fdca-769d-47e4-8397-1c73c8bad34b,CIEL:165997,CONCEPT-SET,14,,
0001fdca-769d-47e4-8397-1c73c8bad34b,CIEL:166002,CONCEPT-SET,15,,
0001fdca-769d-47e4-8397-1c73c8bad34b,CIEL:163681,CONCEPT-SET,16,,
0001fdca-769d-47e4-8397-1c73c8bad34b,CIEL:168169,CONCEPT-SET,17,,
0001fdca-769d-47e4-8397-1c73c8bad34b,CIEL:163599,CONCEPT-SET,18,,
0001fdca-769d-47e4-8397-1c73c8bad34b,CIEL:168170,CONCEPT-SET,19,,
0001fdca-769d-47e4-8397-1c73c8bad34b,CIEL:163439,CONCEPT-SET,20,,
0001fdca-769d-47e4-8397-1c73c8bad34b,CIEL:163596,CONCEPT-SET,21,,
0001fdca-769d-47e4-8397-1c73c8bad34b,CIEL:163680,CONCEPT-SET,22,,
0001fdca-769d-47e4-8397-1c73c8bad34b,CIEL:166016,CONCEPT-SET,23,,
0001fdca-769d-47e4-8397-1c73c8bad34b,CIEL:168171,CONCEPT-SET,24,,
0001fdca-769d-47e4-8397-1c73c8bad34b,CIEL:168136,CONCEPT-SET,25,,
0001fdca-769d-47e4-8397-1c73c8bad34b,CIEL:159658,CONCEPT-SET,26,,
0001fdca-769d-47e4-8397-1c73c8bad34b,CIEL:168173,CONCEPT-SET,27,,
0001fdca-769d-47e4-8397-1c73c8bad34b,CIEL:161466,CONCEPT-SET,28,,
0001fdca-769d-47e4-8397-1c73c8bad34b,CIEL:161151,CONCEPT-SET,29,,
0001fdca-769d-47e4-8397-1c73c8bad34b,CIEL:159650,CONCEPT-SET,30,,
0001fdca-769d-47e4-8397-1c73c8bad34b,CIEL:159647,CONCEPT-SET,31,,
0001fdca-769d-47e4-8397-1c73c8bad34b,CIEL:159652,CONCEPT-SET,32,,
0001fdca-769d-47e4-8397-1c73c8bad34b,CIEL:159646,CONCEPT-SET,33,,
0001fdca-769d-47e4-8397-1c73c8bad34b,CIEL:159657,CONCEPT-SET,34,,
0001fdca-769d-47e4-8397-1c73c8bad34b,CIEL:163654,CONCEPT-SET,35,,
0001fdca-769d-47e4-8397-1c73c8bad34b,CIEL:168172,CONCEPT-SET,36,,
0001fdca-769d-47e4-8397-1c73c8bad34b,CIEL:168211,CONCEPT-SET,37,,
0001fdca-769d-47e4-8397-1c73c8bad34b,CIEL:159661,CONCEPT-SET,38,,
0001fdca-769d-47e4-8397-1c73c8bad34b,CIEL:168217,CONCEPT-SET,39,,
0001fdca-769d-47e4-8397-1c73c8bad34b,CIEL:159830,CONCEPT-SET,40,,
0001fdca-769d-47e4-8397-1c73c8bad34b,CIEL:161526,CONCEPT-SET,41,,
0001fdca-769d-47e4-8397-1c73c8bad34b,CIEL:161527,CONCEPT-SET,42,,
0001fdca-769d-47e4-8397-1c73c8bad34b,CIEL:163629,CONCEPT-SET,43,,
0001fdca-769d-47e4-8397-1c73c8bad34b,CIEL:161158,CONCEPT-SET,44,,
0001fdca-769d-47e4-8397-1c73c8bad34b,CIEL:163429,CONCEPT-SET,45,,
0001fdca-769d-47e4-8397-1c73c8bad34b,CIEL:163428,CONCEPT-SET,46,,
0001fdca-769d-47e4-8397-1c73c8bad34b,CIEL:167894,CONCEPT-SET,47,,
0001fdca-769d-47e4-8397-1c73c8bad34b,CIEL:168210,CONCEPT-SET,48,,
0001fdca-769d-47e4-8397-1c73c8bad34b,CIEL:163432,CONCEPT-SET,49,,
0001fdca-769d-47e4-8397-1c73c8bad34b,CIEL:163431,CONCEPT-SET,50,,
0001fdca-769d-47e4-8397-1c73c8bad34b,CIEL:163442,CONCEPT-SET,51,,
0001fdca-769d-47e4-8397-1c73c8bad34b,CIEL:161133,CONCEPT-SET,52,,
0001fdca-769d-47e4-8397-1c73c8bad34b,CIEL:167905,CONCEPT-SET,53,,
0001fdca-769d-47e4-8397-1c73c8bad34b,CIEL:160053,CONCEPT-SET,54,,
0001fdca-769d-47e4-8397-1c73c8bad34b,CIEL:163594,CONCEPT-SET,55,,
0001fdca-769d-47e4-8397-1c73c8bad34b,CIEL:163704,CONCEPT-SET,56,,
0001fdca-769d-47e4-8397-1c73c8bad34b,CIEL:167173,CONCEPT-SET,57,,
0001fdca-769d-47e4-8397-1c73c8bad34b,CIEL:163703,CONCEPT-SET,58,,
0001fdca-769d-47e4-8397-1c73c8bad34b,CIEL:163705,CONCEPT-SET,59,,
0001fdca-769d-47e4-8397-1c73c8bad34b,CIEL:163706,CONCEPT-SET,60,,
0001fdca-769d-47e4-8397-1c73c8bad34b,CIEL:163707,CONCEPT-SET,61,,
0001fdca-769d-47e4-8397-1c73c8bad34b,CIEL:165395,CONCEPT-SET,62,,
0001fdca-769d-47e4-8397-1c73c8bad34b,CIEL:161519,CONCEPT-SET,63,,
0001fdca-769d-47e4-8397-1c73c8bad34b,CIEL:165544,CONCEPT-SET,64,,
0001fdca-769d-47e4-8397-1c73c8bad34b,CIEL:165985,CONCEPT-SET,65,,
0001fdca-769d-47e4-8397-1c73c8bad34b,CIEL:163430,CONCEPT-SET,66,,
