Concept,Member,Member Type,Sort Weight,_version:1,_order:1000
0166bbd5-8609-4c78-b830-53512a4cbbd3,CIEL:168183,CONCEPT-SET,1,,
0166bbd5-8609-4c78-b830-53512a4cbbd3,CIEL:1334,CONCEPT-SET,2,,
0166bbd5-8609-4c78-b830-53512a4cbbd3,CIEL:1335,CONCEPT-SET,3,,
0166bbd5-8609-4c78-b830-53512a4cbbd3,CIEL:163443,CONCEPT-SET,4,,
0166bbd5-8609-4c78-b830-53512a4cbbd3,CIEL:166022,CONCEPT-SET,5,,
0166bbd5-8609-4c78-b830-53512a4cbbd3,CIEL:163002,CONCEPT-SET,6,,
0166bbd5-8609-4c78-b830-53512a4cbbd3,CIEL:165555,CONCEPT-SET,7,,
0166bbd5-8609-4c78-b830-53512a4cbbd3,CIEL:165556,CONCEPT-SET,8,,
0166bbd5-8609-4c78-b830-53512a4cbbd3,CIEL:160767,CONCEPT-SET,9,,
0166bbd5-8609-4c78-b830-53512a4cbbd3,CIEL:160670,CONCEPT-SET,10,,
0166bbd5-8609-4c78-b830-53512a4cbbd3,CIEL:160711,CONCEPT-SET,11,,
0166bbd5-8609-4c78-b830-53512a4cbbd3,166003AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,CONCEPT-SET,12,,
0166bbd5-8609-4c78-b830-53512a4cbbd3,CIEL:165997,CONCEPT-SET,13,,
0166bbd5-8609-4c78-b830-53512a4cbbd3,CIEL:166002,CONCEPT-SET,14,,
0166bbd5-8609-4c78-b830-53512a4cbbd3,CIEL:168288,CONCEPT-SET,15,,
0166bbd5-8609-4c78-b830-53512a4cbbd3,CIEL:1328,CONCEPT-SET,16,,
0166bbd5-8609-4c78-b830-53512a4cbbd3,CIEL:167999,CONCEPT-SET,17,,
0166bbd5-8609-4c78-b830-53512a4cbbd3,CIEL:1020,CONCEPT-SET,18,,
0166bbd5-8609-4c78-b830-53512a4cbbd3,CIEL:1337,CONCEPT-SET,19,,
0166bbd5-8609-4c78-b830-53512a4cbbd3,CIEL:163599,CONCEPT-SET,20,,
0166bbd5-8609-4c78-b830-53512a4cbbd3,CIEL:1025,CONCEPT-SET,21,,
0166bbd5-8609-4c78-b830-53512a4cbbd3,CIEL:1341,CONCEPT-SET,22,,
0166bbd5-8609-4c78-b830-53512a4cbbd3,CIEL:163439,CONCEPT-SET,23,,
0166bbd5-8609-4c78-b830-53512a4cbbd3,CIEL:163596,CONCEPT-SET,24,,
0166bbd5-8609-4c78-b830-53512a4cbbd3,CIEL:166555,CONCEPT-SET,25,,
0166bbd5-8609-4c78-b830-53512a4cbbd3,CIEL:166016,CONCEPT-SET,27,,
0166bbd5-8609-4c78-b830-53512a4cbbd3,CIEL:305,CONCEPT-SET,28,,
0166bbd5-8609-4c78-b830-53512a4cbbd3,CIEL:159862,CONCEPT-SET,29,,
0166bbd5-8609-4c78-b830-53512a4cbbd3,CIEL:1028,CONCEPT-SET,30,,
