Concept,Member,Member Type,Sort Weight,_version:1,_order:1000
Lab Samples,0166bbd5-8609-4c78-b830-53512a4cbbd3,CONCEPT-SET,1,,
Lab Samples,CIEL:159994,CONCEPT-SET,2,,
Lab Samples,CIEL:1001,CONCEPT-SET,3,,
Lab Samples,CIEL:1004,CONCEPT-SET,4,,
Lab Samples,CIEL:1002,CONCEPT-SET,5,,
Lab Samples,CIEL:163368,CONCEPT-SET,6,,
Lab Samples,CIEL:159995,CONCEPT-SET,7,,
Lab Samples,CIEL:159993,CONCEPT-SET,8,,
Lab Samples,CIEL:160013,CONCEPT-SET,9,,
Lab Samples,CIEL:169081,CONCEPT-SET,10,,
Lab Samples,CIEL:163370,CONCEPT-SET,11,,
Lab Samples,CIEL:169083,CONCEPT-SET,12,,
Lab Samples,4a716a48-08db-4ecb-b1ae-5b528f369d88,CONCEPT-SET,13,,
Lab Samples,CIEL:163350,CONCEPT-SET,14,,
Lab Samples,SNOMED-CT:119376003,CONCEPT-SET,15,,
Lab Samples,CIEL:163364,CONCEPT-SET,16,,
Lab Samples,SNOMED-CT:258524009,CONCEPT-SET,17,,
Lab Samples,SNOMED-CT:119325001,CONCEPT-SET,18,,
Lab Samples,8578dd94-a066-4851-bb9f-1c7c03360d8b,CONCEPT-SET,19,,
