Concept,Member,Member Type,Sort Weight,_version:1,_order:1000
1349AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,CIEL:164573,CONCEPT-SET,1,,
1349AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,CIEL:164585,CONCEPT-SET,2,,
1349AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,CIEL:164627,CONCEPT-SET,3,,
1349AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,CIEL:164741,CONCEPT-SET,4,,
1349AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,CIEL:161723,CONCEPT-SET,5,,
1349AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,CIEL:164559,CONCEPT-SET,6,,
1349AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,CIEL:164160,CONCEPT-SET,7,,
1349AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,CIEL:161171,CONCEPT-SET,8,,
1349AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,CIEL:161677,CONCEPT-SET,9,,
1349AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,CIEL:161947,CONCEPT-SET,10,,
1349AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,CIEL:161172,CONCEPT-SET,11,,
1349AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,CIEL:163993,CONCEPT-SET,12,,
1349AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,CIEL:161674,CONCEPT-SET,13,,
b98d995b-491e-410d-b1a7-8c4c3e3cf31e,CIEL:164306,CONCEPT-SET,1,,
165003AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,CIEL:163961,CONCEPT-SET,1,,
165003AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,CIEL:164002,CONCEPT-SET,2,,
165003AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,CIEL:166630,CONCEPT-SET,3,,
165003AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,CIEL:164000,CONCEPT-SET,4,,
1808AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,CIEL:161782,CONCEPT-SET,1,,
1808AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,CIEL:164909,CONCEPT-SET,2,,
1808AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,CIEL:164675,CONCEPT-SET,3,,
1808AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,CIEL:164671,CONCEPT-SET,4,,
1808AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,CIEL:164638,CONCEPT-SET,5,,
1808AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,CIEL:164716,CONCEPT-SET,6,,
1808AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,CIEL:164304,CONCEPT-SET,7,,
1808AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,CIEL:164304,CONCEPT-SET,8,,
1808AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,CIEL:161768,CONCEPT-SET,9,,
1808AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,CIEL:161795,CONCEPT-SET,10,,
1808AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,CIEL:161792,CONCEPT-SET,11,,
1808AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,CIEL:161791,CONCEPT-SET,12,,
1808AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,CIEL:161793,CONCEPT-SET,13,,
1808AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,CIEL:161794,CONCEPT-SET,14,,
1808AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,CIEL:164722,CONCEPT-SET,15,,
1808AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,CIEL:164719,CONCEPT-SET,16,,
1808AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,CIEL:161789,CONCEPT-SET,17,,
1808AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,CIEL:161753,CONCEPT-SET,18,,
1808AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,CIEL:161728,CONCEPT-SET,19,,
1808AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,CIEL:161727,CONCEPT-SET,20,,
1808AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,CIEL:164545,CONCEPT-SET,21,,
1808AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,CIEL:163945,CONCEPT-SET,22,,
1808AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,CIEL:162908,CONCEPT-SET,23,,
1808AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,CIEL:161768,CONCEPT-SET,24,,
1808AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,CIEL:161758,CONCEPT-SET,25,,
1808AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,CIEL:163998,CONCEPT-SET,26,,
1808AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,CIEL:162889,CONCEPT-SET,27,,
1808AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,CIEL:161765,CONCEPT-SET,28,,
