Concept,Member,Member Type,Sort Weight,_version:1,_order:1000
6a8bb973-e61e-4fbb-b7ca-94ebf163874e,CIEL:1809,CONCEPT-SET,1,,
6a8bb973-e61e-4fbb-b7ca-94ebf163874e,CIEL:1349,CONCEPT-SET,2,,
6a8bb973-e61e-4fbb-b7ca-94ebf163874e,CIEL:1808,CONCEPT-SET,3,,
6a8bb973-e61e-4fbb-b7ca-94ebf163874e,CIEL:166323,CONCEPT-SET,4,,
6a8bb973-e61e-4fbb-b7ca-94ebf163874e,SNOMED-CT:421060004,CONCEPT-SET,5,,
6a8bb973-e61e-4fbb-b7ca-94ebf163874e,CIEL:165073,CONCEPT-SET,6,,
6a8bb973-e61e-4fbb-b7ca-94ebf163874e,CIEL:165027,CONCEPT-SET,7,,
6a8bb973-e61e-4fbb-b7ca-94ebf163874e,CIEL:165048,CONCEPT-SET,9,,
6a8bb973-e61e-4fbb-b7ca-94ebf163874e,CIEL:165076,CONCEPT-SET,10,,
6a8bb973-e61e-4fbb-b7ca-94ebf163874e,CIEL:165003,CONCEPT-SET,11,,
6a8bb973-e61e-4fbb-b7ca-94ebf163874e,CIEL:164989,CONCEPT-SET,12,,
6a8bb973-e61e-4fbb-b7ca-94ebf163874e,CIEL:165030,CONCEPT-SET,13,,
6a8bb973-e61e-4fbb-b7ca-94ebf163874e,CIEL:165072,CONCEPT-SET,14,,
6a8bb973-e61e-4fbb-b7ca-94ebf163874e,CIEL:165002,CONCEPT-SET,15,,
6a8bb973-e61e-4fbb-b7ca-94ebf163874e,CIEL:165015,CONCEPT-SET,16,,
6a8bb973-e61e-4fbb-b7ca-94ebf163874e,CIEL:165082,CONCEPT-SET,17,,
6a8bb973-e61e-4fbb-b7ca-94ebf163874e,CIEL:165075,CONCEPT-SET,18,,
6a8bb973-e61e-4fbb-b7ca-94ebf163874e,12da7334-41d7-4f93-a60b-a22a9cc3074c,CONCEPT-SET,19,,
6a8bb973-e61e-4fbb-b7ca-94ebf163874e,SNOMED-CT:86273004,CONCEPT-SET,20,,
6a8bb973-e61e-4fbb-b7ca-94ebf163874e,SNOMED-CT:423827005,CONCEPT-SET,21,,
6a8bb973-e61e-4fbb-b7ca-94ebf163874e,0d702c5b-ace4-4ff1-ab62-748831bd93d9,CONCEPT-SET,22,,
