Concept,Member,Member Type,Sort Weight,_version:1,_order:1000
82cb3652-febf-4394-98c0-4249c3ca5e45,CIEL:164012,CONCEPT-SET,1,,
82cb3652-febf-4394-98c0-4249c3ca5e45,CIEL:167904,CONCEPT-SET,2,,
4f8c4867-c4a8-411e-8983-f694d6a1b66b,CIEL:161161,CONCEPT-SET,1,,
4f8c4867-c4a8-411e-8983-f694d6a1b66b,CIEL:168567,CONCEPT-SET,2,,
4f8c4867-c4a8-411e-8983-f694d6a1b66b,CIEL:161130,CONCEPT-SET,3,,
4f8c4867-c4a8-411e-8983-f694d6a1b66b,CIEL:161131,CONCEPT-SET,4,,
4f8c4867-c4a8-411e-8983-f694d6a1b66b,CIEL:161170,CONCEPT-SET,5,,
4f8c4867-c4a8-411e-8983-f694d6a1b66b,CIEL:161051,CONCEPT-SET,6,,
e74c896c-8e9a-49b2-bce1-5265064f9450,CIEL:167890,CONCEPT-SET,1,,
e74c896c-8e9a-49b2-bce1-5265064f9450,CIEL:167889,CONCEPT-SET,2,,
e74c896c-8e9a-49b2-bce1-5265064f9450,CIEL:160630,CONCEPT-SET,3,,
e74c896c-8e9a-49b2-bce1-5265064f9450,CIEL:165136,CONCEPT-SET,4,,
e74c896c-8e9a-49b2-bce1-5265064f9450,CIEL:167903,CONCEPT-SET,5,,
e74c896c-8e9a-49b2-bce1-5265064f9450,CIEL:163591,CONCEPT-SET,6,,
e74c896c-8e9a-49b2-bce1-5265064f9450,CIEL:309,CONCEPT-SET,7,,
e74c896c-8e9a-49b2-bce1-5265064f9450,CIEL:165147,CONCEPT-SET,8,,
163958AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,CIEL:164655,CONCEPT-SET,1,,
163958AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,SNOMED-CT:44491008,CONCEPT-SET,2,,
163958AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,CIEL:164674,CONCEPT-SET,3,,
163958AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,CIEL:164606,CONCEPT-SET,4,,
163958AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,CIEL:164704,CONCEPT-SET,5,,
163958AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,CIEL:164723,CONCEPT-SET,6,,
163958AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,CIEL:164725,CONCEPT-SET,7,,
163958AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,CIEL:164956,CONCEPT-SET,8,,
163958AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,CIEL:165144,CONCEPT-SET,9,,
