Concept,Member,Member Type,Sort Weight,_version:1,_order:1000
9bb0795c-4ff0-0305-1990-000000000048,CIEL:1809,CONCEPT-SET,1,,
9bb0795c-4ff0-0305-1990-000000000048,CIEL:1843,CONCEPT-SET,2,,
9bb0795c-4ff0-0305-1990-000000000048,1c64dbbe-9fad-4d1d-b81a-57065ee67fb5,CONCEPT-SET,3,,
9bb0795c-4ff0-0305-1990-000000000048,CIEL:1349,CONCEPT-SET,4,,
9bb0795c-4ff0-0305-1990-000000000048,CIEL:166173,CONCEPT-SET,5,,
9bb0795c-4ff0-0305-1990-000000000048,CIEL:1808,CONCEPT-SET,6,,
9bb0795c-4ff0-0305-1990-000000000048,CIEL:166245,CONCEPT-SET,7,,
9bb0795c-4ff0-0305-1990-000000000048,4e629d3d-819a-4c24-91a2-0bc038d13329,CONCEPT-SET,8,,
9bb0795c-4ff0-0305-1990-000000000048,CIEL:166323,CONCEPT-SET,9,,
9bb0795c-4ff0-0305-1990-000000000048,CIEL:166338,CONCEPT-SET,10,,
9bb0795c-4ff0-0305-1990-000000000048,82cb3652-febf-4394-98c0-4249c3ca5e45,CONCEPT-SET,11,,
9bb0795c-4ff0-0305-1990-000000000048,4573be0e-1370-4c36-b932-ac320ebd5c00,CONCEPT-SET,12,,
9bb0795c-4ff0-0305-1990-000000000048,163958AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,CONCEPT-SET,13,,
9bb0795c-4ff0-0305-1990-000000000048,26b938d8-2cd4-44a3-b667-eb46b6aa0b7b,CONCEPT-SET,14,,
9bb0795c-4ff0-0305-1990-000000000048,5d3e948a-311a-48e5-b45e-fa0dcd158056,CONCEPT-SET,15,,
9bb0795c-4ff0-0305-1990-000000000048,0301d44d-e4e9-4c73-9e54-d59d02a59353,CONCEPT-SET,16,,
9bb0795c-4ff0-0305-1990-000000000048,4f8c4867-c4a8-411e-8983-f694d6a1b66b,CONCEPT-SET,17,,
9bb0795c-4ff0-0305-1990-000000000048,CIEL:164648,CONCEPT-SET,18,,
9bb0795c-4ff0-0305-1990-000000000048,e74c896c-8e9a-49b2-bce1-5265064f9450,CONCEPT-SET,19,,
