Uuid,Void/Retire,Name,Concept Drug,Concept Dosage Form,Strength,_version:1
3543c654-0834-4c90-982c-5e277005c15d,,Griséofulvine Co 500mg,Griseofulvine,Tablet,500mg,
0bd1bf31-b974-421f-854d-b9d463630a2b,,Tylenol 325mg,Acetaminophen,Tablet,325mg,
3af6ca73-f2ee-43ff-8464-fa00bf525e9b,,Advil 200mg,Ibuprofen,Tablet,200mg,
143c0048-33d5-46e6-b7b9-85b12769b629,,Multi-Vitamin Adult,Multi-Vitamin Adult,Tablet,,
9c257346-524c-4eef-bcf3-2cf4b472b2a8,,Multi-Vitamin Children,Multi-Vitamin Children,Tablet,,
fb601ad7-ffb6-4624-8f64-93522bb8d4ac,,Multi-Vitamin Prenatal,Multi-Vitamin Prenatal,Tablet,,
a8dd3068-cd3b-4af3-a33d-616279b29db5,,Norvasc 5mg,Amlodipine,Tablet,5mg,
340c9cdf-97fe-497f-9d0d-d66b8552aa25,,Norvasc 10mg,Amlodipine,Tablet,10mg,
124a4a8e-f920-4898-b3d0-6d463b1c3db2,,Atenolol 50mg,Tenormin,Tablet,50mg,
eca6b8c2-5b46-4a94-a7d9-24722be131b8,,Hctz 25mg,Hydrochlorothiazide,Tablet,25mg,
d8fdc1b7-e393-45e8-8a64-dc95e57f89f4,,Hctz 50mg,Hydrochlorothiazide,Tablet,50mg,
c3fccbc6-565e-4c2c-b1aa-bba217fd212e,,Zestril 20mg,Lisinopril,Tablet,20mg,
6ca6fa54-5b32-4d64-a66c-542c0889f840,,Lasix 20mg,Furosemide,Tablet,20mg,
09e58895-e7f0-4649-b7c0-e665c5c08e93,,Aspirin 81mg,Aspirin en,Tablet,81mg,
38087db3-7395-431f-88d5-bb25e06e33f1,,Aspirin 325mg,Aspirin en,Tablet,325mg,
8d4d2102-52a5-445d-9e0f-462d8967336a,,Celebrex 200mg,Celecoxib,Tablet,200mg,
c0a931b7-c900-45fe-b672-b78a00f41ed2,,Neurontin 100mg,Gabapentin,Tablet,100mg,
12da54e5-294a-4be2-834c-4ffd996a5bf6,,Neurontin 800mg,Gabapentin,Tablet,800mg,
fc882328-40ef-4fa3-852f-81f69fcf954f,,Tums,Calcium Carbonate,Tablet,,
0adc85cf-de4e-4c4b-a483-d8586f19626b,,Prilosec 20mg,Omeprazole,Tablet,20mg,
d5d560bc-e481-4874-93d0-a1023d1ce766,,Zantac 150mg,Ranitidine,Tablet,150mg,
45395ed4-63b2-43d2-af2a-23f4dc8e1b9e,,Protonix 20mg,Pantoprazole,Tablet,20mg,
a8e05fa5-d9be-49ae-b266-cf9a4e2f2d60,,Glucophage 500mg,Metformin,Tablet,500mg,
d6a60960-b4df-4ab0-a231-1c3fcc8414e1,,Glucotrol 5mg,Glipizide,Tablet,5mg,
af4be8ee-45b3-47e3-a32e-1c3bfb2e6f61,,Glipizide Er 3mg,Glipizide Er,Tablet,3mg,
912e4679-7758-403e-8441-5b528561f7bc,,Glipizide Er 6mg,Glipizide Er,Tablet,6mg,
2949ec94-0e60-4a99-b699-e36daa665033,,Bacitracin,Bacitracin,Cream,,
f691c1c4-1fe3-4fd5-afbf-2167ad241164,,Lotrimin 1%,Clotrimazole,Cream,1%,
4125aa3e-4b43-41c2-99a3-00bb71978084,,Nystatin 100000U/g,Nystatin,Cream,100000U/g,
5363a53f-a3c2-4a29-b7f0-a4b075052e5e,,Levaquin 250mg,Levofloxacin,Tablet,250mg,
5449d13a-591f-4840-9739-870966625f0f,,Valtrex 1g,Valacyclovir,Tablet,1g,
12dd160a-2ab4-4b95-900c-40ebf6ccc55f,,Doxycycline 100mg,Doxycycline,Tablet,100mg,
76a434fd-df90-4b19-ba47-26ddd7a00437,,Diflucan 200mg,Fluconazole,Tablet,200mg,
56034516-35a4-4bca-826e-df42008ebeed,,Albenza 400mg,Albendazole,Tablet,400mg,
396c0447-c8e2-4f2f-a9a1-b664efe352ea,,Lindane 1%,Gamma-Hexachlorocyclohexane,Solution,1%,
a8355c83-31db-4089-a962-512e35097ef0,,Amoxicillin 500mg,Amoxicillin,Tablet,500mg,
c554ffb2-5706-4623-a89a-008366cd564c,,Flagyl 250mg,Metronidazole,Tablet,250mg,
8dd89c2e-b45b-4fea-98d5-f6b9f02247c1,,Ceftin 250mg/5ml,Cefuroxime,Tablet,250mg/5ml,
94c9f33b-ffe9-466b-8090-77cd3d5334f0,,Rocephin 1g,Ceftriaxone,Solution,1g,
dfc7e569-4e44-4b11-bc7f-4d0d7b768fd4,,Spiriva,Tiotropium,Inhalation,,
0ba092a4-3fc1-4d45-a2cb-c7eaf95d6ebd,,Pulmicort,Budesonide,Inhalation,,
83d3ac4b-1aa8-40bb-83dd-7381a2876dc1,,Proventil,Albuterol,Inhalation,,
8833d035-ac2d-4d23-b5cc-720ebfee1533,,Xopenex,Levabuterol,Inhalation,,
e8b79172-45cd-40ce-9ca8-0a6a652bb47e,,Cortef,Hydrocortisone,Tablet,,
1fc3e5e1-85dd-4a1e-88fa-5f57e07d727d,,Miralax 17g,Polyethylene Glycol,Powder,17g,
