Item Code,Price List,Rate,Currency,UOM
851AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Standard Selling,37,USD,Unit
163695AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Standard Selling,50,USD,Unit
1338AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Standard Selling,27,USD,Unit
161447AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Standard Selling,42,USD,Unit
729AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Standard Selling,55,USD,Unit
163686AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Standard Selling,46,USD,Unit
1325AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Standard Selling,52,USD,Unit
161448AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Standard Selling,27,USD,Unit
160735AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Standard Selling,18,USD,Unit
1015AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Standard Selling,44,USD,Unit
163688AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Standard Selling,35.1,USD,Unit
163687AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Standard Selling,34.3,USD,Unit
1016AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Standard Selling,33.4,USD,Unit
163689AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Standard Selling,32.6,USD,Unit
163426AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Standard Selling,31.7,USD,Unit
655AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Standard Selling,30.9,USD,Unit
161450AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Standard Selling,30,USD,Unit
678AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Standard Selling,29.2,USD,Unit
717AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Standard Selling,28.3,USD,Unit
857AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Standard Selling,27.5,USD,Unit
163683AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Standard Selling,26.6,USD,Unit
161445AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Standard Selling,25.8,USD,Unit
163699AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Standard Selling,25,USD,Unit
21AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Standard Selling,24.1,USD,Unit
654AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Standard Selling,23.3,USD,Unit
160225AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Standard Selling,22.4,USD,Unit
159430AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Standard Selling,21.6,USD,Unit
163684AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Standard Selling,20.7,USD,Unit
161449AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Standard Selling,19.9,USD,Unit
653AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Standard Selling,19,USD,Unit
790AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Standard Selling,18.2,USD,Unit
163696AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Standard Selling,17.3,USD,Unit
887AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Standard Selling,16.5,USD,Unit
304AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Standard Selling,15.6,USD,Unit
785AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Standard Selling,14.8,USD,Unit
159362AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Standard Selling,13.9,USD,Unit
679AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Standard Selling,13.1,USD,Unit
1336AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Standard Selling,12.2,USD,Unit
163692AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Standard Selling,11.4,USD,Unit
1018AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Standard Selling,10.5,USD,Unit
1017AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Standard Selling,9.7,USD,Unit
161431AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Standard Selling,8.8,USD,Unit
