ID,Default Unit of Measure,Item Code,Item Group,Item Name
851AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Unit,Mean corpuscular volume,Laboratory,Mean corpuscular volume
163695AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Unit,Crystals type in urine sediment by light microscopy test,Laboratory,Crystals type in urine sediment by light microscopy test
1338AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Unit,Lymphocytes (%) - microscopic exam,Laboratory,Lymphocytes (%) - microscopic exam
161447AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Unit,Stool microscopy with concentration,Laboratory,Stool microscopy with concentration
729AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Unit,Platelets,Laboratory,Platelets
163686AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Unit,Yeast presence in urine sediment by light microscopy,Laboratory,Yeast presence in urine sediment by light microscopy
1325AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Unit,Hepatitis C test - qualitative,Laboratory,Hepatitis C test - qualitative
161448AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Unit,Kinyoun's stain for coccidians,Laboratory,Kinyoun's stain for coccidians
160735AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Unit,"Bacteriuria test, urine",Laboratory,"Bacteriuria test, urine"
1015AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Unit,Hematocrit,Laboratory,Hematocrit
163688AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Unit,Spore presence in urine test,Laboratory,Spore presence in urine test
163687AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Unit,Yeast hyphae presence in urine sediment by light microscopy test,Laboratory,Yeast hyphae presence in urine sediment by light microscopy test
1016AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Unit,Red cell distribution width,Laboratory,Red cell distribution width
163689AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Unit,Trichomonas vaginalis presence in urine sediment by light microscopy,Laboratory,Trichomonas vaginalis presence in urine sediment by light microscopy
163426AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Unit,"Combined % of monocytes, eosinophils and basophils",Laboratory,"Combined % of monocytes, eosinophils and basophils"
655AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Unit,Total bilirubin,Laboratory,Total bilirubin
161450AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Unit,"Stool fat test, semi-quantitative",Laboratory,"Stool fat test, semi-quantitative"
678AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Unit,White blood cells,Laboratory,White blood cells
717AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Unit,Total protein,Laboratory,Total protein
857AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Unit,Blood urea nitrogen,Laboratory,Blood urea nitrogen
163683AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Unit,Erythrocytes presence in urine sediment by light microscopy test,Laboratory,Erythrocytes presence in urine sediment by light microscopy test
161445AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Unit,Urine routine and microscopy,Laboratory,Urine routine and microscopy
163699AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Unit,Urea measurement (calculated),Laboratory,Urea measurement (calculated)
21AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Unit,Haemoglobin,Laboratory,Haemoglobin
654AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Unit,Serum glutamic-pyruvic transaminase,Laboratory,Serum glutamic-pyruvic transaminase
160225AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Unit,Sickle cell screening test,Laboratory,Sickle cell screening test
159430AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Unit,Hepatitis B Surface Antigen Test,Laboratory,Hepatitis B Surface Antigen Test
163684AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Unit,Leukocytes presence in urine sediment by light microscopy,Laboratory,Leukocytes presence in urine sediment by light microscopy
161449AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Unit,Stool test for reducing substance,Laboratory,Stool test for reducing substance
653AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Unit,Serum glutamic-oxaloacetic transaminase,Laboratory,Serum glutamic-oxaloacetic transaminase
790AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Unit,Serum creatinine (umol/L),Laboratory,Serum creatinine (umol/L)
163696AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Unit,Casts presence in urine sediment by light microscopy test,Laboratory,Casts presence in urine sediment by light microscopy test
887AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Unit,Serum glucose,Laboratory,Serum glucose
304AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Unit,Stool exam,Laboratory,Stool exam
785AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Unit,Alkaline phosphatase,Laboratory,Alkaline phosphatase
159362AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Unit,Fecal occult blood test,Laboratory,Fecal occult blood test
1019AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Unit,Complete blood count,Laboratory,Complete blood count
679AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Unit,Red blood cells,Laboratory,Red blood cells
1336AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Unit,Neutrophils (%) - microscopic exam,Laboratory,Neutrophils (%) - microscopic exam
163692AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Unit,Epithelial casts presence in urine sediment by light microscopy test,Laboratory,Epithelial casts presence in urine sediment by light microscopy test
1018AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Unit,Mean corpuscular hemoglobin,Laboratory,Mean corpuscular hemoglobin
1017AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Unit,Mean cell hemoglobin concentration,Laboratory,Mean cell hemoglobin concentration
161431AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Unit,Sickling test only,Laboratory,Sickling test only
161488AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Unit,Renal function panel,Laboratory,Renal function panel
953AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Unit,Liver function tests,Laboratory,Liver function tests
161451AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Unit,Stool test,Laboratory,Stool test
163697AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Unit,Urine microscopy panel,Laboratory,Urine microscopy panel
3543c654-0834-4c90-982c-5e277005c15d,Tablet,Griséofulvine Co 500mg,Drugs,Griséofulvine Co 500mg
0bd1bf31-b974-421f-854d-b9d463630a2b,Tablet,Tylenol 325mg,Drugs,Tylenol 325mg
3af6ca73-f2ee-43ff-8464-fa00bf525e9b,Tablet,Advil 200mg,Drugs,Advil 200mg
143c0048-33d5-46e6-b7b9-85b12769b629,Tablet,Multi-Vitamin Adult,Drugs,Multi-Vitamin Adult
9c257346-524c-4eef-bcf3-2cf4b472b2a8,Tablet,Multi-Vitamin Children,Drugs,Multi-Vitamin Children
fb601ad7-ffb6-4624-8f64-93522bb8d4ac,Tablet,Multi-Vitamin Prenatal,Drugs,Multi-Vitamin Prenatal
a8dd3068-cd3b-4af3-a33d-616279b29db5,Tablet,Norvasc 5mg,Drugs,Norvasc 5mg
340c9cdf-97fe-497f-9d0d-d66b8552aa25,Tablet,Norvasc 10mg,Drugs,Norvasc 10mg
124a4a8e-f920-4898-b3d0-6d463b1c3db2,Tablet,Atenolol 50mg,Drugs,Atenolol 50mg
eca6b8c2-5b46-4a94-a7d9-24722be131b8,Tablet,Hctz 25mg,Drugs,Hctz 25mg
d8fdc1b7-e393-45e8-8a64-dc95e57f89f4,Tablet,Hctz 50mg,Drugs,Hctz 50mg
c3fccbc6-565e-4c2c-b1aa-bba217fd212e,Tablet,Zestril 20mg,Drugs,Zestril 20mg
6ca6fa54-5b32-4d64-a66c-542c0889f840,Tablet,Lasix 20mg,Drugs,Lasix 20mg
09e58895-e7f0-4649-b7c0-e665c5c08e93,Tablet,Aspirin 81mg,Drugs,Aspirin 81mg
38087db3-7395-431f-88d5-bb25e06e33f1,Tablet,Aspirin 325mg,Drugs,Aspirin 325mg
8d4d2102-52a5-445d-9e0f-462d8967336a,Tablet,Celebrex 200mg,Drugs,Celebrex 200mg
c0a931b7-c900-45fe-b672-b78a00f41ed2,Tablet,Neurontin 100mg,Drugs,Neurontin 100mg
12da54e5-294a-4be2-834c-4ffd996a5bf6,Tablet,Neurontin 800mg,Drugs,Neurontin 800mg
fc882328-40ef-4fa3-852f-81f69fcf954f,Tablet,Tums,Drugs,Tums
0adc85cf-de4e-4c4b-a483-d8586f19626b,Tablet,Prilosec 20mg,Drugs,Prilosec 20mg
d5d560bc-e481-4874-93d0-a1023d1ce766,Tablet,Zantac 150mg,Drugs,Zantac 150mg
45395ed4-63b2-43d2-af2a-23f4dc8e1b9e,Tablet,Protonix 20mg,Drugs,Protonix 20mg
a8e05fa5-d9be-49ae-b266-cf9a4e2f2d60,Tablet,Glucophage 500mg,Drugs,Glucophage 500mg
d6a60960-b4df-4ab0-a231-1c3fcc8414e1,Tablet,Glucotrol 5mg,Drugs,Glucotrol 5mg
af4be8ee-45b3-47e3-a32e-1c3bfb2e6f61,Tablet,Glipizide Er 3mg,Drugs,Glipizide Er 3mg
912e4679-7758-403e-8441-5b528561f7bc,Tablet,Glipizide Er 6mg,Drugs,Glipizide Er 6mg
2949ec94-0e60-4a99-b699-e36daa665033,Tube,Bacitracin,Drugs,Bacitracin
f691c1c4-1fe3-4fd5-afbf-2167ad241164,Tube,Lotrimin 1%,Drugs,Lotrimin 1%
4125aa3e-4b43-41c2-99a3-00bb71978084,Tube,Nystatin 100000U/g,Drugs,Nystatin 100000U/g
5363a53f-a3c2-4a29-b7f0-a4b075052e5e,Tablet,Levaquin 250mg,Drugs,Levaquin 250mg
5449d13a-591f-4840-9739-870966625f0f,Tablet,Valtrex 1g,Drugs,Valtrex 1g
12dd160a-2ab4-4b95-900c-40ebf6ccc55f,Tablet,Doxycycline 100mg,Drugs,Doxycycline 100mg
76a434fd-df90-4b19-ba47-26ddd7a00437,Tablet,Diflucan 200mg,Drugs,Diflucan 200mg
56034516-35a4-4bca-826e-df42008ebeed,Tablet,Albenza 400mg,Drugs,Albenza 400mg
396c0447-c8e2-4f2f-a9a1-b664efe352ea,Vial,Lindane 1%,Drugs,Lindane 1%
a8355c83-31db-4089-a962-512e35097ef0,Tablet,Amoxicillin 500mg,Drugs,Amoxicillin 500mg
c554ffb2-5706-4623-a89a-008366cd564c,Tablet,Flagyl 250mg,Drugs,Flagyl 250mg
8dd89c2e-b45b-4fea-98d5-f6b9f02247c1,Tablet,Ceftin 250mg / 5ml,Drugs,Ceftin 250mg / 5ml
94c9f33b-ffe9-466b-8090-77cd3d5334f0,Vial,Rocephin 1g,Drugs,Rocephin 1g
dfc7e569-4e44-4b11-bc7f-4d0d7b768fd4,Nebulizer,Spiriva,Drugs,Spiriva
0ba092a4-3fc1-4d45-a2cb-c7eaf95d6ebd,Nebulizer,Pulmicort,Drugs,Pulmicort
83d3ac4b-1aa8-40bb-83dd-7381a2876dc1,Nebulizer,Proventil,Drugs,Proventil
8833d035-ac2d-4d23-b5cc-720ebfee1533,Nebulizer,Xopenex,Drugs,Xopenex
e8b79172-45cd-40ce-9ca8-0a6a652bb47e,Tablet,Cortef,Drugs,Cortef
1fc3e5e1-85dd-4a1e-88fa-5f57e07d727d,Teaspoon,Miralax 17g,Drugs,Miralax 17g
aae13cbd-1509-4e4d-9b5a-ce6139fb74c2,Tablet,Colace 100mg,Drugs,Colace 100mg
311f1a89-0c75-4b34-bc88-00f2edee9400,Tablet,Senokot 17mg,Drugs,Senokot 17mg
8dd28534-a357-4617-8909-2160f7fd7e4c,Tablet,Claritin,Drugs,Claritin
277024fa-a41d-4655-8485-a44ef683c41f,Tablet,Benadryl,Drugs,Benadryl
e3a59ed6-c9b9-4bb0-922d-25fc6aa74043,Tablet,Deltasone,Drugs,Deltasone
52128175-f648-4a4b-bb2d-4d7a97ea4b6e,Container,Vitamin B12 1000mcg,Drugs,Vitamin B12 1000mcg
28dc1ebd-945e-4795-9060-5c60ffb5a577,Tablet,Ultram 50mg,Drugs,Ultram 50mg
b9f17974-47ba-430f-9a17-352f50241e90,Tablet,Flexeril 5mg,Drugs,Flexeril 5mg
dec17cc7-f772-4814-ae9c-49007d644092,Tablet,Nexium 20mg,Drugs,Nexium 20mg
c695f96f-32dd-47fe-9877-059ee337bea0,Tablet,Pepcid,Drugs,Pepcid
