"id","field_id/id","model"
"sale.model_res_partner","sale.field_res_partner____last_update","res.partner"
"","base.field_res_partner__active",""
"","base.field_res_partner__active_lang_count",""
"","mail.field_res_partner__activity_date_deadline",""
"","mail.field_res_partner__activity_exception_decoration",""
"","mail.field_res_partner__activity_exception_icon",""
"","mail.field_res_partner__activity_ids",""
"","mail.field_res_partner__activity_state",""
"","mail.field_res_partner__activity_summary",""
"","mail.field_res_partner__activity_type_icon",""
"","mail.field_res_partner__activity_type_id",""
"","mail.field_res_partner__activity_user_id",""
"","partner_autocomplete.field_res_partner__additional_info",""
"","account.field_res_partner__bank_account_count",""
"","base.field_res_partner__bank_ids",""
"","base.field_res_partner__barcode",""
"","base.field_res_partner__category_id",""
"","mail.field_res_partner__channel_ids",""
"","base.field_res_partner__child_ids",""
"","base.field_res_partner__city",""
"","base.field_res_partner__color",""
"","base.field_res_partner__comment",""
"","base.field_res_partner__commercial_company_name",""
"","base.field_res_partner__commercial_partner_id",""
"","base.field_res_partner__company_id",""
"","base.field_res_partner__company_name",""
"","base.field_res_partner__company_type",""
"","base.field_res_partner__contact_address",""
"","account.field_res_partner__contract_ids",""
"","base.field_res_partner__country_id",""
"","base.field_res_partner__create_date",""
"","base.field_res_partner__create_uid",""
"","account.field_res_partner__credit",""
"","base.field_res_partner__credit_limit",""
"","account.field_res_partner__currency_id",""
"","account.field_res_partner__customer_rank",""
"","base.field_res_partner__date",""
"","account.field_res_partner__debit",""
"","account.field_res_partner__debit_limit",""
"","sale.field_res_partner__display_name",""
"","mail.field_res_partner__email",""
"","base.field_res_partner__email_formatted",""
"","mail.field_res_partner__email_normalized",""
"","base.field_res_partner__employee",""
"","base.field_res_partner__function",""
"","account.field_res_partner__has_unreconciled_entries",""
"","sale.field_res_partner__id",""
"","bus.field_res_partner__im_status",""
"","base.field_res_partner__image_1024",""
"","base.field_res_partner__image_128",""
"","base.field_res_partner__image_1920",""
"","base.field_res_partner__image_256",""
"","base.field_res_partner__image_512",""
"","base.field_res_partner__industry_id",""
"","account.field_res_partner__invoice_ids",""
"","account.field_res_partner__invoice_warn",""
"","account.field_res_partner__invoice_warn_msg",""
"","mail.field_res_partner__is_blacklisted",""
"","base.field_res_partner__is_company",""
"","account.field_res_partner__journal_item_count",""
"","base.field_res_partner__lang",""
"","account.field_res_partner__last_time_entries_checked",""
"","sms.field_res_partner__message_attachment_count",""
"","mail.field_res_partner__message_bounce",""
"","sms.field_res_partner__message_channel_ids",""
"","sms.field_res_partner__message_follower_ids",""
"","sms.field_res_partner__message_has_error",""
"","sms.field_res_partner__message_has_error_counter",""
"","sms.field_res_partner__message_has_sms_error",""
"","sms.field_res_partner__message_ids",""
"","sms.field_res_partner__message_is_follower",""
"","sms.field_res_partner__message_main_attachment_id",""
"","sms.field_res_partner__message_needaction",""
"","sms.field_res_partner__message_needaction_counter",""
"","sms.field_res_partner__message_partner_ids",""
"","sms.field_res_partner__message_unread",""
"","sms.field_res_partner__message_unread_counter",""
"","base.field_res_partner__mobile",""
"","sms.field_res_partner__mobile_blacklisted",""
"","mail.field_res_partner__my_activity_date_deadline",""
"","base.field_res_partner__name",""
"","base.field_res_partner__parent_id",""
"","base.field_res_partner__parent_name",""
"","partner_autocomplete.field_res_partner__partner_gid",""
"","base.field_res_partner__partner_latitude",""
"","base.field_res_partner__partner_longitude",""
"","base.field_res_partner__partner_share",""
"","payment.field_res_partner__payment_token_count",""
"","payment.field_res_partner__payment_token_ids",""
"","mail.field_res_partner__phone",""
"","sms.field_res_partner__phone_blacklisted",""
"","sms.field_res_partner__phone_sanitized",""
"","sms.field_res_partner__phone_sanitized_blacklisted",""
"","stock.field_res_partner__picking_warn",""
"","stock.field_res_partner__picking_warn_msg",""
"","account.field_res_partner__property_account_payable_id",""
"","account.field_res_partner__property_account_position_id",""
"","account.field_res_partner__property_account_receivable_id",""
"","account.field_res_partner__property_payment_term_id",""
"","product.field_res_partner__property_product_pricelist",""
"","stock.field_res_partner__property_stock_customer",""
"","stock.field_res_partner__property_stock_supplier",""
"","account.field_res_partner__property_supplier_payment_term_id",""
"","base.field_res_partner__ref",""
"","account.field_res_partner__ref_company_ids",""
"","sale.field_res_partner__sale_order_count",""
"","sale.field_res_partner__sale_order_ids",""
"","sale.field_res_partner__sale_warn",""
"","sale.field_res_partner__sale_warn_msg",""
"","base.field_res_partner__same_vat_partner_id",""
"","base.field_res_partner__self",""
"","auth_signup.field_res_partner__signup_expiration",""
"","auth_signup.field_res_partner__signup_token",""
"","auth_signup.field_res_partner__signup_type",""
"","auth_signup.field_res_partner__signup_url",""
"","auth_signup.field_res_partner__signup_valid",""
"","base.field_res_partner__state_id",""
"","base.field_res_partner__street",""
"","base.field_res_partner__street2",""
"","account.field_res_partner__supplier_rank",""
"","sales_team.field_res_partner__team_id",""
"","base.field_res_partner__title",""
"","account.field_res_partner__total_invoiced",""
"","account.field_res_partner__trust",""
"","base.field_res_partner__type",""
"","base.field_res_partner__tz",""
"","base.field_res_partner__tz_offset",""
"","mail.field_res_partner__user_id",""
"","base.field_res_partner__user_ids",""
"","base.field_res_partner__vat",""
"","base.field_res_partner__website",""
"","sms.field_res_partner__website_message_ids",""
"","base.field_res_partner__write_date",""
"","base.field_res_partner__write_uid",""
"","init.898fe991-aea8-4a9f-8e06-13d796128f94",""
"","base.field_res_partner__zip",""
