id,name,categ_id/id,type,uom_id/id,uom_po_id/id,invoice_policy,lst_price,standard_price,x_concept_source,x_concept_code,x_drug_strength
init.0bd1bf31-b974-421f-854d-b9d463630a2b,Tylenol 325mg,init.categ_products_drug_orders,product,init.1513AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,init.1513AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Ordered quantities,1,0.8,https://cielterminology.org,70116,325mg
init.3af6ca73-f2ee-43ff-8464-fa00bf525e9b,Advil 200mg,init.categ_products_drug_orders,product,init.1513AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,init.1513AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Ordered quantities,0.5,0.45,https://cielterminology.org,77897,200mg
init.a8dd3068-cd3b-4af3-a33d-616279b29db5,Norvasc 5mg,init.categ_products_drug_orders,product,init.1513AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,init.1513AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Ordered quantities,0.9,0.66,https://cielterminology.org,71137,5mg
init.340c9cdf-97fe-497f-9d0d-d66b8552aa25,Norvasc 10mg,init.categ_products_drug_orders,product,init.1513AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,init.1513AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Ordered quantities,0.94,0.72,https://cielterminology.org,71137,10mg
init.eca6b8c2-5b46-4a94-a7d9-24722be131b8,Hctz 25mg,init.categ_products_drug_orders,product,init.1513AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,init.1513AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Ordered quantities,1.03,0.84,https://cielterminology.org,77696,25mg
init.d8fdc1b7-e393-45e8-8a64-dc95e57f89f4,Hctz 50mg,init.categ_products_drug_orders,product,init.1513AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,init.1513AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Ordered quantities,1.07,0.9,https://cielterminology.org,77696,50mg
init.c3fccbc6-565e-4c2c-b1aa-bba217fd212e,Zestril 20mg,init.categ_products_drug_orders,product,init.1513AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,init.1513AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Ordered quantities,1.11,0.96,https://cielterminology.org,78945,20mg
init.09e58895-e7f0-4649-b7c0-e665c5c08e93,Aspirin 81mg,init.categ_products_drug_orders,product,init.1513AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,init.1513AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Ordered quantities,1.2,1.08,https://cielterminology.org,71617,81mg
init.38087db3-7395-431f-88d5-bb25e06e33f1,Aspirin 325mg,init.categ_products_drug_orders,product,init.1513AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,init.1513AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Ordered quantities,1.24,1.14,https://cielterminology.org,71617,325mg
init.a8e05fa5-d9be-49ae-b266-cf9a4e2f2d60,Glucophage 500mg,init.categ_products_drug_orders,product,init.1513AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,init.1513AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Ordered quantities,0.5,0.45,https://cielterminology.org,79651,500mg
init.56034516-35a4-4bca-826e-df42008ebeed,Albenza 400mg,init.categ_products_drug_orders,product,init.1513AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,init.1513AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Ordered quantities,1.2,1.08,https://cielterminology.org,70439,400mg
