Uuid,Void/Retire,Same as mappings,Fully specified name:en,Short name:en,Description:en,Fully specified name:fr,Short name:fr,Description:fr,Data class,Data type,Complex data handler,Answers,Members,Allow decimals,Units,Normal low,Normal high,Absolute low,Absolute high,_version:1,_order:900
5089AAAAAAAAAAAAAAAAAAAAAAAAAAAA,,CIEL:5089,Weight,Weight,,Poids,Poids,,Misc,Numeric,,,,TRUE,kg,,,0,700,,
,,,"Weight, grams","Weight, grams",,"Poids, grammes","Poids, grammes",,Misc,Numeric,,,,,g,,,0,,,
5090AAAAAAAAAAAAAAAAAAAAAAAAAAAA,,CIEL:5090,Height,Height,,Taille,Taille,,Misc,Numeric,,,,TRUE,cm,,,0,,,
c367d9ee-3f10-11e4-adec-0800271c1b75,,CIEL:1342,BMI,BMI,,BMI,IMC,,Computed,Numeric,,,,TRUE,kg/m2,,,,,,
c3843f1d-9835-47e8-842b-d51e57781585,,,BMI ABNORMAL,BMI ABNORMAL,,BMI ABNORMAL,IMC Anormal,,Abnormal,Boolean,,,,,,,,,,,
2c5bbbbf-f34d-4590-b624-9f17b75b7f00,,,BMI Data,BMI Data,,BMI Data,IMC Data,,Concept Details,N/A,,,c367d9ee-3f10-11e4-adec-0800271c1b75; c3843f1d-9835-47e8-842b-d51e57781585,,,,,,,,
afd34a0d-ca7c-4f31-bd5a-4f1fa98100e1,,,BMI STATUS ABNORMAL,BMI STATUS ABNORMAL,,BMI STATUS ABNORMAL,IMC Status Anormal,,Abnormal,Boolean,,,,,,,,,,,
c368694c-3f10-11e4-adec-0800271c1b75,,,BMI STATUS,BMI STATUS,,BMI STATUS,IMC Status,,Computed,Text,,,,,,,,,,,
80ef57a5-0d0c-48de-acdd-19e026c890b5,,,BMI Status Data,BMI Status Data,,BMI Status Data,IMC Status,,Concept Details,N/A,,,afd34a0d-ca7c-4f31-bd5a-4f1fa98100e1; c368694c-3f10-11e4-adec-0800271c1b75,,,,,,,,
f074942b-666b-4ca3-9f0e-1103128b3ae2,,CIEL:1343,Mid-Upper Arm Circumference,Mid-Upper Arm Circumference,,Périmètre bracchial,Périmètre bracchial,,Question,Numeric,,,,TRUE,cm,,,,,,
09313648-8ba0-4480-a3a3-efe2d3b8a769,,,Head Circumference,Head Circumference,,Périmètre Cranien,Périmètre Cranien,,Question,Numeric,,,,TRUE,cm,,,,,,
f95a4f13-80f0-4254-a1f2-bc06aea4c9c9,,,Abdominal Diameter,Abdominal Diameter,,Périmètre Abdominal,Périmètre Abdominal,,Question,Numeric,,,,TRUE,cm,,,,,,
