Uuid,Void/Retire,Same as mappings,Fully specified name:en,Fully specified name:fr,Short name:en,Short name:fr,Description:en,Description:fr,Data class,Data type,Answers,Members,_version:1,_order:1000,
0016512d-4388-44f0-a4b6-f6ad9e18fdcd,,ICD-10:J45.9,Mild persistent asthma (J45.9),Asthme persistant leger (J45.9),Mild persistent asthma,Asthme persistant leger,,,Diagnosis,N/A,,,,,
006ab3b2-a0ea-45bf-b495-83e06f26f87a,,ICD-10:I00,Acute rheumatic fever (I00),Rhumatisme articulaire aigu (I00),Acute rheumatic fever,Rhumatisme articulaire aigu,,,Diagnosis,N/A,,,,,
02db87f6-40d0-4b2a-8c19-927db2c43168,,ICD-10:I42.8,Idiopathic cardiomyopathy (I42.8),Cardiomyopathie idiopathique (I42.8),Idiopathic cardiomyopathy,Cardiomyopathie idiopathique,,,Diagnosis,N/A,,,,,
0670f6b9-5456-4bd3-86b1-846abc4fe2ba,,ICD-10:I50.9,Heart Failure (I50.9),Insuffisance cardiaque (I50.9),Heart Failure,Insuffisance cardiaque,,,Diagnosis,N/A,,,,,
06cc08fb-414a-46e6-8c20-136535609812,,ICD-10:I00,Rheumatic Fever Without Heart Involvement (I00),"Fievre rhumatismale, sans attente cardiaque (I00)",Rheumatic Fever Without Heart Involvement,"Fievre rhumatismale, sans attente cardiaque",,,Diagnosis,N/A,,,,,
08e9c0e1-d72f-425d-81ea-dbe88eb90772,,ICD-10:P21.9,Birth Asphyxia (P21.9),Asphyxie a la naissance (P21.9),Birth Asphyxia,Asphyxie a la naissance,,,Diagnosis,N/A,,,,,
105903f4-7b6d-496a-b613-37ab9d0f5450,,ICD-10:E10,Type 1 diabetes (E10),Diabete de type 1 (E10),Type 1 diabetes,Diabete de type 1,,,Diagnosis,N/A,,,,,
110112AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,ICD-10:C96.7,Malignant tumor of lymphatic and hematopoietic tissue (C96.7),Tumeurs malignes des tissus lymphoïde et hematopoïetique (C96.7),Malignant tumor of lymphatic and hematopoietic tissue,Tumeurs malignes des tissus lymphoïde et hematopoïetique,,,Diagnosis,N/A,,,,,
110169AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,ICD-10:L56.3,"Urticaria, Solar (L56.3)",Urticaire solaire (L56.3),"Urticaria, Solar",Urticaire solaire,,,Diagnosis,N/A,,,,,
110516AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,ICD-10:B00.8,Herpes simplex esophagitis (B00.8),Oesophagite a herpes simplex (B00.8),Herpes simplex esophagitis,Oesophagite a herpes simplex,,,Diagnosis,N/A,,,,,
110521AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,ICD-10:S92.4,Fracture of great toe (S92.4),Fracture du gros orteil (S92.4),Fracture of great toe,Fracture du gros orteil,,,Diagnosis,N/A,,,,,
