Uuid,Void/Retire,Fully specified name:en,Fully specified name:fr,Short name:en,Short name:fr,Data class,Data Type,_version:1,_order:60
fdbe907b-6abc-41dc-9599-2d84105e4063,,Tablet,Comprime,Tablet,Comprime,Misc,N/A,,
90a3f930-2eef-4a2e-8427-5359607c7b13,,Solution,Solution,Solution,Solution,Misc,N/A,,
0689bb6e-9371-4a0f-ad1c-63c135b1714d,,Cream,Creme,Cream,Creme,Misc,N/A,,
658c1b9c-51c8-4734-8bf2-80e750c7889f,,Inhalable,Inhalable,Inhalable,Inhalable,Misc,N/A,,
dc6382df-6fc7-4700-bb93-b9b5dd5ee9c2,,Powder,Poudre,Powder,Poudre,Misc,N/A,,
bd1b2599-84d2-4f33-ba25-4f6d42d147a5,,Injectable,Injectable,Injectable,Injectable,Misc,N/A,,
164cd72a-b50d-41f5-b534-7baff3e434b9,,Capsule,Gelule,Capsule,Gelule,Misc,N/A,,
94ecbbb3-71b7-407b-bac4-3279abbf1b69,,Syrup,Sirop,Syrup,Sirop,Misc,N/A,,
32b26cbd-818c-453c-8649-1cdc62e50d41,,Lotion,Lotion,Lotion,Lotion,Misc,N/A,,
716bb258-188b-4eb9-95f7-e9ee2536c121,,Spray,Vaporisateur,Spray,Vaporisateur,Misc,N/A,,
44fc6700-a545-419e-a6b3-b882b6fc455c,,Pomade,Pommade,Pomade,Pommade,Misc,N/A,,
7c46524c-a14f-43b6-b4b7-792cee31d8d5,,Drops,Gouttes,Drops,Gouttes,Misc,N/A,,
ee68c384-e3d3-493b-937d-048ff58fb134,,Suppository,Suppositoire,Suppository,Suppositoire,Misc,N/A,,
89ab17f8-6545-4b3d-bf6a-ce5c1553ff89,,Sublingual,Sublingual,Sublingual,Sublingual,Misc,N/A,,
4d6a51aa-1c18-4757-bc40-9d9f567e31b8,,Syrup/Suspension,Sirop/Suspuension,Syrup/Suspension,Sirop/Suspuension,Misc,N/A,,
16b302c7-715f-46cb-b328-c91afad4ccc8,,Oral Solution,Solution orale,Oral Solution,Solution orale,Misc,N/A,,
161b9a48-dce9-4454-abf7-c80af2543578,,Drinkable Suspension Gel,Suspension Buvable Gel,Drinkable Suspension Gel,Suspension Buvable Gel,Misc,N/A,,
e946eb88-c6ce-481a-8f76-a979f684fada,,Pessary(ies),Ovule(s),Pessary(ies),Ovule(s),Misc,N/A,,
4f2360b0-19f0-4552-969a-cc9198db7af7,,Oil,Huile,Oil,Huile,Misc,N/A,,
6930bab0-e98b-4394-b149-db4c1c924528,,Paste,Pate,Paste,Pate,Misc,N/A,,
21a24b68-083e-4227-93d4-9faa02b5da7b,,Granules,Granules,Granules,Granules,Misc,N/A,,
