uuid,Void/Retire,Same as mappings,Fully specified name:en,Fully specified name:fr,Short name:en,Short name:fr,Description:en,Description:fr,Data class,Data type,Complex data handler,Answers,Members,Allow decimals,Units,Normal low,Normal high,Absolute low,Absolute high,_version:1,_order:1100
89e9cd9c-be64-491a-a96c-1201f4a74b0b,,CIEL:152305,Confirmed Pregnancy,Grossesse confirmée,Confirmed Pregnancy,Grossesse confirmée,,,Misc,Coded,,bf885a9d-9f98-4990-8c20-ac4ace816bfe;2120763c-6c49-4133-b532-1e931ab4858a,,,,,,,,,
a7ad184c-b79a-476d-9ba2-ef980375da28,,CIEL:165387,Number of Fetuses,Nombre de fœtus,Number of Fetuses,Nombre de fœtus,,,Misc,Numeric,,,,,,,,,,,
c1e61ae3-4de8-4fe1-9b7a-8c1ae56d1631,,,Number of Placenta,Nombre de placenta,Number of Placenta,Nombre de placenta,,,Misc,Numeric,,,,,,,,,,,
19aa76a5-7b92-47f9-91c1-581b20e9c2a0,,,Arms,Bras,Arms,Bras,,,Misc,Coded,,Normal;Anormal;Non vu,,,,,,,,,
bdd6b795-8283-4c87-b3d4-4c7b74110e93,,,Legs,Jambes,Legs,Jambes,,,Misc,Coded,,Normal;Anormal;Non vu,,,,,,,,,
8a0fcd33-1cf3-4136-9173-c8874104ae06,,,Brain,Cerveau,Brain,Cerveau,,,Misc,Coded,,Normal;Anormal;Non vu,,,,,,,,,
24b631fa-3c4a-4e3b-bacf-c3c5d0405cc9,,,Heart,Cœur,Heart,Cœur,,,Misc,Coded,,Normal;Anormal;Non vu,,,,,,,,,
8b1ce3d9-3841-427d-ab49-b92a28a6416e,,,Lungs,Poumons,Lungs,Poumons,,,Misc,Coded,,Normal;Anormal;Non vu,,,,,,,,,
dc5154f9-30ba-4018-84b0-01306c2244f8,,,Kidneys,Reins,Kidneys,Reins,,,Misc,Coded,,Normal;Anormal;Non vu,,,,,,,,,
9f0d5af7-bd0a-41b7-8281-e42dfe0d4248,,,Genitals,Organes génitaux,Genitals,Organes génitaux,,,Misc,Coded,,Normal;Anormal;Non vu,,,,,,,,,
