uuid,Void/Retire,Fully specified name:en,Description:en,Data class,Data type,Answers,Members,Same as mappings,Short name:en,Fully specified name:fr,Short name:fr,Absolute high,Critical high,Normal high,Absolue low,Critical low,Normal low,Units,Display precision,Allow decimals,Complex data handler
2713015a-b726-404a-8aef-1ad11809e24d,,MSPP - Other causes of emergencies,,ConvSet,N/A,,"Saignements uterins anormaux (N93.9); Hypoglycemie (E16.2); Coma hypoglycemique non diabetique (E15); Diabete de type 1 (E10); Diabete de type 2 (E11)",,,MSPP - Autres causes d'urgences,,,,,,,,,,,
fbdf5eb7-5a01-4768-bf82-659a3ee49483,,MSPP - Traumatic injuries,,ConvSet,N/A,,"Contusion (T14.0); Plaie ouverte (T14.1)",,,MSPP - Lésions traumatiques,,,,,,,,,,,
e9b48473-754f-4935-84eb-c5d9f7fa887b,,MSPP - Respiratory,,ConvSet,N/A,,Etat de mal asthmatique (J46),,,MSPP - Respiratoires,,,,,,,,,,,
0cf2f327-af7c-443c-8e14-258621a6118b,,MSPP - Urinary,,ConvSet,N/A,,"Pyelonephrite aigue (N10); Lithiase renale (N20.0); Retention aigue d’urine (R33)",,,MSPP - Urinaires,,,,,,,,,,,
c8f474d4-b339-400d-86a6-9099b268a280,,MSPP - Osteoarticular,,ConvSet,N/A,,"Luxation de l'epaule (S43.0); Entorse (T14.3)",,,MSPP - Ostéo-Articulaire,,,,,,,,,,,
4d1a89f4-1084-46f3-b0bb-96b1a908ac53,,MSPP - Cardiovascular,,ConvSet,N/A,,"Syndrome thoracique aigu (D57.0); Anaphylaxie (T78.2); Angioedeme allergique ou oedeme de Quincke (T78.3); Arret cardiaque (I46.9); Choc cardiogenique (R57.0); Accident vasculaire cerebral (I64); Epistaxis (R04.0); Hemoptysie (R04.2); Crise hypertensive (I16.9); Choc hypovolemique (R57.1); Oedeme pulmonaire (J81); Choc septique (R57.2); Choc traumatique (T79.4)",,,MSPP - Cardio-vasculaires,,,,,,,,,,,
6dce7ae9-c744-464c-823a-50c6334ace83,,MSPP - Digestive,,ConvSet,N/A,,"Appendicite aigue (K35); Peritonite aigue (K65.0); Cholecystite (K81.9); Gastrite (K29.7); Ingestion de produits caustiques (X49); Occlusions intestinales (K56.6)",,,MSPP - Digestives,,,,,,,,,,,
1e4555e4-8dd7-47ff-8a16-24d823369a04,,MSPP - Road accidents,,ConvSet,N/A,,"Accident de la voie publique - Moto; Accident de la voie publique - Autre; Accident de la voie publique - Auto",,,MSPP - Accidents de la route,,,,,,,,,,,
e184d121-a2a7-42a6-bb71-e0ad2aafb058,,MSPP - Obstetrics,,ConvSet,N/A,,"Hemorragie antepartum (O46); Avortement provoque complet (O04.9); Avortement spontane complet (O03.9); Hemorragie du debut de la grossesse, sans precision (O20.9); Avortement legal provoque incomplet (O04.4); Avortement spontane incomplet (O03.4); Mort foetale in utero (P96.9); Preeclampsie moderee (O14.0); Hemorragie du post partum (O72); Pre-eclampsie severe (O14.1); Menace d'avortement (O20.0); Menace d'accouchement premature (O60.0)",,,MSPP - Obstétricales,,,,,,,,,,,
3438c279-eb93-4473-88fa-dbd3cb194a7b,,MSPP - Medical and surgical emergencies,,ConvSet,N/A,,"MSPP - Cardio-vasculaires; MSPP - Digestives; MSPP - Obstétricales; MSPP - Ostéo-Articulaire; MSPP - Respiratoires; MSPP - Lésions traumatiques; MSPP - Urinaires",,,MSPP - Urgences médico chirurgicales,,,,,,,,,,,
