Uuid,Void/Retire,Same as mappings,Fully specified name:en,Fully specified name:fr,Short name:en,Short name:fr,Description:en,Description:fr,Data class,Data type,Complex data handler,Answers,Members,Allow decimals,Units,Normal low,Normal high,Absolute low,Absolute high,_version:1,_order:1500
18e738c6-a8b9-4f42-a87f-a2d7f291aca3,,,Examination,Examen,Examination,Examen,,,Misc,Coded,,Normal;Anormal,,,,,,,,,
367a7caa-60d4-4a59-b5e1-a7fc5f18e2a8,,,General Examination,Examen général,General Examination,Examen général,,,Misc,Coded,,Normal;Anormal,,,,,,,,,
dab496f6-35f7-44e5-be44-b920f9dba5cc,,,General Examination Details,Détails de l'examen général,General Examination Details,Détails de l'examen général,,,Misc,Text,,,,,,,,,,,
2c5a7263-45c1-44ea-bb0c-70f26cb8259a,,,Eyes/Nose/Throat/Ear Examination,Examen yeux/nez/gorge/oreille,Eyes/Nose/Throat/Ear Examination,Examen yeux/nez/gorge/oreille,,,Misc,Coded,,Normal;Anormal,,,,,,,,,
01ce1ee3-4579-4c53-8d39-6bd399e69e30,,,Eyes/Nose/Throat/Ear Examination Details,Détails de l'examen yeux/nez/gorge/oreille,Eyes/Nose/Throat/Ear Examination Details,Détails de l'examen yeux/nez/gorge/oreille,,,Misc,Text,,,,,,,,,,,
b4f8f5fb-4fc6-46e2-8bf4-92a965592b40,,,Cardiovascular Examination,Examen cardiovasculaire,Cardiovascular Examination,Examen cardiovasculaire,,,Misc,Coded,,Normal;Anormal,,,,,,,,,
9cd85ffb-591b-414f-b203-ade7133b4b30,,,Cardiovascular Examination Details,Détails de l'examen cardiovasculaire,Cardiovascular Examination Details,Détails de l'examen cardiovasculaire,,,Misc,Text,,,,,,,,,,,
f1d833b9-b0f3-4cae-83bc-fcd2ecfae7b5,,,Respiratory Examination,Examen respiratoire,Respiratory Examination,Examen respiratoire,,,Misc,Coded,,Normal;Anormal,,,,,,,,,
081f69af-b5ca-4791-80b6-1546dd7fe476,,,Respiratory Examination Details,Détails de l'examen respiratoire,Respiratory Examination Details,Détails de l'examen respiratoire,,,Misc,Text,,,,,,,,,,,
2254bb23-b287-4147-a922-c7c2dc88e11c,,,Gastrointestinal Examination,Examen gastrointestinal,Gastrointestinal Examination,Examen gastrointestinal,,,Misc,Coded,,Normal;Anormal,,,,,,,,,
6898fefc-b2c0-45bd-8f81-728837cb119a,,,Gastrointestinal Examination Details,Détails de l'examen gastrointestinal,Gastrointestinal Examination Details,Détails de l'examen gastrointestinal,,,Misc,Text,,,,,,,,,,,
bd618369-92ee-40f2-929c-f01b8aaebad7,,,Genitourinary Examination,Examen genitourinaire,Genitourinary Examination,Examen genitourinaire,,,Misc,Coded,,Normal;Anormal,,,,,,,,,
89c89cbc-b3ed-4120-8743-fb51aa4bcf25,,,Genitourinary Examination Details,Détails de l'examen genitourinaire,Genitourinary Examination Details,Détails de l'examen genitourinaire,,,Misc,Text,,,,,,,,,,,
1fca8183-96c5-457a-9afe-21c9601349bd,,,Musculoskeletal Examination,Examen musculosquelettique,Musculoskeletal Examination,Examen musculosquelettique,,,Misc,Coded,,Normal;Anormal,,,,,,,,,
92cbeeaf-2e2b-423d-92ed-b84fe9075690,,,Musculoskeletal Examination Details,Détails de l'examen musculosquelettique,Musculoskeletal Examination Details,Détails de l'examen musculosquelettique,,,Misc,Text,,,,,,,,,,,
4e85bdbe-b683-4a35-b886-af62b973b2f4,,,Neurological Examination,Examen neurologique,Neurological Examination,Examen neurologique,,,Misc,Coded,,Normal;Anormal,,,,,,,,,
004aa65f-72b5-4305-8bc8-7ad7ea7cf406,,,Neurological Examination Details,Détails de l'examen neurologique,Neurological Examination Details,Détails de l'examen neurologique,,,Misc,Text,,,,,,,,,,,
df5187e8-ae7e-49cd-9810-c945683e6df8,,,Endocrinological Examination,Examen endocrinologique,Endocrinological Examination,Examen endocrinologique,,,Misc,Coded,,Normal;Anormal,,,,,,,,,
63394e99-953f-4ffc-97db-252b32b3b514,,,Endocrinological Examination Details,Détails de l'examen endocrinologique,Endocrinological Examination Details,Détails de l'examen endocrinologique,,,Misc,Text,,,,,,,,,,,
323cfac9-f4c0-4381-b43c-bf2ecf282ce1,,,Skin Examination,Examen tégumentaire,Skin Examination,Examen tégumentaire,,,Misc,Coded,,Normal;Anormal,,,,,,,,,
e8193958-0ea9-46be-8427-a9ab7da8a772,,,Skin Examination Details,Détails de l'examen tégumentaire,Skin Examination Details,Détails de l'examen tégumentaire,,,Misc,Text,,,,,,,,,,,
