Uuid,Void/Retire,Same as mappings,Fully specified name:en,Fully specified name:fr,Short name:en,Short name:fr,Description:en,Description:fr,Data class,Data type,Complex data handler,Answers,Members,Allow decimals,Units,Normal low,Normal high,Absolute low,Absolute high,_version:1,_order:1100
e3e8b7e9-8bd5-4c5f-846d-84bf33896e1e,,,AIC,AIC,AIC,AIC,,,Misc,N/A,,,,,,,,,,,
362eb578-d7ed-417f-b55e-e42342a5439a,,,INASSA,INASSA,INASSA,INASSA,,,Misc,N/A,,,,,,,,,,,
a782fa55-3128-42d7-ae5e-8175dc6adf17,,,CAH,CAH,CAH,CAH,,,Misc,N/A,,,,,,,,,,,
b7d3bb27-b0b1-43ed-a2f9-35dc80b5d787,,,CONAM,CONAM,CONAM,CONAM,,,Misc,N/A,,,,,,,,,,,
5fd6428e-ba96-48af-b0c9-f071d8daeb5f,,,OFATMA,OFATMA,OFATMA,OFATMA,,,Misc,N/A,,,,,,,,,,,
41a5630e-d0e9-4743-bd49-3cc7ed97809c,,,SOGE Assurance,SOGE Assurance,SOGE Assurance,SOGE Assurance,,,Misc,N/A,,,,,,,,,,,
8e2448f9-61c0-4dd6-a393-b6ff266a5067,,,UniAssurances,UniAssurances,UniAssurances,UniAssurances,,,Misc,N/A,,,,,,,,,,,
2b6abeeb-201d-49b5-9e00-7a2590f90cbd,,,GMC Henner,GMC Henner,GMC Henner,GMC Henner,,,Misc,N/A,,,,,,,,,,,
9a54bfc0-31af-463d-b4ab-375c97e201ae,,,CIGNA (Vanbreda),CIGNA (Vanbreda),CIGNA (Vanbreda),CIGNA (Vanbreda),,,Misc,N/A,,,,,,,,,,,
b7003acb-fca3-4a5b-bad9-62514116d764,,,Insurance Company,Compagnie d'assurance,Insurance Company,Compagnie d'assurance,,,Misc,Coded,,AIC; INASSA; CAH; CONAM; OFATMA; SOGE Assurance; UniAssurances; GMC Henner; CIGNA (Vanbreda); Autre; Aucun,,,,,,,,,
