uuid,Void/Retire,Same as mappings,Fully specified name:en,Fully specified name:fr,Short name:en,Short name:fr,Description:en,Description:fr,Data class,Data type,Complex data handler,Answers,Members,Allow decimals,Units,Normal low,Normal high,Absolute low,Absolute high,_version:1,_order:1400
edaef9f4-2b5b-4b71-9019-74f1d40ad4d7,,CIEL:460,Oedema,Œdème,Oedema,Œdème,,,Misc,N/A,,,,,,,,,,,
1503f027-2693-4674-b658-de41d5df60e4,,,Weight-for-height<-3SD/BMI<16,PT <-3ET (IMC <16),Weight-for-height<-3SD/BMI<16,PT <-3ET (IMC <16),,,Misc,N/A,,,,,,,,,,,
8dfc3ec9-771a-42b6-ad45-aa0ac15b660c,,,MUAC<115mm,PB<115mm,MUAC<115mm,PB<115mm,,,Misc,N/A,,,,,,,,,,,
6a7ea608-0546-40f1-92d2-cd020e980414,,CIEL:1655,Admission Criteria,Critère d'admission,Admission Criteria,Critère d'admission,,,Misc,Coded,,Œdème;PT <-3ET (IMC <16);PB<115mm,,,,,,,,,
a2224476-1827-4270-9ace-c8fd7898fd21,,,Readmission,Réadmission,Readmission,Réadmission,,,Misc,Coded,,bf885a9d-9f98-4990-8c20-ac4ace816bfe;2120763c-6c49-4133-b532-1e931ab4858a,,,,,,,,,
fc1f3f86-9332-4714-a4f4-ce88c173a5c2,,CIEL:163102,Weight Goal,Objectif de poids,Weight Goal,Objectif de poids,,,Misc,Numeric,,,,TRUE,Kg,,,,,,
068dad25-16ff-4468-8f49-fa1666d493bf,,CIEL:164494,Grade of edema,Présence d'œdèmes,Grade of edema,Présence d'œdèmes,,,Misc,Coded,,Zero;Un plus;Deux plus,,,,,,,,,
303b3a29-e1da-4a06-892a-648c43399316,,CIEL:142412,Diarrhea (> 3 watery stools),Diarrhéee (>3 selles liquides),Diarrhea (> 3 watery stools),Diarrhéee (>3 selles liquides),,,Misc,Coded,,bf885a9d-9f98-4990-8c20-ac4ace816bfe;2120763c-6c49-4133-b532-1e931ab4858a,,,,,,,,,
d6a5068b-91cd-4b6d-86c6-a14fc493a7e7,,CIEL:137593,Frequent urination,Urines fréquentes,Frequent urination,Urines fréquentes,,,Misc,Coded,,bf885a9d-9f98-4990-8c20-ac4ace816bfe;2120763c-6c49-4133-b532-1e931ab4858a,,,,,,,,,
4f73dc25-e114-4666-8559-e3e2528bac7a,,CIEL:164484,Thirst,Soif,Thirst,Soif,,,Misc,Coded,,bf885a9d-9f98-4990-8c20-ac4ace816bfe;2120763c-6c49-4133-b532-1e931ab4858a,,,,,,,,,
f9270e85-db3f-4e64-8f2a-be3b13863708,,,Malnutrition Signs and symptoms,Symptômes de malnutrition,Malnutrition Signs and symptoms,Symptômes de malnutrition,,,Misc,Coded,,Toux (R05);Fièvre;Diarrhéee (>3 selles liquides);Vomissement (R11);Urines fréquentes;Soif,,,,,,,,,
