Uuid,Void/Retire,Same as mappings,Fully specified name:en,Fully specified name:fr,Short name:en,Short name:fr,Description:en,Description:fr,Data class,Data type,Complex data handler,Answers,Members,Allow decimals,Units,Normal low,Normal high,Absolute low,Absolute high,_version:1,_order:800
b00f2eca-8936-43d4-a744-5e79b628c22d,,,Lab Manager Notes,Lab Manager Notes,Lab Manager Notes,Lab Manager Notes,,,Misc,N/A,,,,,,,,,,,
ee70fb08-3617-4a56-bc40-60cdc4c6480b,,,Accession Uuid,Accession Uuid,Accession Uuid,Accession Uuid,,,Misc,N/A,,,,,,,,,,,
5eda049a-2f08-4115-b615-dedaf9568a77,,,LAB_MINNORMAL,LAB_MINNORMAL,LAB_MINNORMAL,LAB_MINNORMAL,,,Finding,Numeric,,,,Yes,,,,,,,
9626bcf2-7ff8-45ad-b97d-a87676bed894,,,LAB_MAXNORMAL,LAB_MAXNORMAL,LAB_MAXNORMAL,LAB_MAXNORMAL,,,Finding,Numeric,,,,Yes,,,,,,,
9b2205e2-ff27-4a3b-a1c8-aed2c4923e90,,,LAB_RESULT,LAB_RESULT,LAB_RESULT,LAB_RESULT,,,Finding,Text,,,,,,,,,,,
33546207-45c6-4b4f-b954-91cb626337dc,,,LAB_NOTES,LAB_NOTES,LAB_NOTES,LAB_NOTES,,,Finding,Text,,,,,,,,,,,
3b352fab-8bfe-4ef8-b6cb-2f09deb91262,,,LAB_ABNORMAL,LAB_ABNORMAL,LAB_ABNORMAL,LAB_ABNORMAL,,,Finding,Boolean,,,,,,,,,,,
e607e9fc-5afe-40bd-85d7-1cd233f0bee1,,,REFERRED_OUT,REFERRED_OUT,REFERRED_OUT,REFERRED_OUT,,,Finding,Boolean,,,,,,,,,,,
c22cba3b-9f0b-48e7-ad5b-2cc4631a8d0e,,,LAB_REPORT,LAB_REPORT,LAB_REPORT,LAB_REPORT,,,URL,Text,,,,,,,,,,,
412bdd72-47b2-4b1e-8941-1ccff18f0dc0,,,LABRESULTS_CONCEPT,LABRESULTS_CONCEPT,LABRESULTS_CONCEPT,LABRESULTS_CONCEPT,,,Finding,N/A,,,LAB_MINNORMAL;LAB_MAXNORMAL;LAB_RESULT;LAB_NOTES;LAB_ABNORMAL;REFERRED_OUT;LAB_REPORT,,,,,,,,
