Uuid,Void/Retire,Same as mappings,Fully specified name:en,Fully specified name:fr,Short name:en,Short name:fr,Description:en,Description:fr,Data class,Data type,Complex data handler,Answers,Members,Allow decimals,Units,Normal low,Normal high,Absolute low,Absolute high,_version:1,_order:1200
b77fef75-9969-4634-ba1d-6cc7b85441c5,,CIEL:116688,Abdominal Lump,Masse abdominale,Abdominal Lump,Masse abdominale,,,Misc,N/A,,,,,,,,,,,
075cd9ec-837a-4bd6-9a36-c9e8b5c6cf16,,CIEL:135595,Anorexia,Anorexie,Anorexia,Anorexie,,,Misc,N/A,,,,,,,,,,,
1607769b-1096-4399-8c22-981a8b4742e8,,,Sinus Congestion,Congestions des sinus,Sinus Congestion,Congestions des sinus,,,Misc,N/A,,,,,,,,,,,
cb508864-ddad-44ec-b37a-22c501a6dc2d,,CIEL:121540,Anxiety disorder,Trouble anxieux,Anxiety disorder,Trouble anxieux,,,Misc,N/A,,,,,,,,,,,
f20fc353-050c-4835-9edd-d4b43e1cacbb,,CIEL:147237,Rectal bleeding,Saignement rectal,Rectal bleeding,Saignement rectal,,,Misc,N/A,,,,,,,,,,,
c513cc49-b232-4dfb-becd-cdf3ab72afd6,,CIEL:120749,Chest Pain,Douleur thoracique,Chest Pain,Douleur thoracique,,,Misc,N/A,,,,,,,,,,,
b9456fba-63b1-4c29-b3ae-67dc315dd06b,,CIEL:996,Constipation,Constipation,Constipation,Constipation,,,Misc,N/A,,,,,,,,,,,
120ff2ae-970c-4c3c-8a14-c1ff8fa2a7bf,,CIEL:143129,Infant crying excessively,Bébé pleure excessivement,Infant crying excessively,Bébé pleure excessivement,,,Misc,N/A,,,,,,,,,,,
75dc540b-209b-4a9e-bb65-0f1add915637,,CIEL:119558,Dental caries,Caries dentaires,Dental caries,Caries dentaires,,,Misc,N/A,,,,,,,,,,,
d39f6c07-bb64-4e49-b745-e2f154729b00,,CIEL:132667,Epistaxis,Épistaxis,Epistaxis,Épistaxis,,,Misc,N/A,,,,,,,,,,,
5bc20ec1-d7ba-45a8-b22a-787e90abe4c8,,CIEL:135367,Fatigue and malaise,Fatigue et malaise,Fatigue and malaise,Fatigue et malaise,,,Misc,N/A,,,,,,,,,,,
a8f90cfb-8ae5-46b1-8a44-3c778a77ba54,,CIEL:140476,Feeding problem(infant/elderly),Problème d'alimentation (nourrisson / personnes âgées),Feeding problem(infant/elderly),Problème d'alimentation (nourrisson / personnes âgées),,,Misc,N/A,,,,,,,,,,,
3689042e-e837-4009-81e4-e706a62c809d,,CIEL:122863,Wheezing,Respiration sifflante,Wheezing,Respiration sifflante,,,Misc,N/A,,,,,,,,,,,
6de056a9-c84e-478a-8a6e-5fc38e2b71d7,,CIEL:122936,Walking difficulty,Difficulté à marcher,Walking difficulty,Difficulté à marcher,,,Misc,N/A,,,,,,,,,,,
8ff7de12-6b67-4073-ac41-c37b6ddac23c,,CIEL:111725,Ulcer of lower limbs,Ulcère des membres inférieurs,Ulcer of lower limbs,Ulcère des membres inférieurs,,,Misc,N/A,,,,,,,,,,,
dcbf1aad-7caa-4ed2-adcf-3be8d5293fcb,,CIEL:131028,Throat pain,Mal de gorge,Throat pain,Mal de gorge,,,Misc,N/A,,,,,,,,,,,
6dd5cada-b261-4f92-940a-3ff435797f61,,CIEL:140941,Excessive sweating,Transpiration excessive,Excessive sweating,Transpiration excessive,,,Misc,N/A,,,,,,,,,,,
ffe91a5c-0a90-4d2c-b5d9-58d3dd3d8503,,CIEL:110708,Stomatitis and mucositis,Stomatite et mucite,Stomatitis and mucositis,Stomatite et mucite,,,Misc,N/A,,,,,,,,,,,
b758493a-39a9-49cf-ac27-596387169d56,,,Something coming out per vaginum,Quelque chose sort par vagin,Something coming out per vaginum,Quelque chose sort par vagin,,,Misc,N/A,,,,,,,,,,,
08f1b438-aca7-416c-ae25-b7d8b707ef1a,,CIEL:141600,Shortness of breath,Essoufflement,Shortness of breath,Essoufflement,,,Misc,N/A,,,,,,,,,,,
839f61ad-37b4-485f-89a5-d5f8fe0d08ed,,CIEL:161582,Simple febrile seizures,Crises fébriles simples,Simple febrile seizures,Crises fébriles simples,,,Misc,N/A,,,,,,,,,,,
d33d6bf9-163a-48c1-8dab-cb4968ed3c62,,CIEL:206,Seizures/ convulsions,Crises / convulsions,Seizures/ convulsions,Crises / convulsions,,,Misc,N/A,,,,,,,,,,,
d9e02dbf-e05b-44a4-98ef-bc368f166fdd,,,Something coming out of anus,Quelque chose sortant de l'anus,Something coming out of anus,Quelque chose sortant de l'anus,,,Misc,N/A,,,,,,,,,,,
