Uuid,Void/Retire,Same as mappings,Fully specified name:en,Fully specified name:fr,Short name:en,Short name:fr,Description:en,Description:km,Data class,Data type,Complex data handler,Answers,Members,Allow decimals,Units,Normal low,Normal high,Absolute low,Absolute high,_version:1,_order:1100
f94c7e31-8d35-4fcf-9564-f06bceb39d4d,,,Road accidents,Accidents de la route,Road accidents,Accidents de la route,,,Misc,N/A,,,,,,,,,,,
c2e25990-13c2-41db-b91c-a72235614721,,,Asphyxia,Asphyxie,Asphyxia,Asphyxie,,,Misc,N/A,,,,,,,,,,,
ac2909d0-ba32-4291-b1a8-01e7dc1f5029,,,Other trauma,Autres traumatismes,Other trauma,Autres traumatismes,,,Misc,N/A,,,,,,,,,,,
5bddb65e-238a-4b94-a6bc-4655838e2c0e,,,Pregnancy or childbirth complications,Complications à la grossesse ou à l’accouchement,Pregnancy or childbirth complications,Complications à la grossesse ou à l’accouchement,,,Misc,N/A,,,,,,,,,,,
93f085f3-a932-4784-a4a8-98448d8bc46a,,,HIV-related complications,Complications liées au VIH,HIV-related complications,Complications liées au VIH,,,Misc,N/A,,,,,,,,,,,
6a52ba5b-1e48-4278-b9a3-422e7c58ce58,,,Post-operative complications,Complications post-opératoires,Post-operative complications,Complications post-opératoires,,,Misc,N/A,,,,,,,,,,,
9f407e5c-5455-4168-ab4e-c02c146dce38,,,HTA,HTA,HTA,HTA,,,Misc,N/A,,,,,,,,,,,
e4e090ef-5b00-4afc-85ca-7b9fc8190ce0,,,Neonatal pathologies,Pathologies néonatales,Neonatal pathologies,Pathologies néonatales,,,Misc,N/A,,,,,,,,,,,
55fadeb8-0e31-49a9-93cf-dce6514a3ea6,,,Cardiovascular disorder,Problèmes cardiovasculaires,Problèmes cardiovasculaires,Problèmes cardiovasculaires,,,Misc,N/A,,,,,,,,,,,
c15139c6-bd0c-4335-a203-6b54cd10b00f,,,Gastrointestinal disorder,Problèmes gastro-intestinaux,Gastrointestinal disorder,Problèmes gastro-intestinaux,,,Misc,N/A,,,,,,,,,,,
4434134a-b09e-4177-8c9e-6ac61d836015,,,Neurological disorder,Problèmes neurologiques,Neurological disorder,Problèmes neurologiques,,,Misc,N/A,,,,,,,,,,,
0819e2d9-4ce4-426f-b151-100c5cddf560,,,Obstetrics disorder,Problèmes obstétriques,Obstetrics disorder,Problèmes obstétriques,,,Misc,N/A,,,,,,,,,,,
46e62928-7c59-4eb7-a450-7bf5eab1a3d7,,,Gynecological disorder,Problèmes gynécologiques,Gynecological disorder,Problèmes gynécologiques,,,Misc,N/A,,,,,,,,,,,
7869814e-c6f5-4131-97c4-af0912c499fd,,,Oncology,Oncologie,Oncology,Oncologie,,,Misc,N/A,,,,,,,,,,,
7e96af55-e5f7-46f7-8024-2ce9cea3022f,,,Orthopedics disorder,Problèmes orthopédiques,Orthopedics disorder,Problèmes orthopédiques,,,Misc,N/A,,,,,,,,,,,
b3c1d5d0-1a77-416e-98ac-af6fe89b603b,,,Genitourinary disorder,Problèmes génito-urinaires,Genitourinary disorder,Problèmes génito-urinaires,,,Misc,N/A,,,,,,,,,,,
540533db-182f-47b9-b912-f961decbd253,,,Hematological disorder,Problèmes hématologiques,Hematological disorder,Problèmes hématologiques,,,Misc,N/A,,,,,,,,,,,
7cc9702d-f367-4367-85f9-72ac4b406c23,,,Endocrinological disorder,Problèmes endocrinologiques,Endocrinological disorder,Problèmes endocrinologiques,,,Misc,N/A,,,,,,,,,,,
f7169739-7134-4050-8b69-6f55448693f6,,,Respiratory disorder,Problèmes respiratoires,Respiratory disorder,Problèmes respiratoires,,,Misc,N/A,,,,,,,,,,,
99ba1b00-280c-470a-8ba0-4f8ef84b10df,,,Trauma at birth,Traumatisme à la naissance,Trauma at birth,Traumatisme à la naissance,,,Misc,N/A,,,,,,,,,,,
30e1c728-f008-4dd1-ab34-2c34a00fd3a5,,,Reason For Death,Cause du deces,Reason For Death,Cause du deces,,,Misc,N/A,,,Accidents de la route;Accident vasculaire cerebral (I64);Asphyxie;Autres traumatismes;Autre;Aucun;Complications à la grossesse ou à l’accouchement;Complications liées au VIH; Complications post-opératoires;HTA;Malnutrition (E46);Pathologies néonatales;Problèmes cardiovasculaires;Problèmes gastro-intestinaux;Problèmes neurologiques;Problèmes obstétriques;Problèmes gynécologiques;Oncologie;Problèmes orthopédiques;Problèmes génito-urinaires;Problèmes hématologiques;Problèmes endocrinologiques;Problèmes respiratoires;Traumatisme à la naissance;Tuberculose (A16.9),,,,,,,,
