Uuid,Void/Retire,Same as mappings,Fully specified name:en,Fully specified name:fr,Short name:en,Short name:fr,Description:en,Description:fr,Data class,Data type,Complex data handler,Answers,Members,Allow decimals,Units,Normal low,Normal high,Absolute low,Absolute high,_version:1,_order:1100
050ecb0e-fcc7-4778-94ee-3258ddecbc60,,CIEL:5615,Single,Célibataire,Single,Célibataire,,,Misc,N/A,,,,,,,,,,,
7dd0e065-818b-43c7-8344-9064accf97f5,,CIEL:5555,Married,Marrié,Married,Marrié,,,Misc,N/A,,,,,,,,,,,
c064ecf5-a6ea-48ce-807d-a8e554c13f8d,,CIEL:1060,Living with Partner,En ménage,Living with Partner,En ménage,,,Misc,N/A,,,,,,,,,,,
176a6391-e203-4d7e-b0e1-9baf63602a91,,CIEL:1056,Separated,Séparé,Separated,Séparé,,,Misc,N/A,,,,,,,,,,,
7f980dba-41c2-42a5-9ddc-ccffdc881a38,,CIEL:1058,Divorced,Divorcé,Divorced,Divorcé,,,Misc,N/A,,,,,,,,,,,
73515be9-3f0e-4844-b28b-12967968e477,,CIEL:1059,Widowed,Veuf(ve),Widowed,Veuf(ve),,,Misc,N/A,,,,,,,,,,,
4e7a07f2-345f-419c-8d30-b060d9b8681a,,CIEL:163466,Social Status,Situation maritale,Social Status,Situation maritale,,,Misc,Coded,,Célibataire;Marrié;En ménage;Séparé;Divorcé;Veuf(ve),,,,,,,,,
c0382185-dde5-4b1f-98e0-f843df4a4dfa,,CIEL:160295,Housework,Au foyer,Housework,Au foyer,,,Misc,N/A,,,,,,,,,,,
52c210e8-1ae3-4a68-bd32-54650598e76e,,CIEL:165201,Factory worker,Ouvrier,Factory worker,Ouvrier,,,Misc,N/A,,,,,,,,,,,
1a3df050-8460-4c33-ac0b-f35d3079b261,,,Brewer,Brasseur,Brewer,Brasseur,,,Misc,N/A,,,,,,,,,,,
e50822cb-0de3-4321-8fde-8e36335c1106,,CIEL:162946,Teacher,Enseignant,Teacher,Enseignant,,,Misc,N/A,,,,,,,,,,,
52f49f3f-8c0b-488f-826f-b6ea077e885d,,CIEL:159461,Retired,Retraité,Retired,Retraité,,,Misc,N/A,,,,,,,,,,,
261383fb-29a4-46e3-8f1b-a7f47788d7d2,,CIEL:1538,Farmer,Fermier,Farmer,Fermier,,,Misc,N/A,,,,,,,,,,,
9d290970-08b2-4ee3-832f-b624e7483e8c,,CIEL:159677,Shop owner,Commerçant,Shop owner,Commerçant,,,Misc,N/A,,,,,,,,,,,
f60e0edc-a57b-47b6-a9b2-a5f98206bace,,CIEL:159390,Manual laborer,Travail manuel,Manual laborer,Travail manuel,,,Misc,N/A,,,,,,,,,,,
34cebbe9-915c-472f-b3f8-a06ca7035de7,,CIEL:159466,Driver,Chauffeur,Driver,Chauffeur,,,Misc,N/A,,,,,,,,,,,
f29ee258-f054-4fc8-a4a3-b921a777e1f1,,CIEL:159465,Student,Etudiant,Student,Etudiant,,,Misc,N/A,,,,,,,,,,,
d3464062-0345-4770-b7ec-22152a33f311,,CIEL:165202,Miner,Mineur,Miner,Mineur,,,Misc,N/A,,,,,,,,,,,
ad88c25f-87be-4d89-b7c9-a00498501bb5,,CIEL:123801,Unemployed,Sans emploi,Unemployed,Sans emploi,,,Misc,N/A,,,,,,,,,,,
a06b3fe5-f912-4e2d-9357-76c807a236fb,,CIEL:159675,Fruit or vegetable vendor,Vendeur de fruits et légumes,Fruit or vegetable vendor,Vendeur de fruits et légumes,,,Misc,N/A,,,,,,,,,,,
d45afda4-9bbc-426b-9dc3-d981ed67db71,,CIEL:165200,Shepherd,Berger,Shepherd,Berger,,,Misc,N/A,,,,,,,,,,,
58f1ef0c-a87d-47d0-a8dc-b4ab5591cd68,,CIEL:159674,Fisherman,Pêcheur,Fisherman,Pêcheur,,,Misc,N/A,,,,,,,,,,,
78a97f8e-2dbe-4d43-8788-11bc0941811c,,CIEL:162945,Market vendor,Vendeur au marché,Market vendor,Vendeur au marché,,,Misc,N/A,,,,,,,,,,,
b30cccc1-67a2-4ab4-918d-9cc1a58a260a,,CIEL:162944,Civil servant,Fonctionnaire,Civil servant,Fonctionnaire,,,Misc,N/A,,,,,,,,,,,
313eef83-3805-4e73-9698-6314bc8fb37c,,CIEL:5619,Health care worker,Personnel de santé,Health care worker,Personnel de santé,,,Misc,N/A,,,,,,,,,,,
ec819f30-4699-45b4-a6b0-a80ed53978f7,,,Other Occupation,Autre profession,Other Occupation,Autre profession,,,Misc,N/A,,,,,,,,,,,
d746c5e4-b810-4cfb-96ea-73c70d068977,,CIEL:1542,Occupation,Profession,Occupation,Profession,,,Misc,Coded,,Au foyer;Ouvrier;Brasseur;Enseignant;Retraité;Fermier;Commerçant;Travail manuel;Chauffeur;Etudiant;Mineur;Sans emploi;Vendeur de fruits et légumes;Berger;Pêcheur;Vendeur au marché;Fonctionnaire;Personnel de santé;Autre profession,,,,,,,,,
bf041739-892f-4744-8cb2-d60903284835,,CIEL:162930,Voodoo,Vaudoo,Voodoo,Vaudoo,,,Misc,N/A,,,,,,,,,,,
2e78f77d-18b7-4c1b-8b22-617e04ce0d5d,,CIEL:162931,Catholic,Catholique,Catholic,Catholique,,,Misc,N/A,,,,,,,,,,,
56bb7828-b3cb-4c67-b2e8-c5f55b59302b,,CIEL:162932,Baptist,Baptiste,Baptist,Baptiste,,,Misc,N/A,,,,,,,,,,,
689af12e-ef38-484f-a984-ff28d1e8794b,,CIEL:162933,Muslim,Musulman,Muslim,Musulman,,,Misc,N/A,,,,,,,,,,,
0891f4e7-f95b-4014-a908-4911d4e9e337,,CIEL:162934,Pentecostal,Pentecôtiste,Pentecostal,Pentecôtiste,,,Misc,N/A,,,,,,,,,,,
