Uuid,Void/Retire,Same as mappings,Fully specified name:en,Fully specified name:fr,Short name:en,Short name:fr,Description:en,Description:fr,Data class,Data type,Complex data handler,Answers,Members,Allow decimals,Units,Normal low,Normal high,Absolute low,Absolute high,_version:1,_order:1600
e904d309-fb5c-452c-b9b1-8daf9a3eff15,,,Loss of Appetite,Perte d'appétit,Loss of Appetite,Perte d'appétit,,,Misc,N/A,,,,,,,,,,,
4a9edbef-9ad9-40a3-a5d3-83a1674bc4df,,,General,Général,General,Général,,,Misc,Coded,,Perte d'appétit;Fièvre;Fatigue (R53);Sueurs nocturnes (R61.1);Autre,,,,,,,,,
aa314e8c-aaf2-4ae6-80c8-a9b228852f8f,,,General Set,Groupe général,General Set,Groupe général,,,ConvSet,N/A,,,Général;Autres observations,,,,,,,,
1a384669-a1fe-46bc-a7cb-4a1ed0556918,,,Discolorations,Décolorations,Discolorations,Décolorations,,,Misc,N/A,,,,,,,,,,,
bbcc605d-ee86-42eb-8a04-73648cbc9ef3,,,Lesions,Lésions,Lesions,Lésions,,,Misc,N/A,,,,,,,,,,,
8b53b799-9127-4a38-89bb-3f3d90405557,,,Tattoo,Tatouage,Tattoo,Tatouage,,,Misc,N/A,,,,,,,,,,,
db2ac1d4-6d8f-4c21-95a7-6bfd49faf42c,,,Skin,Peau,Skin,Peau,,,Misc,Coded,,Éruptions cutanées;Prurit dermatologique;Décolorations;Lésions;Tatouage;Autre,,,,,,,,,
da0abb70-c1d3-4478-ac11-b03ebcc0689f,,,Skin Set,Groupe de peau,Skin Set,Groupe de peau,,,ConvSet,N/A,,,Peau;Autres observations,,,,,,,,
d5d18115-8cf3-4b10-9110-32dec69db4f6,,,Pain,Douleur,Pain,Douleur,,,Misc,N/A,,,,,,,,,,,
53521df8-e9f3-4e42-8649-7fe11df6bab2,,,Conjuctivitis,Conjonctivite,Conjuctivitis,Conjonctivite,,,Misc,N/A,,,,,,,,,,,
26688603-992f-4171-a1d6-a5d344cdef29,,,Eye itching,Prurit oculaire,Eye itching,Prurit oculaire,,,Misc,N/A,,,,,,,,,,,
71e58402-8b2e-4fe4-91bd-e2a220c92dc0,,,Teary eyes,Larmoiement,Teary eyes,Larmoiement,,,Misc,N/A,,,,,,,,,,,
19a92519-e350-434e-ba92-1cc42d031821,,,Pallor,Pâleur,Pallor,Pâleur,,,Misc,N/A,,,,,,,,,,,
784cdb78-3b6d-447b-9eee-e29b6e4feae7,,,Deaf,Surdité,Deaf,Surdité,,,Misc,N/A,,,,,,,,,,,
e72e92ae-ca88-4a01-862b-ce3e16c25f96,,,Bleeding,Saignements,Bleeding,Saignements,,,Misc,N/A,,,,,,,,,,,
03e3c003-767a-4bcd-88cc-932ed65dbab6,,,Nose Discharge,Sécrétions nasales,Nose Discharge,Sécrétions nasales,,,Misc,N/A,,,,,,,,,,,
8137f84b-ca74-487a-ac3e-4c3364e97716,,,Missing,Manquante,Missing,Manquante,,,Misc,N/A,,,,,,,,,,,
87a835f5-46c7-4e81-bfd4-687fa62d1cf1,,,Loose,Branlante,Loose,Branlante,,,Misc,N/A,,,,,,,,,,,
2de43a2e-e82c-4e04-a276-17dd4db40c54,,,Teeth,Dents,Teeth,Dents,,,Misc,Coded,,Manquante;Branlante,,,,,,,,,
fd55467a-6453-4fc1-a9a7-0ff78e9baa4e,,,Tongue,Langue,Tongue,Langue,,,Misc,N/A,,,,,,,,,,,
08887d3e-78fe-4dff-84e4-3eea4287df02,,,Pallet,Palais,Pallet,Palais,,,Misc,N/A,,,,,,,,,,,
bcda6677-244d-466c-9c33-98c02855b990,,,Mouth and Throat Deformation,Déformation de la Bouche et gorge,Mouth and Throat Deformation,Déformation de la Bouche et gorge,,,Misc,Coded,,Langue;Palais,,,,,,,,,
55887656-fb44-4fcc-a9bc-4d73101ed31c,,,Mouth and Throat,Bouche et gorge,Mouth and Throat,Bouche et gorge,,,Misc,Coded,,Douleur;Dysphagie (R13);Autre,,,,,,,,,
1a705716-d86c-427f-9bb4-6487fe748988,,,Mouth and Throat Set,Groupe bouche et gorge,Mouth and Throat Set,Groupe bouche et gorge,,,ConvSet,N/A,,,Dents;Déformation de la Bouche et gorge;Bouche et gorge;Autres observations,,,,,,,,
c1eef44a-42ae-41a1-a78f-26a354c59334,,,Eyes,Yeux,Eyes,Yeux,,,Misc,Coded,,Trouble visuel;Douleur;Conjonctivite;Prurit oculaire;Écoulement des yeux;Larmoiement;Pâleur;Autre,,,,,,,,,
bb9bf90d-1fad-4240-a79d-dbd6fcc1e038,,,Eyes Set,Groupe yeux,Eyes Set,Groupe yeux,,,ConvSet,N/A,,,Yeux;Autres observations,,,,,,,,
4463d07e-fa84-4f31-8bb1-afc1d04a4501,,,Ears,Oreilles,Ears,Oreilles,,,Misc,Coded,,Acouphènes;Vertiges;Surdité;Écoulement;Douleur;Autre,,,,,,,,,
85bd41e4-5982-4ffe-b0c3-92fcc6c7476b,,,Ears Set,Groupe oreilles,Ears Set,Groupe oreilles,,,ConvSet,N/A,,,Oreilles;Autres observations,,,,,,,,
