Uuid,Void/Retire,Same as mappings,Fully specified name:en,Short name:en,Fully specified name:fr,Short name:fr,Data class,Data type,Complex data handler,Answers,Members,Allow decimals,Units,Absolute low,Normal low,Normal high,_version:1,_order:1000
9199a4c6-b15f-482c-aa0e-c839bd0cf535,,CIEL:886,BCG Vaccination,BCG,Vaccination BCG,BCG,Procedure,N/A,,,,,,,,,,
8fdcd0a6-8bcf-4fad-b780-994bdeabaa9c,,,Covid 19 Vaccination,Covid 19,Vaccination Covid 19,Covid 19,Procedure,N/A,,,,,,,,,,
a5bda1d3-281e-4421-bd73-6d649381a9a5,,CIEL:783,Oral Polio Vaccination,OPV (Oral Polio Vaccination),Vaccination polio oral,VPO (Vaccination polio oral),Procedure,N/A,,,,,,,,,,
5d7c570a-f1f8-4e80-8804-e8d8e94ebd80,,CIEL:1422,Polio Vaccine-Inactivated Vaccination,IPV (Polio Vaccine-Inactivated Vaccination),Vaccination antipoliomyélitique inactivé,VPI (Vaccination antipoliomyélitique inactivé),Procedure,N/A,,,,,,,,,,
5ba4e40a-28f9-4c21-b589-add0c9cdec78,,CIEL:83531,Rotavirus Vaccination,RV (Rotavirus Vaccination),Vaccination rotavirus,Rota (Vaccination rotavirus),Procedure,N/A,,,,,,,,,,
19e9c51d-e0de-4b2c-8eb0-598dbd11187c,,CIEL:1685,Pentavalent Vaccination,Penta (Pentavalent Vaccination),Pentavalent vaccination,Penta (Pentavalent Vaccination),Procedure,N/A,,,,,,,,,,
67b20a95-eaa4-4a54-ba8c-2e3c8aa2f327,,CIEL:82215,Pneumococcal Vaccination,PCV13 (Pneumococcal Vaccination),Vaccination pneumocoque,PCV13 (Vaccination pneumocoque),Procedure,N/A,,,,,,,,,,
ed8d4bd9-9834-49f7-8700-8b384e5fa307,,,Pneumococcal Polysaccharide Vaccination,PPSV23 (Pneumococcal Polysaccharide Vaccination),Vaccination polysaccharide antipneumococcique,PPSV23 (Vaccination polysaccharide antipneumococcique),Procedure,N/A,,,,,,,,,,
9f24e11b-24e7-4a44-917b-645a461defc3,,CIEL:781,Diphtheria Tetanus Pertusis Vaccination,DTP (Diphtheria Tetanus Pertusis Vaccination),Vaccination diphtérique tétanique coquelucheux,DTP (Vaccination diphtérique tétanique coquelucheux),Procedure,N/A,,,,,,,,,,
4a561f0d-d898-42ef-ac20-c3f48382604f,,,Diphtheria Tetanus acellular Pertusis Vaccination,DTaP (Diphtheria Tetanus acellular Pertusis Vaccination),Vaccination contre la diphtérie tétanos acellulaire contre la coqueluche,DTaP (Vaccination contre la diphtérie tétanos acellulaire contre la coqueluche),Procedure,N/A,,,,,,,,,,
