Uuid,Void/Retire,Same as mappings,Fully specified name:en,Fully specified name:fr,Short name:en,Short name:fr,Description:en,Description:km,Data class,Data type,Answers,Members,Complex data handler,Allow decimals,Units,Normal low,Normal high,Absolute low,Absolute high,_version:1,_order:1000
b2cdf526-2c27-40ec-b363-8a8176d97def,,,Uric Acid,Acide Urique,Uric Acid,Acide Urique,,,Test,Text,,,,,,,,,,,
ccbba877-1de6-4f01-8191-c86a2a139b5f,,,Albumin in blood,Albumine dans le sang,Albumin,Albumine,,,Test,Text,,,,,,,,,,,
a9caf4e2-9d08-4f17-a37d-075aaeec33e0,,,ALT (SGPT),ALT (SGPT),ALT (SGPT),ALT (SGPT),,,Test,Text,,,,,,,,,,,
d9cec232-89c8-4f05-85f8-18b2dcdd04b3,,,Amylase,Amylase,Amylase,Amylase,,,Test,Text,,,,,,,,,,,
4e4a3c4d-73bb-42e9-a4c9-a3173938e535,,,ASO (Antistreptolysine O),ASO (Antistreptolysine O),ASO (Antistreptolysine O),ASO (Antistreptolysine O),,,Test,Text,,,,,,,,,,,
633a672a-134f-485f-8ea3-30dd087fcac6,,,AST (SGOT),AST (SGOT),AST (SGOT),AST (SGOT),,,Test,Text,,,,,,,,,,,
7e9fb4ad-866e-4ad5-ae5c-1ff95e088492,,,Blood urea nitrogen,Azote de l'Urée (BUN),Blood urea nitrogen,Azote de l'Urée (BUN),,,Test,Text,,,,,,,,,,,
afa4d5ed-0f81-4c16-8061-7647f46660e9,,,Beta-Human Chorionic Gonadotropin,BHCG,BHCG,BHCG,,,Test,Numeric,,,,,,,,,,,
69193a4e-85e4-44ea-8643-51712f22a390,,,Total bilirubin,Bilirubine Totale,Total bilirubin,Bilirubine Totale,,,Test,Text,,,,,,,,,,,
4268c1ab-a6b9-49e0-a0eb-05793c10617a,,,Alkaline Phosphatase,Phosphatase Alcaline (ALKP),ALKP,ALKP,,,Test,Text,,,,,,,,,,,
b3955cad-ae3d-4916-9a4b-a97137008dcf,,,Lactic Acid Dehydrogenase,Lactic Acid Dehydrogenase,LDH,LDH,,,Test,Text,,,,,,,,,,,
896a4080-a67a-42ea-9c16-d76dd546f9b7,,,Liver Functional Tests (AST-ALT-TBil-ALKP-LDH),Bilan Hépatique (AST-ALT-TBil-ALKP-LDH),Bilan Hépatique (AST-ALT-TBil-ALKP-LDH),Liver Functional Tests (AST-ALT-TBil-ALKP-LDH),,,LabSet,N/A,,AST (SGOT);ALT (SGPT);Total bilirubin;Alkaline Phosphatase; Lactic Acid Dehydrogenase,,,,,,,,,
6ff9b4ea-4e1c-4f6b-b678-4c5912b71770,,,Cholesterol,Cholesterol,Chol,Chol,,,Test,Text,,,,,,,,,,,
da08820c-59b9-4b34-ba88-b4efcef2c388,,,Triglyceride,Triglyceride,Triglyceride,Triglyceride,,,Test,Text,,,,,,,,,,,
f2267a24-7d35-47ef-a221-71d39b948874,,,Very low-density lipoprotein cholesterol,Very low-density lipoprotein cholesterol,VLDLC,VLDLC,,,Test,Text,,,,,,,,,,,
0a673d0d-1baa-4cdd-ab95-a2ca26bc6efe,,,Low-density lipoprotein cholesterol,Low-density lipoprotein cholesterol,LDLC,LDLC,,,Test,Text,,,,,,,,,,,
3712cc03-57a8-4ea3-bd24-98f883a944ae,,,High-density lipoprotein cholesterol,High-density lipoprotein cholesterol,HDLC,HDLC,,,Test,Text,,,,,,,,,,,
6b5afe48-603e-433b-935b-bae7480c9562,,,Lipid Profile (Chol-Trig-HDLC-LDL-VLDL),Bilan Lipidique (Chol-Trig-HDLC-LDL-VLDL),Lipid Profile (Chol-Trig-HDLC-LDL-VLDL),Bilan Lipidique (Chol-Trig-HDLC-LDL-VLDL),,,LabSet,N/A,,Cholesterol;Triglyceride;Very low-density lipoprotein cholesterol;Low-density lipoprotein cholesterol;High-density lipoprotein cholesterol,,,,,,,,,
4c002480-8dd3-4a95-a37c-73acda95d696,,,Creatinine (CRSC),Creatinine (CRSC),Creatinine (CRSC),Creatinine (CRSC),,,Test,Text,,,,,,,,,,,
ca06f436-5bab-4e3d-95fb-8d142ca722e2,,,Urea,Urée,Urea,Urée,,,Test,Text,,,,,,,,,,,
8bf2d98d-4245-485f-84eb-be58a2e04915,,,Renal Functional Tests (BUN-Creat-Urée-Acide Urique),Bilan Renal (BUN-Creat-Urée-Acide Urique),Renal Functional Tests (BUN-Creat-Urée-Acide Urique),Bilan Renal (BUN-Creat-Urée-Acide Urique),,,LabSet,N/A,,Uric Acid;Blood urea nitrogen;Creatinine (CRSC);Urea,,,,,,,,,
6128dc03-bad8-44ef-9f4c-8bdd3a94ebd9,,,Triiodothyronine,T3,T3,T3,,,Test,Text,,,,,,,,,,,
d364f4e0-bcbe-4fee-8942-780748181187,,,Thyroxine,T4,T4,T4,,,Test,Text,,,,,,,,,,,
481f279f-c02a-40a9-bab5-6f008f7795ad,,,Thyroid Stimulating Hormone,TSH,TSH,TSH,,,Test,Text,,,,,,,,,,,
061e56ba-de5c-4561-9a76-7b157b891cb6,,,Thyroid Function Tests,Bilan Thyroïdien,Thyroid Function Tests,Bilan Thyroïdien,,,LabSet,N/A,,Triiodothyronine;Thyroxine;Thyroid Stimulating Hormone,,,,,,,,,
20e3a85e-c705-4e99-884f-7b3bab4fe761,,,Calcium (Ca),Calcium (Ca),Calcium (Ca),Calcium (Ca),,,Test,Text,,,,,,,,,,,
577bb811-8ad7-4b01-a3a7-dc8b88a84755,,,Glucose,Glycémie,Glucose,Glycémie,,,Test,Numeric,,,,,,,,,,,
62cb0655-e3da-41c3-a7f2-8574dec3ea41,,,Blood Chemistry Tests (Glycemie-BUN-Urée-Créatine),Chimie Sanguine (Glycemie-BUN-Urée-Créatine),Blood Chemistry Tests (Glycemie-BUN-Urée-Créatine),Chimie Sanguine (Glycemie-BUN-Urée-Créatine),,,LabSet,N/A,,Glucose;Blood urea nitrogen;Urea;Creatinine (CRSC),,,,,,,,,
aa89391a-3aa9-4780-afdc-280e84020261,,,Chloride (Cl),Chlore (Cl),Chloride (Cl),Chlore (Cl),,,Test,Text,,,,,,,,,,,
173afc1a-9172-4d97-9d4b-9955656a671a,,,Potassium (K),Potassium (K),Potassium (K),Potassium (K),,,Test,Text,,,,,,,,,,,
1ec0206a-34a9-4c48-a8d1-73e20cca527a,,,Sodium (Na),Sodium (Na),Sodium (Na),Sodium (Na),,,Test,Text,,,,,,,,,,,
da6d4fef-b416-4def-9328-88e0ad404bbe,,,Carbon dioxide,CO₂,CO₂,CO₂,,,Test,Text,,,,,,,,,,,
16f83b5f-ac14-43ef-93fa-14d15884f78e,,,"Electrolytes Panel (Na, K, Cl, CO₂)","Ionogramme (Na, K, Cl, CO₂)","Electrolytes Panel (Na, K, Cl, CO₂)","Ionogramme (Na, K, Cl, CO₂)",,,LabSet,N/A,,Sodium (Na);Potassium (K);Chloride (Cl);Carbon dioxide,,,,,,,,,
